,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.005,-0.07614418706365315,-73.40703789890921,-80.76657360480111,7.359535705891901,0.005,0.9425832220064713,-102.8758166357771,-108.42479544139897,5.548978805621871,0.005,0.15513083531202485,-89.56959586708413,-95.23008913017446,5.660493263090331,0.005,-0.08396324250159382,-84.74940292849863,-95.43074588346661,10.681342954967988
8.0,0.005,0.010526351320203384,-73.40703789890921,-133.97940008672037,60.572362187811166,0.005,0.6436986014613783,-99.3931259275522,-114.53561729535491,15.142491367802705,0.005,-0.028455167508260028,-88.32673475908427,-116.83939550239157,28.512660743307293,0.005,-0.0008100069678689969,-82.53496738912189,-96.25297169128736,13.718004302165468
9.0,0.005,0.048503022248528975,-72.24719895935547,-84.28839878591472,12.04119982655925,0.005,0.13891043828918495,-107.10135950367672,-121.91999278762368,14.818633283946966,0.005,-0.048391464960154534,-90.21829286934683,-102.35577085676468,12.137477987417853,0.005,0.014350733098307046,-83.17374637617208,-93.24747496115769,10.073728584985616
10.0,0.005,-0.03321096101201912,-71.22414851040786,-84.28839878591472,13.064250275506865,0.005,0.2384739828548551,-108.75180826696555,-130.89775116006936,22.145942893103808,0.005,0.11123467701871954,-92.22438507473211,-94.98833435216332,2.763949277431209,0.005,-0.00788912283056334,-86.14034950002,-108.06756789478584,21.927218394765845
11.0,0.005,0.06295613384574052,-73.40703789890921,-90.30899869919435,16.90196080028514,0.005,0.2996661691303532,-107.47346889765981,-111.4881488725431,4.014679974883293,0.005,-0.005700299393462856,-90.17333865374087,-128.17682822268165,38.00348956894078,0.005,-0.019725929146300912,-86.15034667739998,-114.86376626445895,28.713419587058965
12.0,0.005,0.03418191820219395,-72.24719895935547,-76.32959861247397,4.0823996531185,0.005,0.09685178370993762,-104.64836329740407,-127.02705790002285,22.37869460261878,0.005,-0.09661244605421856,-92.68411730305436,-105.71497670792584,13.030859404871478,0.005,0.03738981190898033,-84.68994236238007,-91.3256812017676,6.635738839387528
13.0,0.005,0.006979209112947486,-72.24719895935547,-90.30899869919435,18.061799739838875,0.005,-0.08368037574985933,-104.57860651959862,-121.8409928460342,17.262386326435575,0.005,0.17536221641260005,-89.88999877069477,-107.03458078620037,17.14458201550559,0.005,0.05721056057726531,-84.66101130782143,-93.5594291462766,8.898417838455174
14.0,0.005,-0.005863770355646635,-69.48114499602985,-133.97940008672037,64.49825509069052,0.005,0.13002639795834742,-110.44528230260964,-118.33773927490789,7.892456972298248,0.005,-0.034788586491139945,-90.07481547330825,-112.78919987343387,22.714384400125624,0.005,-0.0029344925495067703,-84.63838764477318,-119.6120135553659,34.97362591059273
