,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.038894574194989755,-73.40703789890921,-84.28839878591472,10.881360887005513,0.005,0.46036806305272165,-85.55629766391176,-115.86529852709758,30.309000863185815,0.005,-0.17266185277787252,-80.67058927330382,-90.0513959699413,9.380806696637478,0.005,0.05536370275857838,-88.97254499274169,-103.96182455380101,14.98927956105932
1.0,0.005,0.2797878105394976,-73.40703789890921,-80.76657360480111,7.359535705891901,0.005,0.501397196991713,-89.74637206246142,-111.42941738069673,21.683045318235315,0.005,0.02750369192430228,-82.400435222955,-95.63958387462239,13.239148651667392,0.005,0.12004355231402422,-89.32487955700672,-93.36870366977726,4.043824112770537
2.0,0.005,0.2993026180491712,-76.32959861247397,-84.28839878591472,7.95880017344075,0.005,0.45085138244383277,-93.23237221443338,-113.69725418478858,20.464881970355194,0.005,0.012070579077709148,-84.62480259648092,-94.00271773721357,9.377915140732654,0.005,0.1290763237177591,-88.88887917859294,-115.57692663773699,26.688047459144045
3.0,0.005,0.48431166201381726,-78.2677988726351,-84.28839878591472,6.020599913279625,0.005,0.5500901998865205,-93.48783312332466,-119.30511510440834,25.81728198108368,0.005,0.09091462592536412,-87.83523599244054,-110.18334754594667,22.34811155350613,0.005,0.12071795150925921,-90.67298534815477,-120.21809754684932,29.545112198694554
4.0,0.005,0.5352828141213877,-78.2677988726351,-90.30899869919435,12.04119982655925,0.005,0.682316613304941,-99.34391545761032,-106.80318323910447,7.459267781494148,0.005,-0.005262634534211381,-90.80207703467507,-110.79950966432753,19.997432629652465,0.005,0.20899614621667173,-90.6317617060884,-100.81406092096239,10.182299214873993
5.0,0.005,0.6093987659289398,-78.2677988726351,-90.30899869919435,12.04119982655925,0.005,0.6727049695243966,-97.6087356195325,-104.85636928646917,7.247633666936679,0.005,0.18832502917141652,-92.16768682603275,-106.70493294374701,14.537246117714261,0.005,0.1902535436802754,-90.01671244912296,-112.62276197819638,22.606049529073417
6.0,0.005,0.6884971762008562,-80.76657360480111,-84.28839878591472,3.5218251811136128,0.005,0.828784385808724,-101.07408664937506,-111.10880726519399,10.034720615818927,0.005,0.18918082471348371,-94.92721932434044,-113.75267084942443,18.82545152508399,0.005,0.24672383140512333,-90.56185981371289,-111.45299545662247,20.89113564290959
7.0,0.005,0.5504341664700015,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,0.5829934775022717,-100.77954514066215,-104.25459154937572,3.475046408713567,0.005,0.19434695763857898,-97.8133904561622,-133.97940008672037,36.16600963055818,0.005,0.33535089452991407,-90.96479456445506,-130.33170823618107,39.36691367172601
8.0,0.005,0.7552599464477989,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.07564999888348754,-89.9038342048661,-106.45707327124916,16.553239066383057,0.005,0.1897304219191856,-94.38094003231103,-133.97940008672037,39.598460054409344,0.005,-0.05731888498753855,-89.74179612263755,-133.97940008672037,44.23760396408282
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9997045851683307,-106.48139993654499,-115.42875145287837,8.947351516333384,0.005,0.99998758290126,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.9971070237458612,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9992910734351516,-115.44582029040313,-126.80052307763644,11.354702787233308,0.005,0.9999725669520285,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.9956468631468117,-119.99999999999999,-133.97940008672037,13.97940008672039
11.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9996423811579006,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999832106348824,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.9621023987294834,-119.99999999999999,-133.97940008672037,13.97940008672039
12.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9997022472540201,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999826441426153,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
13.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9996088797444614,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999734931368942,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
14.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9993189256865931,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999874046801334,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
15.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.999113800249221,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999645490840862,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
16.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9994097070045673,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999879400442624,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
17.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9996490089554267,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999701237077151,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
18.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.999701700817971,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999845510194733,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
19.0,0.005,0.04752737139097758,-62.3501985257536,-90.30899869919435,27.95880017344075,0.005,0.9618714374517656,-104.34092256686242,-121.31284800759931,16.971925440736896,0.005,0.08323758417764904,-98.66198283018406,-104.26759471579507,5.605611885611012,0.005,0.010530349718371341,-94.83099691753773,-106.46113669647204,11.630139778934307
20.0,0.005,-0.0448685505101874,-61.36583807234997,-72.24719895935547,10.8813608870055,0.005,0.5443985917558195,-109.01895078887968,-133.97940008672037,24.960449297840697,0.005,-0.01155007776391206,-100.47046007254696,-119.52408127311435,19.05362120056739,0.005,-0.05674732377865657,-94.95023164465746,-120.09536230032553,25.14513065566807
21.0,0.005,-0.07516261672556863,-62.3501985257536,-76.32959861247397,13.979400086720375,0.005,0.20168219856739794,-114.93294062423612,-133.97940008672037,19.04645946248425,0.005,0.07182177476181613,-99.55270953716212,-112.22729079721675,12.674581260054637,0.005,0.01625694056456962,-95.19690593735535,-128.00939496340533,32.812489026049974
