,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.029467127260188096,-68.72537377824186,-70.30899869919435,1.583624920952488,0.005,0.6360379322214876,-97.81677004058437,-113.48135501850177,15.6645849779174,0.005,-0.0978295462733797,-72.3219059002805,-77.11666411658517,4.794758216304672,0.005,-0.18862775798634557,-82.63250057644558,-92.88791628924494,10.255415712799362
1.0,0.005,0.06130202223334903,-68.03013165305762,-84.28839878591472,16.2582671328571,0.005,0.5227235466910497,-108.99487814418114,-119.40790084087043,10.413022696689282,0.005,0.13472018428895874,-71.72925554078199,-84.12888202959195,12.399626488809957,0.005,-0.04990721854075159,-90.34388491982892,-102.8352906413659,12.491405721536978
2.0,0.005,0.16518451294761505,-67.3864379856296,-72.24719895935547,4.860760973725874,0.005,0.08014228302294608,-112.55461836076029,-130.4244271405646,17.869808779804316,0.005,0.2889254637188468,-73.96659090405419,-90.80635631477054,16.839765410716353,0.005,0.009530271133975496,-88.88826232443208,-101.78034488330258,12.892082558870499
3.0,0.005,0.024427502379276694,-66.22659904607586,-73.40703789890921,7.180438852833348,0.005,-0.07749331677151795,-115.19710683682709,-125.17893226909734,9.981825432270256,0.005,0.10081887892474616,-70.75086051609149,-95.81424411954224,25.063383603450745,0.005,0.009880831131170276,-89.86505120836945,-96.00031527510501,6.135264066735559
4.0,0.005,0.0824062892905275,-66.78717351808073,-84.28839878591472,17.501225267833988,0.005,-0.6079966580038078,-116.386193073405,-124.3551776679938,7.968984594588804,0.005,0.30290786953913423,-71.86912467032161,-83.79466995461678,11.925545284295168,0.005,0.042369817085646154,-88.44958359878815,-99.6047713282519,11.155187729463748
5.0,0.005,-0.1046937472621833,-67.3864379856296,-80.76657360480111,13.380135619171512,0.005,0.0982752651970446,-115.63306112425701,-127.63413164997635,12.001070525719342,0.005,-0.2259180640749455,-72.648323881064,-80.53932657542506,7.891002694361063,0.005,0.08394452733534939,-88.87297428670817,-99.12335765239007,10.250383365681898
6.0,0.005,-0.0855397113192887,-67.3864379856296,-90.30899869919435,22.92256071356475,0.005,0.10833232162967114,-117.55828196493471,-133.09724956206875,15.538967597134047,0.005,-0.31015815738600944,-74.57143656321615,-91.09813445402308,16.52669789080693,0.005,0.0007512813427619107,-90.69534187484705,-93.0706973658317,2.37535549098466
7.0,0.005,-0.02686593561835944,-68.03013165305762,-84.28839878591472,16.2582671328571,0.005,0.15528851823614592,-114.1257899934275,-128.14588743164944,14.020097438221939,0.005,0.008535141342652678,-75.87184966771056,-89.29654571944215,13.424696051731587,0.005,-0.032369211932971806,-90.50219592374978,-110.52451060998307,20.022314686233287
8.0,0.005,-0.10347449021578221,-67.3864379856296,-133.97940008672037,66.59296210109078,0.005,0.023768488416827747,-113.22108050121969,-133.97940008672037,20.758319585500686,0.005,-0.1424398867162944,-76.43785451297013,-109.35396249001732,32.91610797704719,0.005,0.08052167552159949,-89.14340140370243,-104.9121936068329,15.768792203130474
9.0,0.005,0.10232911173462209,-68.03013165305762,-78.2677988726351,10.237667219577474,0.005,-0.023306670595995456,-115.48027274040656,-133.97940008672037,18.499127346313813,0.005,0.23481576703709764,-77.12383288295385,-89.23213574198061,12.108302859026765,0.005,-0.013280269703008048,-89.77459682811832,-118.3412148030056,28.56661797488728
10.0,0.005,0.01891965679760693,-70.30899869919435,-84.28839878591472,13.979400086720375,0.005,-0.09237774810463564,-112.8089808834323,-133.97940008672037,21.170419203288077,0.005,0.06782583836775023,-80.0283477410146,-83.71686500477014,3.688517263755543,0.005,-0.012853619334399317,-91.17462849559759,-112.39328096380876,21.218652468211175
11.0,0.005,0.004069214570163725,-68.72537377824186,-80.76657360480111,12.04119982655925,0.005,0.21918231541807176,-117.10434033490826,-133.02938506867545,15.925044733767194,0.005,0.1259125872366868,-79.54023109394885,-86.76394929603228,7.2237182020834325,0.005,0.02696482119628074,-90.92301223899494,-104.96490699973694,14.041894760741997
12.0,0.005,0.017008309278316504,-68.72537377824186,-84.28839878591472,15.563025007672863,0.005,0.15054275934959535,-119.29588699516202,-124.46509449692876,5.169207501766735,0.005,0.21099270794879635,-80.97024771353583,-90.7987446876634,9.828496974127575,0.005,-0.04623127906521862,-90.41357039357946,-92.49752072352351,2.083950329944045
13.0,0.005,-0.07978659442283502,-68.72537377824186,-76.32959861247397,7.604224834232113,0.005,0.46399176089804717,-117.0124165097704,-131.26774020672084,14.255323696950441,0.005,-0.051211663433119385,-82.27565197878963,-88.53655216658407,6.260900187794448,0.005,0.03245047851995717,-90.74477833486506,-127.26641455781918,36.521636222954115
14.0,0.005,-0.02007114036404094,-68.72537377824186,-76.32959861247397,7.604224834232113,0.005,-0.2889613923553539,-115.83265544655198,-122.1009237747796,6.26826832822762,0.005,0.07159900252746694,-84.26807021476394,-90.07515242652501,5.80708221176107,0.005,0.03452931281823654,-91.71420093018719,-114.28553787492034,22.571336944733147
15.0,0.005,-0.047967772936251055,-68.03013165305762,-73.40703789890921,5.376906245851586,0.005,0.061541874916997454,-115.15856277367942,-121.35516987725313,6.196607103573712,0.005,0.23895067397026823,-84.63285186816434,-96.22836708747018,11.595515219305838,0.005,0.014449532016434702,-89.71121146627698,-127.05345107348853,37.34223960721155
16.0,0.005,-0.03953132050710232,-70.30899869919435,-84.28839878591472,13.979400086720375,0.005,-0.05465466856794768,-111.66840356247151,-127.9558326317925,16.287429069320993,0.005,-0.02547594129161124,-85.93668385033138,-104.398081144065,18.461397293733626,0.005,0.02793181204120323,-91.30829622626983,-115.77585323299269,24.467557006722856
17.0,0.005,-0.006360700023516623,-71.22414851040786,-133.97940008672037,62.75525157631252,0.005,0.26008079964442266,-114.48443050311191,-125.72065938684531,11.236228883733403,0.005,-0.038323580551604966,-87.66713892067159,-115.80738353391793,28.140244613246338,0.005,0.014844958087792525,-90.55886083898429,-106.86572676106506,16.306865922080775
18.0,0.005,0.01933859992356884,-68.03013165305762,-90.30899869919435,22.278867046136725,0.005,-0.28215724862913505,-116.34471858969887,-126.97128079062739,10.626562200928518,0.005,0.002678752433563485,-100.53884153646842,-116.72053704037965,16.18169550391123,0.005,0.058208375881585256,-93.15436541559069,-105.5533606848397,12.398995269249014
19.0,0.005,-0.0372693325862977,-71.22414851040786,-90.30899869919435,19.08485018878649,0.005,-0.031874574401772555,-113.75758346686717,-121.53424914719304,7.776665680325863,0.005,-0.01847048659606254,-100.27648296316173,-109.77624496279157,9.49976199962984,0.005,0.006252797352291642,-92.63905486380159,-112.917192279131,20.27813741532941
20.0,0.005,-0.12061185711395093,-70.30899869919435,-78.2677988726351,7.95880017344075,0.005,0.21359650036163488,-114.97190053536194,-133.97940008672037,19.007499551358435,0.005,-0.022690416925973178,-99.17451234475973,-105.14829654935534,5.973784204595603,0.005,-0.03283643940575837,-92.89170325971875,-111.4063073075451,18.514604047826353
21.0,0.005,-0.05196566701404077,-70.30899869919435,-133.97940008672037,63.67040138752603,0.005,0.3620698857603677,-114.53884478823525,-133.97940008672037,19.440555298485123,0.005,-0.03919176404918702,-100.20884020832153,-106.45517174849836,6.246331540176826,0.005,0.0018293397719946819,-92.05324065043013,-103.16931827806512,11.116077627634994
22.0,0.005,-0.07157232415618037,-71.22414851040786,-90.30899869919435,19.08485018878649,0.005,-0.45573313756165923,-116.8704003916853,-133.10709074791563,16.23669035623034,0.005,-0.030697078500988604,-98.77755666253832,-113.692738799149,14.915182136610682,0.005,0.025602672987088064,-93.16638942265027,-111.58159775392205,18.415208331271785
23.0,0.005,-0.056234586964041676,-71.22414851040786,-80.76657360480111,9.542425094393252,0.005,-0.02496837299785404,-114.50137896385377,-120.4123772086934,5.910998244839632,0.005,0.0651125644488585,-100.16624277544977,-104.67306488730584,4.506822111856067,0.005,0.06571365589682816,-92.85291770968614,-98.27768469794472,5.4247669882585825
24.0,0.005,0.03237150655095131,-72.24719895935547,-84.28839878591472,12.04119982655925,0.005,0.3308059479685235,-116.94916308004971,-119.28167112065252,2.3325080406028036,0.005,0.017255604346800613,-99.19462202746669,-113.58269425735244,14.38807222988575,0.005,0.041927381775446505,-91.07333361484051,-108.09714724618996,17.023813631349455
25.0,0.005,-0.005226521034262859,-70.30899869919435,-90.30899869919435,20.0,0.005,0.1914500316290907,-115.44873751311775,-122.89855593395856,7.449818420840813,0.005,-0.0027064202589194538,-100.2436061205039,-133.97940008672037,33.73579396621648,0.005,-0.06517474205856832,-91.50423106185754,-100.73484732729413,9.230616265436595
26.0,0.005,0.0029164748931031995,-68.72537377824186,-78.2677988726351,9.542425094393238,0.005,-0.24619648322991447,-114.86680257850118,-133.97940008672037,19.112597508219196,0.005,0.001547558820525065,-100.19000007541969,-106.56932938177574,6.379329306356055,0.005,-0.005271067032598545,-93.22092782871701,-106.73246279920605,13.511534970489038
27.0,0.005,-0.13301981376588373,-70.30899869919435,-90.30899869919435,20.0,0.005,0.5621399520382402,-113.8051489806746,-119.01816305882768,5.21301407815308,0.005,0.07086943138354423,-100.25670200330806,-108.60696996025482,8.350267956946752,0.005,-0.025017910305333593,-93.47578830574943,-104.01217860455952,10.53639029881009
28.0,0.005,-0.08821760008880528,-69.48114499602985,-90.30899869919435,20.827853703164493,0.005,0.14866622227111645,-118.24680341855854,-121.94632004419154,3.699516625632995,0.005,0.030075000229362863,-100.23052918920264,-109.62643354620674,9.395904357004099,0.005,0.054233487487551885,-93.43079796096973,-123.696919325657,30.26612136468728
29.0,0.005,0.005320625235491018,-69.48114499602985,-133.97940008672037,64.49825509069052,0.005,0.3594142673258091,-116.30689071579752,-133.97940008672037,17.672509370922853,0.005,0.037625151299969954,-99.31935837951103,-109.50284677558786,10.183488396076825,0.005,-0.0283969147273495,-91.87754435343513,-99.37769859978133,7.500154246346199
30.0,0.005,0.0728317761225152,-68.03013165305762,-133.97940008672037,65.94926843366275,0.005,-0.049391593354860756,-117.35496058499797,-128.55740429293868,11.202443707940716,0.005,0.030311634299047045,-100.33667434178375,-130.8189950137251,30.482320671941352,0.005,-0.012716126260147873,-93.4368524479296,-98.6395033228281,5.202650874898509
31.0,0.005,0.016630001111305612,-69.48114499602985,-80.76657360480111,11.285428608771255,0.005,-0.21495601331202052,-112.64051907193819,-120.93135566480453,8.290836592866341,0.005,-0.0037656684633305113,-100.98857721756556,-109.16293889508268,8.174361677517112,0.005,-0.02551827051458386,-91.89952891515019,-103.36057194889716,11.461043033746975
32.0,0.005,0.03893700423185416,-69.48114499602985,-84.28839878591472,14.807253789884868,0.005,-0.36133642877520783,-115.11978988644877,-128.8731756612849,13.753385774836133,0.005,-0.03438722526275002,-102.45436594416972,-110.32384738184625,7.8694814376765265,0.005,0.003194736206297435,-93.34699028715703,-104.37308067101455,11.026090383857522
33.0,0.005,0.034110604885390215,-66.78717351808073,-84.28839878591472,17.501225267833988,0.005,0.33743958426248594,-114.9547890074072,-133.97940008672037,19.024611079313175,0.005,-0.09796263208144354,-98.50332712984184,-113.66745676210769,15.164129632265855,0.005,-0.004163001469978787,-92.73389033808505,-105.0626378331153,12.328747495030257
34.0,0.005,0.05890607548560606,-70.30899869919435,-133.97940008672037,63.67040138752603,0.005,0.9816008474116985,-103.96412217004107,-111.4949237926833,7.53080162264223,0.005,0.3210572390483641,-99.13186152959149,-133.97940008672037,34.847538557128885,0.005,0.043741734368505494,-92.80003424580511,-133.97940008672037,41.17936584091527
35.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9997036960823412,-111.51595684943575,-121.17381527259072,9.657858423154963,0.005,0.9962641921818024,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.8368454449748786,-119.99999999999999,-133.97940008672037,13.97940008672039
36.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9997853714122045,-119.99999999999999,-133.18620363941807,13.186203639418082,0.005,0.9946528039853445,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.7986572765221504,-119.99999999999999,-133.97940008672037,13.97940008672039
37.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998695730016451,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9973331334552189,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.7804707316203955,-119.99999999999999,-133.97940008672037,13.97940008672039
38.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998788894729013,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9926716851566345,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
39.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998254986094918,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9975013345215801,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
40.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9996967219873993,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9936092657956201,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
41.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9996633190120312,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9968617184691055,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
42.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9997952446458078,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9958922008525758,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
43.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998709708543909,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9951488978502511,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
44.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998782023040015,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.997193706112519,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
45.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998222663683659,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9929213413299256,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
46.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9996921574777804,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.997529464392225,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
47.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9996666125661801,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9931679542131508,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
