,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.04696973432598807,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,0.8063137825036624,-100.59992107649931,-129.0183692256799,28.418448149180577,0.005,0.0015789748134387353,-94.37142041538368,-122.84675970700506,28.47533929162138,0.005,-0.01738945253770499,-92.33149723968373,-114.37137033276483,22.0398730930811
1.0,0.005,0.036528845882891604,-90.30899869919435,-90.30899869919435,0.0,0.005,0.2848162140895475,-105.89440598853813,-118.64089228249773,12.746486293959606,0.005,0.002705714894407124,-95.30848391541026,-108.0959213014723,12.787437386062038,0.005,0.03249489895518837,-92.34353187248581,-102.90699870836455,10.563466835878742
2.0,0.005,-0.0636794986256399,-90.30899869919435,-90.30899869919435,0.0,0.005,-0.16605387060948035,-104.97051153686706,-115.26785714503936,10.297345608172293,0.005,0.03560445252520793,-94.41043317851923,-121.39480487196352,26.984371693444288,0.005,-0.024013218750083495,-91.96128495108732,-106.27394268507828,14.31265773399096
3.0,0.005,0.017843725057404773,-90.30899869919435,-90.30899869919435,0.0,0.005,-0.3831853992899304,-103.59374991690557,-117.99512855715692,14.401378640251352,0.005,0.02227800491859638,-96.28980216789944,-111.60626104006631,15.316458872166876,0.005,0.03146198909674288,-92.56071731546491,-104.4338807886879,11.873163473222988
4.0,0.005,0.0006211796973662859,-90.30899869919435,-90.30899869919435,0.0,0.005,-0.020762295582089925,-106.32709238295114,-127.2741012489056,20.94700886595446,0.005,-0.10127415886224093,-95.67046318596019,-109.49703109729344,13.826567911333257,0.005,0.01904536977746306,-92.38740867120221,-116.79662232581225,24.409213654610042
5.0,0.005,-0.007078237971360602,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,0.48644239519390875,-102.70495208584734,-102.70495208584734,0.0,0.005,0.07585727504950182,-95.46161152063489,-125.98605677046157,30.524445249826684,0.005,0.042229354154861606,-92.91972870790646,-112.33931255170324,19.419583843796786
6.0,0.005,0.0037067443921639056,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,-0.1566259555849696,-99.24133916490518,-111.39939266687057,12.158053501965384,0.005,-0.03590992233663087,-95.40018597254829,-114.78060971129706,19.380423738748775,0.005,0.02224778059147865,-91.37768032176459,-121.11542543112735,29.737745109362763
7.0,0.005,0.02148585036691804,-90.30899869919435,-90.30899869919435,0.0,0.005,0.07578761545573359,-103.53596115838423,-133.97940008672037,30.44343892833615,0.005,-0.07166732798154937,-96.0985221286605,-104.17994662162744,8.081424492966931,0.005,0.044578681410318025,-92.2033103265656,-121.17928002791564,28.97596970135004
8.0,0.005,-0.0037239563873155833,-90.30899869919435,-90.30899869919435,0.0,0.005,0.22446235179341492,-104.96813589179189,-105.02437413489771,0.056238243105823926,0.005,0.021381280738305523,-96.2567982421868,-112.80909590299329,16.552297660806488,0.005,-0.004003430461116898,-92.25762734664161,-101.16085661155147,8.903229264909854
9.0,0.005,0.018113982201675337,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,0.1908969624520785,-101.88240613786745,-118.18792417435274,16.305518036485296,0.005,0.0847941253945728,-94.88954275757004,-112.20400028302613,17.314457525456092,0.005,-0.010439227910889585,-92.41425203870614,-108.47310535810351,16.05885331939737
10.0,0.005,0.018141080622726104,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,-0.0079925751060503,-106.73981095670004,-121.38210921073332,14.642298254033278,0.005,-0.12583424279514563,-95.70547105156544,-106.14819988916885,10.442728837603411,0.005,0.04190325232325307,-91.84721074484209,-106.57382264896945,14.726611904127367
11.0,0.005,-0.01655074164208936,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,-0.20511964135258956,-104.39409189572855,-107.39467362539892,3.0005817296703725,0.005,-0.14765440561325693,-93.64133854655428,-109.14536397481426,15.504025428259979,0.005,-0.03980669033106437,-91.70767572765303,-123.46923219105432,31.76155646340129
12.0,0.005,-0.02410125054280716,-90.30899869919435,-90.30899869919435,0.0,0.005,-0.43758863969717604,-106.78655050461222,-127.6936218166871,20.907071312074876,0.005,-0.049411627029372344,-95.87126354591823,-110.52184414133181,14.650580595413587,0.005,0.02570658592626553,-91.1463442561645,-118.23509660176155,27.088752345597058
13.0,0.005,-0.06363323935230807,-90.30899869919435,-90.30899869919435,0.0,0.005,-0.2469050423007108,-104.72293195646185,-118.40740059739579,13.684468640933943,0.005,-0.10602297287641188,-95.17754763808684,-106.64346611873854,11.465918480651709,0.005,-0.07560904682368685,-91.58724497231633,-111.48002708505692,19.89278211274059
14.0,0.005,-0.06962665019624141,-90.30899869919435,-90.30899869919435,0.0,0.005,-0.37302739398551565,-107.79038918931106,-121.93926955770917,14.14888036839811,0.005,-0.09677226504197502,-95.71145538936042,-106.6019965618702,10.89054117250977,0.005,0.019858306618195865,-92.077002037133,-108.71936931338416,16.642367276251164
15.0,0.005,-0.013866357437594897,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,0.14723567300715104,-109.16468793942515,-111.39397688490484,2.229288945479695,0.005,-0.08658755706520582,-93.98279359264706,-110.35767183713085,16.374878244483796,0.005,-0.0006373776395635728,-92.69265295387946,-99.59666895280351,6.904015998924052
16.0,0.005,0.030196762407443862,-90.30899869919435,-90.30899869919435,0.0,0.005,-0.07767206712534783,-104.15014937750742,-114.66591218716755,10.515762809660131,0.005,0.088364732878965,-95.43323365172576,-108.7681663069384,13.33493265521264,0.005,0.029923206613427858,-92.11317775542106,-106.74469128118517,14.631513525764106
17.0,0.005,-0.016766797269325034,-90.30899869919435,-90.30899869919435,0.0,0.005,0.3302954192207908,-106.65480520462057,-108.16094816588758,1.5061429612670025,0.005,-0.05870851302706267,-95.72281598888877,-101.75163241425679,6.028816425368021,0.005,-0.005528514838438262,-92.2326468627633,-113.9128960147626,21.68024915199929
18.0,0.005,0.32261356426093996,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,0.677159123611345,-104.98008443700984,-124.73074537029407,19.750660933284237,0.005,0.0031160789039872566,-96.39565076804332,-133.97940008672037,37.58374931867705,0.005,-0.02987164271248623,-92.10295305252959,-133.97940008672037,41.87644703419079
19.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9873618721576387,-109.14231723970788,-126.97833224846232,17.836015008754444,0.005,0.9992871597097537,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9614249624433187,-119.99999999999999,-133.97940008672037,13.97940008672039
20.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9908734615001591,-119.52653204467009,-133.97940008672037,14.452868042050284,0.005,0.9979075691906433,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9598330039952832,-119.99999999999999,-133.97940008672037,13.97940008672039
21.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9847488902885316,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9992603002533252,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9469741646443335,-119.99999999999999,-133.97940008672037,13.97940008672039
22.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9834892223965087,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9984221657628214,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
23.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9900190522887679,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9989860861880226,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
24.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9936387923530144,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9990008632733062,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
25.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9939017368204399,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9983980189254488,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
26.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9909990578133296,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9992649485368026,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
27.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9845292605143711,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9979035321919866,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
28.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9836617528902385,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9992840981872432,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
29.0,0.0975,0.6667609396262842,-0.02867509118137136,-9.60040393550339,9.571728844322019,0.015,0.986256875559046,-19.53804491142008,-26.29365672440596,6.7556118129858795,0.09,0.6966802771772319,-0.10519197993184828,-5.582221812951742,5.477029833019894,0.02,-0.5882259555069599,-15.484414345680458,-19.428363482303,3.9439491366225408
30.0,0.0925,0.6892081956476098,-0.30344567443754206,-35.29883080216743,34.99538512772989,0.015,0.9987518495493469,-16.961768950262428,-20.529802154814423,3.5680332045519947,0.0825,0.7316186974497052,-1.9226617790506497,-41.372376394099376,39.44971461504873,0.0325,-0.220437639541701,-10.385082093033002,-26.987568038355455,16.602485945322453
31.0,0.085,0.6090830495285549,-1.5356206854596064,-26.683563268005127,25.14794258254552,0.01,0.9982725519785135,-20.587964772513992,-47.82365464529579,27.235689872781798,0.0925,0.6466092955533208,0.045675898844755244,-7.7458463531815696,7.791522252026325,0.03,-0.07236272883340333,-11.286703420879112,-22.147782465193025,10.861079044313913
32.0,0.09,0.43075138423180687,-0.251720176427721,-11.718576686572277,11.466856510144556,0.01,0.9988854721649516,-21.78621007362519,-24.087657881788566,2.3014478081633776,0.085,0.443331902866904,-1.6670089337906613,-12.700393584087733,11.033384650297071,0.0225,-0.04804116559373385,-13.516956928042783,-37.825956892236846,24.308999964194065
33.0,0.08,0.7282306633417062,-2.2260137150004566,-17.5752297401287,15.349216025128245,0.01,0.9993893749093649,-23.318711369420903,-34.322560567079286,11.003849197658383,0.08,0.7634124729163798,-1.8897984333125417,-11.673432994371334,9.783634561058792,0.02,-0.6280908671050749,-14.338127025338645,-26.038421459615563,11.700294434276918
34.0,0.0775,0.5504906999184651,-1.9965126671860984,-15.329741474071128,13.333228806885028,0.01,0.9978803456392555,-23.937495134261667,-28.309797890674485,4.372302756412818,0.08,0.5645066851115301,-1.8102188309002674,-21.594026156255957,19.78380732535569,0.015,-0.612429701886634,-18.095539482299646,-41.99644775071643,23.90090826841678
35.0,0.085,0.0033928967184009744,-1.5210815123348145,-3.2199147045278464,1.698833192193032,0.01,0.9982175652387497,-25.149399384921534,-31.675687906512984,6.52628852159145,0.085,-0.028608185174552412,-1.664485296845214,-13.441082104850457,11.776596808005243,0.015,-0.795260459609786,-18.13248788201252,-28.507561233035613,10.375073351023094
36.0,0.07,0.09141576288774865,-3.211853909711992,-25.39874534291136,22.18689143319937,0.0075,0.997331868345374,-25.98667770817473,-31.956143698645874,5.969465990471143,0.075,0.12373467734575375,-2.2392846249587,-9.747626827670874,7.508342202712175,0.015,-0.8485956503587734,-18.323493151461243,-47.36533358022379,29.041840428762548
37.0,0.075,0.37652406193203714,-2.148611316599018,-25.4234562831575,23.274844966558483,0.005,0.995913046885129,-26.8296318453511,-33.754025967323585,6.924394121972487,0.07,0.3809906889383749,-2.063970405577748,-18.699992167704544,16.636021762126795,0.02,0.09308859376630543,-14.370815410975235,-33.512775838632976,19.141960427657743
38.0,0.0875,0.37667484318065475,-1.1453099877891038,-23.615903361529533,22.470593373740428,0.005,0.9924639595977812,-27.744187159392947,-37.16035196101713,9.41616480162418,0.0725,0.33227255107500525,-2.001599891334821,-13.355882513686888,11.354282622352066,0.02,0.752936403842574,-14.517558986877386,-26.988719012057185,12.471160025179799
39.0,0.0575,0.6152612056415518,-5.104707931290905,-17.61340953627532,12.508701604984415,0.005,0.995139828487541,-28.04241848641628,-33.036923791401506,4.994505304985225,0.055,0.6122443793615019,-5.427651822706462,-7.6365365361576245,2.2088847134511624,0.01,-0.7081147091437822,-23.421599474169476,-34.68288223262044,11.261282758450967
40.0,0.065,0.4030980889066501,-3.7177870556881603,-17.75553806386204,14.037751008173881,0.005,0.9929423438991237,-29.247152508126696,-42.99415657262059,13.747004064493893,0.06,0.3859464992476339,-4.776790333326951,-19.227980576516465,14.451190243189515,0.0175,0.7463584482955066,-16.440992625496346,-34.584223376373004,18.143230750876658
41.0,0.0475,0.32456497103258214,-6.580043483696012,-22.958153228782827,16.378109745086814,0.005,0.9962298988595576,-29.801847074994427,-31.968812855160284,2.1669657801658566,0.05,0.3332024019863884,-5.8251642098388405,-14.54452404880108,8.719359838962239,0.0125,0.5723667166579577,-19.875365732328444,-51.699944001719956,31.824578269391512
42.0,0.04,0.274672199254372,-8.423070751086962,-18.86551242693317,10.442441675846206,0.005,0.9957331655125369,-30.381199961403507,-72.6344027544926,42.25320279308909,0.0375,0.2774316007041781,-8.259221050981743,-17.55069478659798,9.291473735616236,0.005,-0.7323759805270782,-29.422992825593752,-41.446217132231105,12.023224306637353
43.0,0.045,0.31633859623188515,-6.829548042835115,-20.535164732855545,13.705616690020431,0.005,0.9961710664644794,-28.90815893947897,-29.762152242824172,0.8539933033452023,0.04,0.22851711388594173,-7.923923370820791,-25.095610765964693,17.171687395143902,0.0125,0.6126253919235896,-18.52634594036853,-25.888115464496806,7.3617695241282775
44.0,0.0675,0.8704387312348059,-1.69395661199718,-13.224092757871986,11.530136145874806,0.005,0.9975321141284392,-28.618101776661295,-40.000345793228725,11.38224401656743,0.065,0.8667033553736764,-3.965654825423755,-14.096612925982996,10.13095810055924,0.025,0.9215624738734313,-12.26487149217129,-27.846481057381325,15.581609565210035
45.0,0.06,0.8787556742673889,-3.621934531524012,-18.042735470085162,14.42080093856115,0.005,0.9955039634734308,-31.00974564608347,-32.59358971797027,1.5838440718867979,0.07,0.8759074406077141,-3.237396480080678,-7.965493519313817,4.728097039233139,0.0275,0.9059295420889737,-12.036862126008778,-23.599305569162897,11.56244344315412
46.0,0.08,0.5915085146948137,-0.4395588430074226,-8.21038391763955,7.7708250746321275,0.005,0.9937250495441075,-30.91367793830479,-36.48907431650543,5.57539637820064,0.0675,0.5809348584173291,-2.8965776195504693,-15.335670039400448,12.439092419849977,0.02,0.9069926436310478,-15.319761949307317,-21.91935777805684,6.599595828749521
47.0,0.0725,0.5087587839076659,-2.9726977759174034,-26.816174845985387,23.843477070067983,0.005,0.9938447377828667,-31.0068054023627,-36.49910514378922,5.492299741426521,0.0675,0.4972859898268977,-2.571066166615294,-11.746888573084739,9.175822406469445,0.015,0.7482055363845354,-17.349538522297397,-38.005358595465054,20.655820073167657
