,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.005,0.2777321362663637,-80.86960371378751,-133.97940008672037,53.10979637293286,0.005,0.9668126120958445,-96.28560453621665,-117.95422032644281,21.668615790226156,0.005,0.10603924676827373,-91.93530129862202,-96.09718883100672,4.161887532384696,0.005,0.1344544719840245,-87.24535337185885,-117.54381406575091,30.298460693892054
6.0,0.005,-0.0019911469515696075,-80.86960371378751,-133.97940008672037,53.10979637293286,0.005,0.3380158250980469,-104.29233614753966,-115.6312926187155,11.338956471175848,0.005,-0.008985383747836662,-91.5630119624751,-113.37028106513793,21.80726910266283,0.005,0.006309308311968393,-85.00914658943488,-89.75189804660275,4.74275145716787
7.0,0.005,-0.010390636272238173,-80.86960371378751,-133.97940008672037,53.10979637293286,0.005,0.05805563457842433,-108.96805236450304,-121.33397478147043,12.365922416967393,0.005,-0.034582751746852027,-91.87619003643402,-106.05908023028508,14.182890193851051,0.005,0.0018739849999405284,-87.01073902622454,-101.83606860767448,14.825329581449935
8.0,0.005,0.006221313142097947,-80.86960371378751,-86.89020362706714,6.020599913279625,0.005,0.3958741007578942,-108.55735978558342,-121.39989869301453,12.84253890743112,0.005,0.17200879064322144,-91.40549839683933,-133.97940008672037,42.57390168988104,0.005,-0.05497237801649106,-86.6538341729823,-114.60240527021278,27.948571097230484
9.0,0.005,-0.02081347004057451,-80.86960371378751,-133.97940008672037,53.10979637293286,0.005,-0.39142834361613243,-108.96654360006366,-118.49853547165878,9.531991871595125,0.005,0.13818905745578655,-90.33262854028904,-106.07066729710206,15.738038756813026,0.005,-0.05499526238082953,-85.5479391294526,-95.5826934252247,10.034754295772103
10.0,0.005,-0.05708640174122558,-80.86960371378751,-133.97940008672037,53.10979637293286,0.005,0.08013804303814052,-110.38117354641966,-111.74867025016286,1.3674967037431998,0.005,-0.1434090132569561,-91.99070687859322,-98.56635722075752,6.575650342164309,0.005,-0.04478750990812142,-87.00852300204018,-95.64861456453855,8.64009156249837
11.0,0.0125,0.9841671474732532,-18.056300195260253,-25.184391462086502,7.1280912668262495,0.005,0.9975256929969318,-48.685487822949,-49.03373729067656,0.3482494677275625,0.005,0.9919284801997031,-27.57607747515355,-31.77478596506735,4.198708489913798,0.0075,0.9988327035229909,-24.718940878168716,-53.918982116637515,29.2000412384688
12.0,0.0475,0.9059950278249005,-5.901191391849508,-21.717457884788107,15.816266492938599,0.04,0.9396032837645496,-6.106000110338755,-16.054025554191202,9.948025443852448,0.0225,0.973471217821161,-12.339040837394684,-33.5036889074224,21.164648070027717,0.01,0.9828745334800864,-21.681934381596676,-53.1046572479887,31.42272286639202
13.0,0.0475,0.9702409781297386,-5.557722410147079,-27.056823150497177,21.499100740350098,0.04,0.8999542964047329,-5.782625787872214,-8.364917903584283,2.582292115712069,0.0225,0.9754278740775599,-12.312619216729015,-15.433848512754082,3.121229296025067,0.01,0.9575992061551931,-23.60717433500648,-54.59669900690705,30.989524671900572
14.0,0.0525,0.9669337019870045,-4.355889439400459,-9.888311334677397,5.532421895276938,0.04,0.9686498706320179,-5.966481458218192,-26.686059566827144,20.71957810860895,0.02,0.9773163699716326,-14.641290792255173,-24.36282469836133,9.721533906106156,0.01,0.9620227396294109,-23.358302065104553,-47.39837612992809,24.040074064823536
