,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.7644758257695773,-63.074441978842486,-84.28839878591472,21.213956807072236,0.005,0.991590736602218,-69.1249154302717,-70.96795276389612,1.843037333624423,0.005,0.5582840199883117,-78.97502014155239,-81.608820130966,2.6337999894136033,0.005,0.31128930824034123,-75.98412904906647,-99.04793950533895,23.063810456272478
1.0,0.005,0.5016916822211002,-63.86461280451597,-133.97940008672037,70.1147872822044,0.005,0.9934358545320108,-69.95485330555267,-86.12521679691596,16.17036349136329,0.005,0.44722821815453245,-76.29836583638509,-84.8202084080743,8.521842571689206,0.005,0.6355080591652511,-73.91793268212149,-107.41428214703762,33.496349464916136
2.0,0.005,0.5774762610868021,-63.46054508275023,-68.72537377824186,5.26482869549163,0.005,0.9737403618768598,-72.35174412337928,-74.31449917774597,1.9627550543666956,0.005,0.4042164044181694,-78.8030474220714,-84.42926321228714,5.626215790215738,0.005,0.3078455917845176,-74.08170858039745,-83.46199905274467,9.380290472347227
3.0,0.005,0.5952807545712461,-63.074441978842486,-78.2677988726351,15.193356893792611,0.005,0.9961775257478774,-71.10364503454578,-80.0591256516793,8.955480617133517,0.005,0.45709427587525686,-79.6437094719922,-93.83716838798775,14.19345891599555,0.005,0.5668706991205867,-78.75598479466026,-91.53384507373119,12.777860279070921
4.0,0.005,0.24996525284742496,-64.73392668013777,-133.97940008672037,69.2454734065826,0.005,0.948431052393413,-77.40018175771584,-116.87285347956049,39.47267172184465,0.005,0.6163453185955713,-83.02582680004551,-128.62121819692175,45.59539139687624,0.005,0.5686665671295157,-77.73143930158662,-133.97940008672037,56.247960785133756
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9792921639223865,-105.3825648850681,-117.29420054753746,11.911635662469351,0.005,0.9760689398541361,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.8093618869333323,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9968424430945567,-113.99354863212957,-133.97940008672037,19.9858514545908,0.005,0.9320164004495939,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.7850606778721206,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9950308210952624,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9733546936567594,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.7458587545148023,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9918950258740734,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9520136934990002,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.992870897195361,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9616409503498026,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
