,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.005,0.5803415453933269,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.9937179799303861,-92.5868979316264,-105.91678431150555,13.329886379879156,0.005,0.45984891484783846,-95.35237454483948,-113.47358238881856,18.12120784397908,0.005,0.005513515096545715,-92.09103759239136,-105.10635388071708,13.015316288325721
5.0,0.005,0.01556414218791845,-78.2677988726351,-90.30899869919435,12.04119982655925,0.005,0.7530379009710471,-99.70089946352984,-109.86753696120314,10.166637497673307,0.005,-0.039205375656939614,-90.96194430239763,-103.5194583118499,12.557514009452277,0.005,0.07694912754750363,-85.14378785284806,-93.24583224964825,8.102044396800181
6.0,0.055,0.021954358236696947,-4.5992027622684954,-10.982408795916792,6.383206033648296,0.015,0.9078530605449645,-18.746003647889854,-20.48897466188258,1.742971013992726,0.0475,-0.03735870680057413,-6.020164075821529,-25.77112272318246,19.75095864736093,0.025,-0.13578296127895362,-12.644715803834803,-23.743113681803642,11.09839787796884
7.0,0.04,0.19700013869813573,-8.550532280688417,-15.617802267604832,7.067269986916415,0.015,0.8888170877695881,-17.666175858150048,-27.41138699881445,9.745211140664402,0.045,0.1400602061416978,-6.87541238755069,-22.11650193942291,15.241089551872221,0.0125,-0.033143865004728726,-19.818326947556127,-33.88633629874924,14.068009351193115
8.0,0.0425,0.05378994651156611,-7.534105420216508,-13.923385759744733,6.3892803395282245,0.01,0.8114978873075305,-20.98824273478027,-22.672153521376416,1.6839107865961473,0.0425,0.033809232009960485,-7.138510858399416,-19.686731430273397,12.548220571873982,0.01,-0.12116537854756007,-21.06407678734987,-43.20460108685367,22.140524299503802
9.0,0.04,0.1394322255807197,-8.661909672574978,-13.416970306667427,4.755060634092448,0.01,0.8205362319444094,-20.74035163799938,-34.589622283265705,13.849270645266323,0.0375,0.072467468531831,-8.199178193601076,-20.393508178039536,12.19432998443846,0.0125,-0.10988845486064071,-19.980722322437153,-74.03997906921386,54.059256746776704
10.0,0.0375,0.11289394765085624,-8.099898209974048,-25.588335756841637,17.488437546867587,0.01,0.799736230728262,-22.874671041536523,-25.272815765689856,2.398144724153333,0.035,0.08060994248817335,-9.707050130620265,-22.605578155576488,12.898528024956223,0.015,-0.10220843886199485,-18.90085378510326,-32.686877880637326,13.786024095534067
11.0,0.0375,0.1391130951823876,-8.97428279217578,-33.80047634383789,24.826193551662115,0.01,0.7615913306202686,-22.158711852653926,-46.57110087599152,24.412389023337592,0.0325,0.11040640958214107,-10.359279660150357,-20.786984998627062,10.427705338476706,0.01,-0.22656414553989807,-21.7304667003776,-28.36864541866602,6.638178718288419
12.0,0.035,0.19740446990306867,-9.111674290975568,-15.598617522890933,6.486943231915365,0.01,0.7505627014347136,-23.475451233054464,-24.689740946825225,1.2142897137707607,0.0275,0.11597404619879315,-11.897601678210258,-20.83107253598342,8.933470857773163,0.01,-0.1568301087968315,-22.99581654106418,-38.48655407781887,15.490737536754693
13.0,0.0325,0.18832172813878387,-10.318558436616282,-19.328933458678602,9.01037502206232,0.01,0.8351017373483408,-22.522426282202666,-27.46106685212386,4.938640569921194,0.03,0.1011745982287526,-10.943841500878369,-25.417591924955367,14.473750424076998,0.01,0.07299341951681819,-22.260443599997778,-28.600795046839572,6.340351446841794
14.0,0.0325,0.2266432952130579,-10.154043139179558,-13.450576283994714,3.2965331448151556,0.01,0.8647443723094039,-22.359587342426607,-33.299433310858966,10.939845968432358,0.025,0.12437440278254411,-12.434562853578807,-17.4217503177231,4.9871874641442915,0.01,0.020583468278633166,-24.528003973439716,-52.06873896500795,27.540734991568236
