,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.005,0.03908714073458363,-78.2677988726351,-90.30899869919435,12.04119982655925,0.005,0.9770147645228476,-102.53730283265264,-119.1870504973859,16.649747664733255,0.005,0.19235989345034724,-99.63408115691868,-105.87279953939124,6.238718382472555,0.005,-0.004388099710387392,-93.16426608542915,-114.72453520042825,21.5602691149991
4.0,0.005,0.062395625764552584,-78.2677988726351,-90.30899869919435,12.04119982655925,0.005,0.7129758112889906,-110.81601520076737,-121.88082775419673,11.064812553429363,0.005,-0.03525819214439637,-99.47060642353959,-110.78219714955928,11.311590726019688,0.005,0.0699222500230932,-93.81262702371305,-106.03485188071394,12.222224857000896
5.0,0.005,-0.036066964113839084,-78.2677988726351,-84.28839878591472,6.020599913279625,0.005,0.15936066355259249,-117.18008537461037,-118.48992981500143,1.3098444403910605,0.005,0.08928743545904458,-100.71840953859913,-113.15585768658231,12.437448147983176,0.005,0.01760183879771172,-92.17323432455522,-99.8932268248828,7.719992500327578
6.0,0.005,-0.06787284573628437,-78.2677988726351,-133.97940008672037,55.71160121408528,0.005,0.5037684206178413,-116.62247409134221,-121.66911872192355,5.046644630581341,0.005,0.013797705284565866,-100.97490646545668,-104.33361994184503,3.3587134763883455,0.005,-0.036842711473827436,-92.47080244548562,-113.52904917835755,21.058246732871936
7.0,0.02,0.42545337681848855,-14.117804406489004,-24.853606968159166,10.735802561670162,0.005,0.8256838985811957,-58.4153079915206,-73.73540759943299,15.32009960791239,0.02,0.3697480130825685,-14.344259515192547,-30.631375522727314,16.287116007534767,0.0075,0.9201320704900834,-25.61365861593185,-35.031459446689645,9.417800830757795
8.0,0.0275,0.5561017460069869,-10.864941931613071,-30.47561855159539,19.610676619982318,0.0075,-0.763650234069715,-25.76151196517955,-30.788564888840583,5.0270529236610315,0.0275,0.6357335502400491,-11.693493984085015,-18.783248324032535,7.08975433994752,0.0075,0.7695369180716516,-25.93868895379114,-39.45709263666798,13.51840368287684
9.0,0.0275,0.5124987147701193,-10.843669977023785,-21.187754210095328,10.344084233071543,0.01,-0.48474517496405006,-22.917146277945363,-32.596243247829875,9.679096969884512,0.0225,0.6381661926914283,-13.604000199374816,-24.53025920170972,10.926259002334902,0.005,0.5933733839092791,-27.015070337334976,-39.96973922610476,12.954668888769781
10.0,0.025,0.13631588732334354,-12.378474349403252,-14.821579502196025,2.443105152792773,0.01,-0.21109687703548038,-20.589560620505143,-31.643743705579368,11.054183085074225,0.0225,0.36466926154909957,-13.284324634892561,-36.713177948224725,23.428853313332162,0.005,0.6914192712832052,-29.78359210776513,-34.434193327283744,4.650601219518613
11.0,0.025,0.08048975988176298,-13.64350591338309,-35.100549030730114,21.457043117347027,0.015,-0.5134923178658893,-19.87675150542373,-23.41500615052171,3.538254645097979,0.02,0.27792494649807165,-15.381033965792623,-42.861321507793846,27.48028754200122,0.005,0.6865488025661637,-31.532092522298786,-36.97415769171399,5.442065169415205
12.0,0.025,0.2717768169109856,-12.091176926303792,-23.496151147980253,11.404974221676461,0.015,-0.27540983646637524,-19.29484529300239,-40.390268249417886,21.095422956415497,0.0225,0.5257833935357605,-13.051249705177181,-20.69048511902769,7.6392354138505105,0.005,0.5675235513416002,-31.1695003112315,-38.40480279228292,7.2353024810514235
13.0,0.025,0.2174715842698873,-12.126439859409142,-16.976767330813757,4.850327471404615,0.015,-0.30493821401454047,-18.83623528012046,-18.849418426063234,0.013183145942775809,0.0225,0.46528991857302515,-13.498770140205785,-35.793895810063916,22.29512566985813,0.005,0.4624888437369904,-30.975016120498324,-36.162437060590676,5.187420940092352
14.0,0.03,0.070172033487623,-11.024749239797973,-19.973004617561866,8.948255377763893,0.0125,-0.2944531693869066,-18.858603710849017,-37.277339536914894,18.418735826065877,0.0225,0.22458057243161328,-12.064595278182875,-42.15076628434467,30.086171006161795,0.005,0.7017897197272263,-31.04715857095527,-51.295738422322934,20.248579851367666
