,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.005,0.021027978550583342,-68.55702237893692,-78.09944781185115,9.542425432914229,0.005,0.9720327924316831,-103.42111307823332,-120.96481709772598,17.543704019492665,0.005,0.11195838787978311,-98.93523933026967,-114.37730440925846,15.44206507898879,0.005,-0.03800412059957031,-89.23527930387814,-117.94726766152687,28.71198835764872
6.0,0.005,-0.012903929638437056,-68.55702237893692,-90.1406476384104,21.58362525947348,0.005,0.7366092950202118,-110.2992340170535,-115.14192064712473,4.842686630071242,0.005,0.13339914347861276,-99.41182220155765,-110.27975019033056,10.867927988772905,0.005,-0.02425596544764397,-92.34307913441802,-106.07506894236951,13.731989807951493
7.0,0.005,-0.023626037503573775,-69.31279365827419,-73.238686402884,3.9258927446098113,0.005,0.2842974078105759,-115.15448742566267,-133.97940008672037,18.82491266105771,0.005,0.10093889749859833,-98.89491750081574,-115.32219381037973,16.427276309563993,0.005,0.1339730335384852,-92.37672714629467,-100.71809169272186,8.341364546427187
8.0,0.005,0.8357233135394219,-34.932197857105834,-41.7746216647201,6.842423807614267,0.005,0.7067633678274837,-69.22069875905562,-70.27014817193505,1.0494494128794258,0.005,0.8442577625839933,-35.99669120137201,-39.988514517951835,3.9918233165798256,0.005,0.8713208820299274,-47.15273560065408,-55.7829456829954,8.630210082341314
9.0,0.005,0.42585329357266627,-33.49046855988754,-39.8762953192988,6.385826759411259,0.005,0.7927587041635533,-62.183143014294764,-62.979289102392464,0.7961460880977,0.005,0.3907106092010702,-33.77958871083504,-53.45916781116395,19.67957910032891,0.005,0.7690590629976332,-44.55104038697266,-47.514024739924295,2.9629843529516364
10.0,0.005,0.21370612281656007,-30.743014461968144,-50.316125440609966,19.57311097864182,0.005,0.8647047452115392,-58.226795196585435,-91.50692427098826,33.28012907440283,0.005,0.1899403742215706,-31.875811299295368,-48.18371121773387,16.307899918438505,0.005,0.65497800448241,-44.851589749093776,-55.792466835284415,10.940877086190639
11.0,0.005,0.3548719727741117,-26.15651775859692,-28.335486343011883,2.1789685844149638,0.005,0.9363922691585095,-57.36902865290819,-76.67624411417984,19.307215461271646,0.0075,0.32763225432259546,-25.924858174237023,-33.353809008982736,7.428950834745713,0.005,0.7024331303021552,-43.317236930089,-54.98512549857477,11.667888568485765
12.0,0.0075,0.28992009465937457,-25.02073243987546,-36.37225098192474,11.351518542049284,0.005,0.9538945755894005,-57.83858682447192,-62.772799684529865,4.934212860057947,0.005,0.3005718664804952,-26.468326038319432,-42.11818358859822,15.649857550278789,0.005,0.3806162086648065,-42.731354008777544,-51.30972713912649,8.578373130348943
13.0,0.005,0.4146987252428494,-26.469556440283025,-33.401512520263715,6.93195607998069,0.005,0.9413434247659886,-60.13900951949077,-72.26640745920774,12.127397939716971,0.005,0.4309765303631408,-27.337014413855915,-36.573793684003554,9.23677927014764,0.005,0.3682258822329408,-43.04307125053204,-64.38432082940467,21.341249578872635
14.0,0.005,0.6859409368855852,-28.73988977470534,-31.410372375084673,2.6704826003793336,0.005,0.9020675436991765,-61.31274105576328,-77.42627201277912,16.11353095701584,0.005,0.6747422744403971,-29.002893099119703,-45.55182232758053,16.54892922846083,0.005,0.28878844063317805,-44.367587031843726,-54.361449706319746,9.99386267447602
