,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.005,-0.05621133064099705,-63.86461280451597,-78.2677988726351,14.403186068119126,0.005,0.996733587344898,-104.37658214267799,-130.99684768435935,26.620265541681363,0.005,0.6280974100850283,-98.66198283018406,-112.19018431599414,13.528201485810087,0.005,-0.046424181285664806,-95.2842691610083,-110.4152307765367,15.130961615528406
8.0,0.005,0.06938819476353356,-61.36583807234997,-78.2677988726351,16.901960800285124,0.005,0.9096994462470867,-104.34091801449915,-112.02668321525377,7.6857652007546164,0.005,-0.07482485817131966,-100.08370825951812,-133.97940008672037,33.895691827202256,0.005,0.014248139344600355,-94.83099691753773,-103.88921135364755,9.058214436109822
9.0,0.005,-0.06933745786697476,-61.36583807234997,-69.48114499602985,8.115306923679881,0.005,0.36108372036329983,-112.11053663729587,-119.40272217319793,7.292185535902064,0.005,0.03202765238252267,-100.47046007254696,-111.00697318408977,10.536513111542817,0.005,-0.056320098383261956,-94.95023164465746,-108.02111462758111,13.07088298292365
10.0,0.005,-0.054822375284797185,-62.704773864962235,-70.30899869919435,7.604224834232113,0.005,0.19754242863623592,-114.93294000848431,-133.97940008672037,19.046460078236066,0.005,0.03880918469707116,-99.55270953716212,-108.74590953504591,9.193199997883795,0.005,-0.02048600849345736,-95.19690593735535,-107.0565293877512,11.859623450395844
11.0,0.005,-0.06768384143455608,-62.704773864962235,-133.97940008672037,71.27462622175814,0.005,0.04514119722470344,-112.5484899171129,-116.00076516814512,3.452275251032219,0.005,0.03219984504803648,-99.99268105098176,-104.49295089652757,4.500269845545816,0.005,0.051785956994558235,-94.09508986093013,-120.30644750411852,26.211357643188393
12.0,0.02,0.9708412319076878,-16.28282099463285,-26.091931392896495,9.809110398263645,0.005,0.9842030333695587,-51.20236753495732,-70.22152625755909,19.019158722601773,0.0175,0.9761827950092138,-16.218642576872885,-36.69129346107453,20.472650884201645,0.005,0.8915810216651183,-27.156925562228714,-51.4455303413333,24.28860477910459
13.0,0.0125,0.9765639579703185,-17.86057321968095,-27.22660818887742,9.36603496919647,0.005,0.9964406431546606,-39.309169621583266,-60.7596162152283,21.450446593645033,0.015,0.9796916287221519,-17.393019379792186,-34.58473266085168,17.191713281059492,0.005,0.9110893486963911,-28.555471507394582,-32.768886352336956,4.213414844942374
14.0,0.015,0.986725049713738,-18.483253398024374,-31.11863115973439,12.635377761710018,0.005,0.9910840193589258,-45.299097016685565,-60.261581767997825,14.96248475131226,0.015,0.9879312794663324,-18.922552602104666,-27.856160791705904,8.933608189601237,0.005,0.9473624902758672,-33.620497901328584,-40.96938953396021,7.348891632631627
