,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.06271161611393884,-72.24719895935547,-80.76657360480111,8.519374645445637,0.005,0.7980835781733533,-100.65578516253446,-125.46240083342784,24.80661567089338,0.005,0.05721564751571161,-94.37065594829058,-105.81616499453304,11.445509046242464,0.005,-0.01355407764211174,-86.69027827947124,-107.01566923667968,20.32539095720844
1.0,0.005,-0.019428116675549695,-73.40703789890921,-80.76657360480111,7.359535705891901,0.005,-0.054016609224611704,-106.13661907383404,-124.3734167335394,18.23679765970536,0.005,-0.0031952128385818873,-93.07547086312512,-114.9425381058257,21.867067242700585,0.005,-0.0016119295026905595,-86.37073481754751,-103.6473232414344,17.276588423886892
2.0,0.005,-0.09471311075890101,-72.24719895935547,-90.30899869919435,18.061799739838875,0.005,0.455982107653744,-110.80213164163595,-133.97940008672037,23.177268445084422,0.005,-0.06767383482498267,-95.38125861479205,-116.01599698380129,20.63473836900924,0.005,0.0004645945166736927,-88.11337065610657,-110.8090685283578,22.69569787225123
3.0,0.005,0.09897302335306195,-73.40703789890921,-84.28839878591472,10.881360887005513,0.005,0.1350715026111847,-110.72255352362848,-114.94031079128483,4.217757267656353,0.005,-0.09342705246615796,-94.84700284737582,-108.53211354264575,13.685110695269927,0.005,0.007669960266674034,-88.08017568876451,-94.16462525211625,6.08444956335174
4.0,0.005,0.24076149191779625,-74.74597369152148,-133.97940008672037,59.23342639519889,0.005,0.9197988283294313,-103.27554805355953,-109.25879161278633,5.983243559226793,0.005,0.10360911463509846,-98.05351018548765,-133.97940008672037,35.92588990123272,0.005,-0.03792059871685209,-92.72557469270394,-133.97940008672037,41.25382539401643
5.0,0.005,0.4496711809085782,-90.30899869919435,-90.30899869919435,0.0,0.005,0.9960361101245878,-102.00291598220836,-106.62570168884454,4.622785706636179,0.005,0.5466103093085851,-99.71170623067772,-111.2872869340316,11.575580703353879,0.005,0.04149291287688095,-97.62868794929595,-111.28879832646408,13.660110377168124
6.0,0.025,0.43140657285003015,-11.741081654060082,-25.42840691859392,13.68732526453384,0.005,0.9999513957911168,-37.24539467338359,-37.24539467338359,0.0,0.025,0.38263661271098065,-10.969329452502354,-43.166940326965346,32.197610874462995,0.005,0.6164471521689504,-30.121563606752396,-34.41206165458134,4.290498047828947
7.0,0.05,0.1491779613504949,-6.340806028439133,-25.443275777525432,19.1024697490863,0.0125,0.999933001064753,-17.243735808754185,-22.891502472000248,5.647766663246063,0.0475,-0.07005658971889736,-6.253839982097377,-35.19447218616473,28.940632204067356,0.015,0.594793943102606,-17.165262190766324,-48.508633826193226,31.3433716354269
8.0,0.0375,0.8644688259618913,-8.289876638004504,-16.621069130813947,8.331192492809443,0.015,0.9999661720948441,-19.67984673098631,-35.35882649268092,15.67897976169461,0.0325,0.8141552199464526,-10.254678766489523,-13.971344239045049,3.716665472555526,0.015,0.9736931119361638,-18.437805678976392,-42.286395578185775,23.848589899209383
9.0,0.04,0.9923978558426982,-8.043504849907348,-37.18703465893772,29.14352980903037,0.01,0.99963673526696,-24.5421845492517,-39.86408639043598,15.321901841184278,0.03,0.9917554877147988,-10.866594684118303,-32.70407113519832,21.837476451080015,0.01,0.9972982753839538,-20.796647004850954,-84.35654841123174,63.55990140638079
