,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.03821934029336047,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.9275671468823784,-103.18542751734007,-120.039144272676,16.853716755335924,0.005,0.01873707621049064,-94.58857163960266,-113.59702520386847,19.008453564265807,0.005,0.0251373598220223,-90.46256421785037,-95.73863338909297,5.276069171242597
1.0,0.0225,0.9522475706042802,-13.755152925705445,-15.053927400526879,1.2987744748214336,0.005,0.9983956359492783,-54.71271981665042,-55.27304157658033,0.5603217599299128,0.0175,0.9341469836575371,-16.195425956132524,-23.79932180781822,7.603895851685696,0.01,0.9980031930518085,-22.454359106815826,-29.935974657872006,7.48161555105618
2.0,0.0375,0.8163031328800304,-8.062261984288012,-15.787501294886956,7.725239310598944,0.005,0.9988808458823363,-33.78433367900783,-36.83439538653191,3.0500617075240797,0.035,0.7998678534693392,-9.32831243454343,-25.182147522005415,15.853835087461986,0.02,0.9982347160008368,-15.720664687020573,-31.346007229733978,15.625342542713405
3.0,0.03,0.5083718260943758,-10.640983935583591,-33.18650981434835,22.545525878764757,0.005,0.9980358905408073,-35.1463561742512,-39.342912741844046,4.196556567592843,0.03,0.48494556199471056,-10.413448976805276,-17.132449459997588,6.719000483192312,0.005,0.9796218097042776,-27.550664869624132,-35.83856478446168,8.28789991483755
4.0,0.035,0.5500683407736119,-9.293672474533512,-19.50491270235316,10.211240227819648,0.005,0.9912398998688123,-38.91664532877236,-54.44016607185156,15.523520743079196,0.0325,0.5401728009461906,-10.026490124224743,-43.403587094146445,33.3770969699217,0.005,0.9218753822847225,-31.324139369684872,-44.830048589349396,13.505909219664524
5.0,0.025,0.32339712859781555,-13.092659421903605,-27.417514547002032,14.324855125098427,0.005,0.982959885857156,-39.68297536728592,-41.341049773281014,1.6580744059950945,0.025,0.3223162770256769,-13.274592288844932,-31.561173619595905,18.286581330750973,0.005,0.7710270738643499,-39.794856303382275,-100.25189908936055,60.457042785978274
6.0,0.0225,0.27200473057705105,-13.724210136366576,-27.392644409357803,13.668434272991227,0.005,0.9908218842100162,-38.8899089840555,-41.30799361878321,2.4180846347277054,0.0225,0.26002397720691567,-13.219255593277827,-21.276973579192745,8.057717985914918,0.005,0.6791827384690358,-43.56003268913107,-62.99289544587872,19.432862756747653
7.0,0.02,0.30506126558832863,-14.861097477554353,-21.0072929480457,6.146195470491346,0.005,0.9919501419275428,-37.93032683691489,-40.19108183160781,2.260754994692924,0.02,0.2958112758625326,-14.377475293145384,-18.9737726807276,4.596297387582215,0.005,0.47594472620423933,-45.61100840903403,-64.61766771114534,19.006659302111316
8.0,0.0225,0.1852881084939123,-13.475553697721669,-23.733254692103664,10.257700994381995,0.005,0.9852784665040085,-40.21844370816655,-54.478696327441476,14.26025261927493,0.02,0.1885430021386373,-14.509723434040723,-21.81487073318342,7.305147299142696,0.005,0.3400832406250214,-46.47840184930356,-56.45159453511735,9.973192685813792
9.0,0.025,0.19315456059205094,-13.526983045051292,-27.07565045043964,13.548667405388347,0.005,0.978826400197028,-41.33334550479106,-41.754149040544625,0.42080353575356355,0.0225,0.19517385502574552,-12.815893320166232,-41.72272648939634,28.906833169230104,0.005,0.34762274192873116,-48.79849657837032,-81.077291360509,32.278794782138675
10.0,0.02,-0.004215390058692065,-15.073447949030793,-33.569863958003346,18.496416008972552,0.005,0.9862046727939434,-41.662843236321294,-47.18757514117318,5.524731904851883,0.02,-0.014104026738806844,-14.664562732717206,-43.41353998560368,28.74897725288647,0.005,0.5960019154591764,-49.45492055897844,-71.99944413502764,22.5445235760492
11.0,0.0225,0.06449216969444817,-12.653955586932756,-18.44106185319022,5.787106266257464,0.005,0.981122115403766,-42.00724536730835,-74.8152535553951,32.80800818808675,0.025,0.05698765602939727,-12.707320221261885,-17.392242456961945,4.684922235700061,0.005,0.5314492599787494,-50.71720315890289,-64.06283238585402,13.345629226951132
12.0,0.0275,0.15781084624294273,-11.841009376020029,-29.664684633234724,17.823675257214695,0.005,0.959179079725155,-43.76983902998491,-47.771747446701696,4.0019084167167875,0.0275,0.16063447020521207,-11.960174168421908,-26.101723236219723,14.141549067797815,0.005,0.5319186615187506,-49.86168135384462,-107.4936727613013,57.63199140745668
13.0,0.025,0.14724219652945975,-12.635769996122006,-29.592402194137794,16.95663219801579,0.005,0.928834997530789,-43.851009502751744,-63.96811135819095,20.11710185543921,0.025,0.14477639244867443,-13.52473568415489,-22.965494072870154,9.440758388715263,0.005,0.5280156899963497,-51.068671608684575,-64.4827741748362,13.41410256615162
14.0,0.02,0.1907213980688742,-14.155592674584685,-37.80274967996088,23.647157005376197,0.005,0.9537408394095118,-45.73012210121766,-54.12172511559007,8.391603014372407,0.0225,0.19085242641251973,-13.94913219896228,-27.03745501778424,13.08832281882196,0.005,0.41413766597625024,-53.26575748638689,-58.71840507406095,5.452647587674065
15.0,0.0225,0.25328432471261575,-13.156318996194196,-21.697823308739203,8.541504312545007,0.005,0.9633387471350022,-46.95539013300069,-52.894429582914285,5.939039449913594,0.0225,0.257858883923329,-13.203372847759898,-17.788070438442706,4.584697590682808,0.005,0.9708738640583902,-33.51608830374664,-38.77335898507543,5.257270681328791
16.0,0.025,0.3145715479226983,-12.094376738326744,-27.638220531790004,15.54384379346326,0.005,0.9360189537260378,-44.854653537939406,-50.45371561787217,5.599062079932764,0.025,0.3035260190849285,-12.533649076905668,-38.92378256503533,26.390133488129663,0.005,0.9890715760359167,-29.175774019923782,-39.26637897960747,10.090604959683684
17.0,0.0475,0.8324760372592925,-6.6191449286258965,-12.761571781798878,6.1424268531729815,0.005,0.9604715717324942,-40.819621023823544,-54.142149269226934,13.32252824540339,0.0425,0.8166242851571108,-7.748155777164243,-15.070542472346908,7.322386695182665,0.015,0.9970041177330486,-17.815460221865827,-41.85705817350737,24.041597951641542
18.0,0.0425,0.9190620743455084,-7.830006877557815,-19.562693236954164,11.73268635939635,0.005,0.9249421145454774,-45.93851653482234,-54.28837552138572,8.349858986563376,0.0375,0.918083384131147,-8.721685704586694,-10.31748356074768,1.5957978561609867,0.01,0.9940358544826029,-24.52433603978044,-56.86967792876785,32.345341888987406
19.0,0.0375,0.9365105812370038,-8.154626488789102,-26.2429003764247,18.088273887635598,0.005,0.9573698009555486,-47.14254887112162,-62.06775109222057,14.92520222109895,0.0325,0.9357380302884348,-9.132741015429483,-18.629181471668556,9.496440456239073,0.005,0.9886129593623936,-29.74470963657016,-65.78071652585167,36.03600688928151
20.0,0.035,0.9492389350963942,-8.197432618153615,-12.66648030379372,4.469047685640106,0.005,0.9900666707597856,-39.580094541017836,-44.234827532250804,4.654732991232969,0.0325,0.9495716754335936,-10.145413285752179,-21.371583214038175,11.226169928285996,0.005,0.9718042218450307,-27.627295593305405,-36.75416986642195,9.126874273116542
21.0,0.0325,0.9176503349317584,-8.764548490973294,-13.878728131098894,5.114179640125601,0.005,0.9903911361044748,-38.918812432793985,-51.33979980630393,12.420987373509945,0.0325,0.9190770875605443,-10.14976238127712,-21.942098616292967,11.792336235015847,0.005,0.9792665579307562,-33.106157373901446,-57.93541462239865,24.829257248497207
22.0,0.0275,0.9265051981914048,-11.507638424407308,-26.091931392896495,14.584292968489187,0.005,0.9363423600269715,-48.57916373989026,-55.23763501896383,6.6584712790735665,0.03,0.9260968000708757,-10.655397781779797,-27.98861101149823,17.33321322971843,0.005,0.9718895650633855,-33.88726439232981,-45.73261229398629,11.845347901656481
23.0,0.0275,0.9317378370113109,-10.598672942140048,-16.617476951425253,6.018804009285205,0.005,0.8523223027245254,-48.47342195239665,-53.55578079400556,5.082358841608908,0.03,0.9310369577607965,-9.73530378208964,-22.753833952138336,13.018530170048697,0.005,0.9614683527405827,-37.9114633723465,-46.86634032307802,8.954876950731517
