,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.3532276000371634,-89.64117041760083,-89.64117041760083,0.0,0.005,0.9781126963875286,-97.59149232044496,-105.0322565986252,7.440764278180239,0.005,0.24089516553167145,-95.12102719009981,-103.12941088218808,8.008383692088273,0.005,0.06277351388948935,-90.85353167429884,-100.91215239101433,10.058620716715495
1.0,0.005,0.11598326300526604,-83.62057050432121,-89.64117041760083,6.020599913279625,0.005,0.7190012494173911,-101.00701529678261,-111.99053290432923,10.983517607546617,0.005,0.43404132724166977,-93.05475929313351,-98.69480659754188,5.64004730440837,0.005,0.15868683289787833,-89.44092772667851,-109.02115698994115,19.580229263262638
2.0,0.005,-0.023375893236102143,-83.62057050432121,-133.97940008672037,50.35882958239917,0.005,0.39913744512116217,-101.09944191429561,-129.62580690458068,28.526364990285074,0.005,0.02083128692367683,-92.68399513662901,-106.96082525178946,14.27683011516045,0.005,0.019911270233261162,-89.79512008021723,-99.92516652721613,10.130046446998904
3.0,0.005,0.999860747605124,-28.2774534940863,-46.17744488204606,17.899991387959762,0.005,0.9998380376028958,-52.5103155834138,-54.353428465411085,1.8431128819972855,0.005,0.9998088977773785,-32.571363278146535,-82.60946797322057,50.03810469507404,0.005,0.9978197569111862,-48.126147570651696,-51.5488853069007,3.4227377362490046
4.0,0.065,0.9999342788846904,-2.9766593523601244,-23.37648473193284,20.399825379572718,0.055,0.9999775578407826,-5.854523740758837,-5.910064313066608,0.05554057230777154,0.02,0.9997312501100186,-14.602571727701621,-20.98438923561282,6.381817507911199,0.005,0.9782179811145442,-30.83935308031013,-38.026529814510546,7.187176734200417
5.0,0.0575,0.9997463787208634,-4.578288772779281,-16.740589206552855,12.162300433773574,0.055,0.9999321520504522,-5.795173315180496,-6.432360219611349,0.6371869044308527,0.015,0.998937371466086,-18.776423046765597,-24.216052060215745,5.439629013450148,0.01,0.8295483780415068,-20.748484417025583,-44.633896088732996,23.885411671707413
6.0,0.05,0.9995868389623012,-4.686122680610001,-19.83919010105981,15.153067420449808,0.0475,0.9999546061645326,-6.430566279926547,-23.50617195127835,17.075605671351802,0.015,0.9993992988525129,-17.705912542682793,-29.111594763546723,11.40568222086393,0.0125,0.7860649600485281,-18.7666611152852,-61.54111990089868,42.774458785613476
7.0,0.05,0.9998824893517999,-4.827190867586753,-11.68972771308681,6.862536845500057,0.045,0.9999084110224445,-7.395949604215827,-12.271938664055481,4.875989059839655,0.0175,0.9997428637293616,-16.058346513965137,-34.01584506499453,17.957498551029392,0.005,0.994216856033732,-33.605745656094044,-45.15760764787902,11.551861991784975
8.0,0.05,0.9999080818085505,-4.951331013397178,-16.06716130453431,11.115830291137131,0.0425,0.9999509434110865,-7.272352382293306,-20.064244321884466,12.79189193959116,0.0225,0.9997980262181497,-13.919906427321639,-18.05957465571208,4.139668228390441,0.005,0.9879165077434537,-33.53288774970511,-38.083333979159875,4.550446229454764
9.0,0.0525,0.9998931575102863,-4.235980497854922,-16.756338425785916,12.520357927930995,0.04,0.9998938703294113,-6.955343876941855,-7.096054666099524,0.14071078915766844,0.0225,0.9998422830464864,-13.489842954422285,-28.24873487664632,14.758891922224036,0.005,0.9978407464857918,-28.062342960452913,-83.18201313326517,55.11967017281226
