,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.005,0.44470616772288907,-74.74597369152148,-78.2677988726351,3.5218251811136128,0.005,0.7370831268226676,-90.65378329361094,-91.60501332262476,0.9512300290138143,0.005,0.29024662954313757,-88.22027500768455,-117.41055826675353,29.190283259068977,0.005,-0.008558640033458458,-86.36412769093177,-103.84240594181699,17.478278250885225
9.0,0.005,0.08909084940820922,-73.40703789890921,-80.76657360480111,7.359535705891901,0.005,0.24748077985187214,-90.38610655460901,-117.28531142098971,26.8992048663807,0.005,0.0038337698403866378,-90.62417862037245,-99.80119006865921,9.177011448286763,0.005,0.029354347298469335,-85.87312885078832,-98.50219243729485,12.629063586506533
10.0,0.02,0.21230448032490923,-14.018719651829594,-25.649076491351277,11.630356839521683,0.005,0.5429302014794443,-68.4438914511033,-82.12618011436831,13.682288663265012,0.02,0.27838116355718023,-14.517246023910868,-30.254091832911335,15.736845809000467,0.0125,0.17751154576237663,-19.997197362050013,-31.876395430380178,11.879198068330165
11.0,0.0425,0.014129830745456567,-7.40507057691072,-14.405306905545878,7.000236328635157,0.005,-0.42239762128348246,-52.24872535069459,-57.43606307245709,5.187337721762496,0.04,-0.0006636794570952613,-8.252977384784728,-19.328277809133038,11.07530042434831,0.01,0.41485487940178706,-21.256141851207854,-65.10361788821032,43.847476037002465
12.0,0.045,0.11242522075702065,-7.061893228152777,-18.930890399536782,11.868997171384006,0.005,0.6857755643978852,-46.57367370402135,-55.93747936706892,9.363805663047565,0.045,0.0984142724593926,-7.247749207140939,-18.395648802036035,11.147899594895097,0.01,0.5319222531705499,-23.859106027807115,-35.20688308793614,11.347777060129026
13.0,0.045,0.08650585978427969,-6.936103161438021,-8.668379073854117,1.732275912416096,0.005,-0.3138646621393816,-47.46593094156666,-54.198560699801995,6.732629758235333,0.045,0.08056326637310426,-7.078724619220428,-8.04110746221112,0.9623828429906913,0.005,0.7136892687059078,-26.820180866692567,-35.84225004956999,9.022069182877424
14.0,0.0425,0.18516741148073326,-7.590451999084991,-30.11148602495115,22.52103402586616,0.005,-0.5938320448797326,-48.31106798404322,-55.3869939753248,7.075925991281579,0.045,0.16748726039207507,-7.813842433081614,-24.429888824745845,16.61604639166423,0.005,0.6418361681056537,-32.79068244570904,-64.34138952611575,31.55070708040671
