,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0875,0.9973358672192866,-1.146822286850653,-8.742762952494438,7.595940665643785,0.005,0.9933895921832273,-39.90445508215272,-50.21570569731545,10.311250615162727,0.0875,0.9975891641403039,-1.0493994227417338,-9.456041878706994,8.40664245596526,0.005,0.9922586159907932,-29.937459834164382,-83.8531646547163,53.91570482055191
9.0,0.0425,0.9671620199839868,-7.803928978698398,-13.180463249789469,5.376534271091071,0.005,0.9702045162973671,-44.73146411045974,-61.040840815613535,16.309376705153795,0.0425,0.9678176988247739,-7.482796271323803,-12.693204684288562,5.2104084129647585,0.005,0.58896508123124,-56.82855105417782,-74.19722925797173,17.368678203793905
10.0,0.04,0.8994814606591669,-8.110681438718492,-16.402868250558306,8.292186811839814,0.005,0.9548310225360886,-49.767899866035,-52.973321436885776,3.205421570850774,0.04,0.8947103156964996,-8.015075331811056,-18.562463017871277,10.54738768606022,0.005,0.4459116236814898,-55.99987982082439,-89.32988315556331,33.33000333473892
11.0,0.0375,0.9462823818733603,-8.898636758796975,-9.951644319924243,1.0530075611272682,0.005,0.7766897703382769,-53.05821933171907,-70.40062551234591,17.34240618062684,0.0375,0.9465810043870637,-8.806093744915051,-9.999362722104658,1.1932689771896072,0.005,0.4979767352652373,-58.225287405108965,-78.07134863024287,19.8460612251339
12.0,0.04,0.7456264388528075,-8.146496804422368,-21.516030107924884,13.369533303502516,0.005,0.664965743824689,-57.176766434324556,-61.47659059301731,4.299824158692758,0.04,0.7475597680994215,-8.015379566726567,-23.41562306237535,15.400243495648782,0.005,0.31322891542111875,-56.50909747783751,-86.32223369411832,29.813136216280817
13.0,0.035,-0.01406304273299324,-9.650179943577285,-13.759028536525184,4.108848592947899,0.005,0.009965413073381545,-56.17040941409946,-62.053528581546345,5.8831191674468855,0.035,-0.005702769665590333,-9.606234386418164,-13.688071860875068,4.081837474456904,0.005,0.2955314892269696,-60.989125768464085,-80.31457080000294,19.325445031538855
14.0,0.025,-0.7211717644083863,-13.015218016457338,-27.244900697508672,14.229682681051335,0.005,-0.14063678298427534,-59.18264095008395,-81.8590047638604,22.676363813776447,0.025,-0.7141779654128949,-12.987484320996181,-30.434281488050207,17.446797167054026,0.005,0.34243865033092175,-64.49547634829312,-74.27812875419077,9.78265240589765
