,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.10515832931579727,-80.17796255516325,-89.72038700449284,9.542424449329587,0.005,0.9697737331667601,-97.61018237193073,-100.8873524662318,3.27717009430107,0.005,0.4050953550645226,-93.66710382593924,-116.43433046973222,22.76722664379298,0.005,-0.03853473080663167,-90.24969607684835,-122.20080078671495,31.9511047098666
1.0,0.005,-0.011249369954439958,-83.69978709121321,-89.72038700449284,6.020599913279625,0.005,0.5467896080324444,-100.71214008846701,-119.78460200688497,19.072461918417957,0.005,-0.09381736159972448,-99.26212284838556,-123.79419844893079,24.532075600545227,0.005,-0.014365666245853713,-90.32341408916871,-106.76556313203945,16.44214904287074
2.0,0.005,0.8969546050938665,-89.72038700449284,-133.97940008672037,44.25901308222754,0.005,0.9609550341381141,-97.20409446406524,-127.15423096986399,29.950136505798753,0.005,0.830426141656294,-95.21992113128792,-133.97940008672037,38.759478955432456,0.005,0.10490656183978965,-93.22008897502013,-133.97940008672037,40.75931111170024
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9788127136600268,-107.26049052589482,-123.1441755165426,15.88368499064778,0.005,0.9995347207590948,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.99839752532218,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.968184981830223,-119.8097501026564,-129.71467956337057,9.904929460714172,0.005,0.9987503343798643,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9993126355350676,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9692684038077004,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.999573091712459,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9819928867735558,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9988739015895447,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9879029048839519,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9994740013266596,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9875333529471402,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9992707643561184,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9806199586273202,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9991933521016149,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9678332728903218,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9995084151693159,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
11.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9696935097164279,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9988015606725614,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
12.0,0.005,0.35481171669602524,-83.69978709121321,-133.97940008672037,50.279612995507165,0.005,0.9994216743807777,-103.0476150860971,-103.0476150860971,0.0,0.005,0.41050529240067596,-97.8689504017731,-102.35604552734938,4.487095125576275,0.005,-0.016811549617674757,-86.19969073985764,-95.43400425378836,9.234313513930715
13.0,0.005,-0.016163450686073628,-83.69978709121321,-89.72038700449284,6.020599913279625,0.005,0.7779369435551693,-102.4317027335498,-109.52591998755676,7.0942172540069635,0.005,0.08357590394385117,-94.65744943997835,-121.2774587474582,26.620009307479847,0.005,-0.01171461759045694,-86.94369329518496,-115.36122248195632,28.41752918677136
14.0,0.005,0.011090088475635366,-83.69978709121321,-133.97940008672037,50.279612995507165,0.005,0.47671123206125116,-106.55822363453966,-117.87646300051605,11.318239365976396,0.005,0.08273968212867173,-96.14749153111859,-101.20581197877053,5.058320447651937,0.005,-0.016966039613145807,-87.5018300777004,-103.24943431852036,15.747604240819953
15.0,0.005,0.028270810029307886,-83.69978709121321,-133.97940008672037,50.279612995507165,0.005,0.29919868154100054,-108.07567698879998,-133.97940008672037,25.90372309792039,0.005,0.02564904099443795,-94.17497067553748,-108.69118083009953,14.516210154562046,0.005,0.007989740555134682,-88.27197475307739,-96.87771636305717,8.605741609979788
16.0,0.005,0.653551797804931,-71.65858726465396,-83.69978709121321,12.04119982655925,0.005,0.8426286105950445,-83.38804355208353,-86.52209468058987,3.134051128506343,0.005,0.39706483648815,-85.7798016991544,-98.01711219029762,12.23731049114322,0.005,0.2641831045165742,-79.78413675185101,-97.64004879113436,17.855912039283353
17.0,0.015,0.5788627751575823,-12.373395057840867,-23.06757954796836,10.694184490127494,0.005,0.7112678451536095,-40.186885941763634,-44.975642887183355,4.7887569454197205,0.0075,-0.06118490257493433,-21.809873997786173,-22.863640711935286,1.0537667141491127,0.005,0.3765957923560497,-48.60550870215576,-69.54382974114739,20.93832103899163
18.0,0.05,0.18460110708419475,-5.686438237343197,-8.912296498680133,3.2258582613369358,0.0325,0.49686427304567077,-9.53094269776784,-29.07478000567522,19.54383730790738,0.03,-0.12561648483640514,-9.718092264492865,-16.707208049566894,6.989115785074029,0.01,-0.40673574798249423,-20.182285221293665,-43.120744433406266,22.9384592121126
19.0,0.0475,0.07465168034044545,-5.6853462953246545,-11.095299382179828,5.4099530868551735,0.0325,0.31957983302065696,-8.65799110547954,-19.444973652407153,10.786982546927613,0.03,-0.07259896310631773,-10.331894099104407,-21.943378859931034,11.611484760826627,0.005,0.20756964234361464,-34.527157750773156,-54.60731001020389,20.080152259430733
20.0,0.05,0.0705758094718185,-6.709556439041141,-12.34514840154099,5.635591962499849,0.0275,0.013828922916420327,-9.62812926903563,-18.98718431824906,9.35905504921343,0.03,0.04250447981023878,-10.168377051365525,-15.487422866822182,5.319045815456658,0.005,-0.06930272987411062,-35.11061894521136,-46.138481091885126,11.027862146673769
21.0,0.05,-0.25445358325371437,-4.834349850643079,-14.728752591707767,9.894402741064688,0.025,-0.1620354742315057,-10.459466223883364,-12.292529986132179,1.8330637622488144,0.035,-0.20141139992445106,-9.710653917794126,-22.505462159828266,12.79480824203414,0.005,-0.20400035914997014,-30.03910276508666,-34.55344626137639,4.514343496289733
22.0,0.0475,-0.4875733285253322,-6.460739856855172,-23.621963990872764,17.161224134017594,0.025,-0.34665210314670963,-11.715628847391795,-25.34851266422576,13.632883816833964,0.0375,-0.4608314948127422,-8.877300107368528,-24.18422950868686,15.306929401318333,0.005,-0.13094048917474357,-31.584744889277,-61.10613280918869,29.521387919911692
23.0,0.0725,-0.2214250863549089,-1.5048426338031764,-19.116393144326402,17.611550510523227,0.0225,-0.08756800166145058,-12.77123694507106,-27.882384089361672,15.111147144290612,0.0525,-0.45375445541695913,-5.860794354157268,-9.631584599897042,3.770790245739774,0.005,-0.06362117719974963,-29.56995186787867,-47.13848128738473,17.568529419506056
24.0,0.0675,0.05700595755641046,-2.811736488929834,-16.871096852679933,14.059360363750098,0.04,0.5028958614157214,-8.585437577747179,-24.57363055588614,15.988192978138962,0.0625,-0.1747882080644168,-4.250056003205652,-10.13607198249166,5.886015979286009,0.015,0.17098564982024378,-17.42500937384592,-37.880966353228004,20.455956979382083
