,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.510157466629024,-76.32959861247397,-133.97940008672037,57.6498014742464,0.005,0.8028157407812918,-96.90567202005526,-106.55924054251534,9.653568522460077,0.005,-0.6360700275033736,-79.73800826758355,-118.56034200014115,38.822333732557595,0.005,-0.09283212221609975,-88.2266275920472,-124.57980712610615,36.35317953405895
1.0,0.005,-0.2720555687448376,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,0.7535615827990679,-102.28237029006536,-108.36401090223023,6.081640612164875,0.005,-0.42274729274463674,-84.28195269034694,-112.70376600705586,28.42181331670892,0.005,-0.07314503168715067,-88.60879996508191,-106.18553615829532,17.576736193213407
2.0,0.005,-0.11282214885708959,-80.76657360480111,-133.97940008672037,53.212826481919265,0.005,0.3433037476672319,-96.458540724729,-103.32349119342952,6.864950468700513,0.005,-0.2724459793581295,-87.07657410924534,-127.01974954804244,39.9431754387971,0.005,0.01578614591985631,-88.36733698513937,-95.07735812610017,6.710021140960791
3.0,0.005,-0.12595055891899895,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,0.8059861354198811,-101.84681797029484,-103.4607952006753,1.6139772303804705,0.005,-0.2693776787770472,-85.51325403607491,-93.57880177148093,8.065547735406014,0.005,0.007057402650274203,-88.75920433998652,-111.49188906379322,22.7326847238067
4.0,0.005,-0.1784966790210617,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.41310601786827655,-103.52493325580053,-119.01689259276141,15.491959336960875,0.005,-0.483477980163018,-85.76169176561174,-93.84134276285283,8.079650997241089,0.005,-0.02230942181122816,-90.41623487894013,-96.80650971640463,6.390274837464503
5.0,0.005,-0.008245753076594742,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.3184639021205597,-110.85536139907889,-133.97940008672037,23.124038687641487,0.005,-0.23981396879919878,-92.39077648124452,-106.98955903379094,14.598782552546425,0.005,0.05970137619686754,-89.87537447731569,-99.25101658736946,9.375642110053775
6.0,0.005,0.30227551036559014,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.8667157914684434,-102.57377647468789,-110.8784717954465,8.304695320758611,0.005,0.08298146418470588,-97.71772484020406,-133.97940008672037,36.26167524651632,0.005,0.03648025810530914,-90.93779537420282,-133.97940008672037,43.041604712517554
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9920241403573846,-109.1687261954331,-121.04337296265325,11.874646767220156,0.005,0.9957020297138053,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9884321085567204,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9939424271708556,-119.90301801643623,-133.97940008672037,14.07638207028414,0.005,0.9978789499859954,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9931160117955928,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9922722133935313,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9972407495578224,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9915705896047946,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9866006148068032,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9967177562219915,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
11.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9822881478662432,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9981124851575514,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
12.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9879907476702376,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9952178538033838,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
13.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9928861236249075,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9983346206543562,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
14.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9940310291544515,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9954020800013306,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
