,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.005,0.49720594782742744,-90.30899869919435,-90.30899869919435,0.0,0.005,0.8184320719100148,-99.56189850160666,-99.56189850160666,0.0,0.005,0.20902583702778205,-94.7231252365414,-106.18572412021393,11.462598883672527,0.005,-0.1142250181591608,-91.03350775408857,-110.88386200417415,19.850354250085573
2.0,0.005,0.2458636276842791,-52.69272685357852,-55.19150158574453,2.4987747321660123,0.005,0.6727759572848777,-78.49411858605309,-78.94893049449807,0.4548119084449809,0.005,0.2967823433826647,-53.19390755316356,-56.55715978981569,3.36325223665213,0.005,-0.3784111358447281,-66.67257580438645,-74.99947452412171,8.326898719735254
3.0,0.005,0.6701730331336179,-37.823356782480985,-69.48114499602985,31.65778821354887,0.005,-0.8125098012185911,-58.54908011847787,-74.75698396637371,16.207903847895842,0.005,0.7264028909676561,-38.888425632343356,-40.037243661955515,1.1488180296121584,0.005,-0.2215381832261998,-49.971232374558845,-67.53686964730139,17.565637272742542
4.0,0.005,0.6346168822600355,-33.30833354539897,-36.77512650669703,3.4667929612980544,0.005,-0.6697794454980159,-50.4705996015272,-51.494685665075004,1.0240860635478057,0.005,0.691763584743582,-33.90636826173227,-45.93028539164589,12.02391712991362,0.005,-0.12496789580823672,-41.70558874436065,-59.204317953090836,17.49872920873019
5.0,0.005,0.47052211540097183,-28.886092890172698,-47.263231811533224,18.377138921360526,0.005,0.4490633271812297,-46.949882051700094,-71.45676288938732,24.506880837687227,0.005,0.4994435950796334,-29.210367315339433,-42.369947140546145,13.159579825206713,0.005,0.07918587871411266,-39.89707921720813,-49.55020285357354,9.653123636365407
6.0,0.005,0.2528799105936536,-28.454585805512373,-68.72537377824186,40.27078797272949,0.005,0.8199401294045652,-45.16981689838656,-45.711527755745095,0.5417108573585381,0.005,0.2701306892829612,-29.745997807146253,-41.95474135275349,12.208743545607234,0.005,-0.11191120441543834,-36.41116810037084,-46.37109057580686,9.959922475436024
7.0,0.005,-0.0841157384331313,-28.349977279311354,-53.918119988356985,25.56814270904563,0.005,0.8639170213252365,-42.098803738541164,-47.868285476775085,5.769481738233921,0.005,-0.16597118499609237,-30.703604349015073,-31.41950074090051,0.7158963918854369,0.005,-0.12029155961162884,-38.29302732288289,-47.532452438281254,9.239425115398362
8.0,0.0075,-0.23493595040083703,-25.04101207251431,-34.93623667424207,9.895224601727758,0.005,0.7229185721137081,-40.8092768199339,-44.124683174326776,3.315406354392877,0.005,-0.3623873169117777,-28.227805799696362,-40.716982247092744,12.489176447396382,0.005,-0.026854906771866825,-35.589792400218265,-44.38456567847627,8.794773278258006
9.0,0.005,0.12986538011460427,-26.10262830266972,-46.39100565100968,20.288377348339957,0.005,0.7013801217181357,-40.895728448684345,-48.82137198529893,7.9256435366145865,0.005,0.09274625453018333,-27.16562164109512,-50.62766467908855,23.462043037993425,0.005,0.008327863201468756,-34.00188881686376,-39.84315285111289,5.841264034249129
10.0,0.0075,0.4120438563213857,-23.79458153880612,-31.91697822351214,8.122396684706018,0.005,0.5504290050040395,-40.372741535726476,-42.48418130360538,2.111439767878906,0.005,0.411183113716562,-26.562437002605456,-30.82016835877669,4.257731356171234,0.005,0.11644353070003652,-34.48474146159575,-38.859786485780525,4.375045024184772
11.0,0.01,0.491981569799873,-22.154384138667645,-35.22203198497398,13.067647846306336,0.005,0.714979020371418,-39.97743810636849,-42.590623211553755,2.6131851051852664,0.01,0.5661123074844169,-24.914251904308124,-48.54894722973174,23.634695325423614,0.005,0.016612843264676873,-31.58826758106929,-42.47436032374455,10.88609274267526
12.0,0.01,0.579188524307362,-22.94326100115174,-30.600469217534325,7.657208216382585,0.005,0.6969067847319798,-37.404556591916574,-41.689537962667565,4.284981370750991,0.01,0.6361756210192968,-24.97464397072381,-26.4398215932609,1.4651776225370874,0.005,-0.14141120077450942,-33.438424692831916,-36.23567874948653,2.797254056654616
13.0,0.01,0.5673512823979682,-21.215149714404816,-28.41259109209836,7.1974413776935435,0.005,0.6032830446512059,-38.91252705189088,-44.07129451039786,5.158767458506979,0.01,0.5943544302124859,-22.041567130814315,-42.62869846681485,20.58713133600054,0.005,-0.010172153089154664,-34.466661354266705,-46.56554067009378,12.098879315827077
14.0,0.01,0.426020550043572,-20.414778195089106,-28.89346944232566,8.478691247236554,0.005,0.708030545349152,-40.18879113453208,-47.54877118174913,7.35998004721705,0.01,0.44426359088894624,-21.91002483017877,-25.63681756582777,3.726792735648999,0.005,-0.020972488886423075,-33.50247858829463,-38.83727721808147,5.334798629786839
15.0,0.01,0.5510618714997287,-20.700235755638015,-29.255119860694997,8.554884105056981,0.005,0.5985893672406194,-39.07257487871381,-43.31489072588744,4.242315847173629,0.01,0.6019614907629551,-23.036503388312358,-28.884608175993378,5.84810478768102,0.005,0.08630093781468288,-32.045591656169535,-43.91410020557022,11.868508549400687
16.0,0.0125,0.5025268036433335,-19.93345732065886,-37.11067469779735,17.17721737713849,0.005,0.6325690929033331,-39.07790043651229,-58.50582820519938,19.42792776868709,0.01,0.5344341364598134,-20.329087194249592,-41.7785761912231,21.44948899697351,0.005,-0.20858842561310903,-29.938084483850766,-37.28502250603866,7.346938022187892
17.0,0.01,0.6283520846969818,-20.018043645988634,-27.105632840024114,7.0875891940354805,0.005,0.6211611195273465,-38.60247119507921,-42.449675428561086,3.8472042334818752,0.01,0.6683650621623555,-20.639535755563664,-30.748880945884967,10.109345190321303,0.005,-0.2277131789650885,-33.92908875943821,-40.71094315504606,6.781854395607851
18.0,0.015,0.5343173231196531,-19.577829847763756,-23.097130427889383,3.519300580125627,0.005,0.662096428207902,-39.75270177281543,-47.83773191000559,8.08503013719016,0.0125,0.5623196672577158,-19.643895398913415,-32.18265346656358,12.538758067650164,0.005,-0.22604826902312128,-32.15155048705449,-47.454701974129925,15.303151487075432
19.0,0.0125,0.26863953566560606,-19.68453120853382,-26.655000632473506,6.9704694239396865,0.005,0.6974401106838143,-41.07874334776543,-41.88922252317102,0.8104791754055896,0.0125,0.29984943003748216,-19.504588185551725,-32.6801890094956,13.175600823943874,0.005,0.11355001188051542,-30.626196760784442,-49.5997744569535,18.973577696169055
20.0,0.01,0.018804646215986556,-22.332844095129065,-57.24474842368748,34.91190432855842,0.005,0.651514648888823,-39.34014205514877,-63.230579251396435,23.890437196247667,0.01,0.026905886606567658,-23.21264766492859,-33.38754226890275,10.17489460397416,0.005,-0.2172839884910902,-31.383013697436148,-56.98313974136143,25.60012604392528
21.0,0.005,-0.27084822330234554,-27.40507057691072,-39.1108661984721,11.705795621561382,0.005,0.2018409982487782,-44.371632380899236,-45.20550024707611,0.8338678661768739,0.005,-0.36652640439376183,-27.819162841792135,-45.792446004376515,17.97328316258438,0.005,0.15188887912278176,-36.789396267139814,-47.14897023001424,10.359573962874428
22.0,0.005,-0.1502651815477475,-28.08374842601305,-45.15542720181067,17.07167877579762,0.005,0.6199615501229473,-43.38652386611961,-69.07231080447623,25.68578693835662,0.005,-0.17311455470379775,-27.171489824111692,-33.94818551884817,6.776695694736478,0.005,-0.17905651703160652,-35.29956536608766,-44.97611236849562,9.676547002407958
23.0,0.0075,0.2825383164578913,-24.76598641991842,-32.467106645384746,7.701120225466326,0.005,0.8137615379042932,-42.50492264536361,-46.35914959214014,3.854226946776535,0.0075,0.2806672827309803,-25.80739113141241,-39.65040894881653,13.843017817404125,0.005,0.04342730514822308,-36.33338091863863,-48.362612719955536,12.029231801316904
