,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.005,0.05984484837474187,-90.30899869919435,-90.30899869919435,0.0,0.005,-0.04637191323663303,-96.1040700282664,-127.9548554251952,31.8507853969288,0.005,0.8013195105890533,-93.81269264637949,-116.7892567735055,22.97656412712601,0.005,-0.07296058724924004,-91.55668102397804,-133.97940008672037,42.42271906274233
6.0,0.0125,-0.7794550526998439,-19.067902106066782,-26.35787443612363,7.289972330056848,0.005,-0.6001964056213389,-40.50147713773028,-46.46288040633592,5.961403268605643,0.0125,-0.7869156417059332,-18.589065566123274,-25.019721058849417,6.430655492726142,0.005,0.6944129916299053,-52.33503506211356,-67.89569208358601,15.560657021472451
7.0,0.0125,-0.821516199346154,-17.839877737795685,-27.85812821781927,10.018250480023585,0.005,-0.630278327565904,-40.242357432729094,-49.37488635143283,9.132528918703734,0.0125,-0.8220984368766906,-16.901984292774227,-25.069205597984325,8.167221305210099,0.005,0.8045172588498412,-52.25508983797355,-82.85227346154527,30.597183623571716
8.0,0.0125,-0.7694091201291617,-18.348517252510565,-25.17945457436082,6.830937321850254,0.005,-0.5787812889366108,-43.918929723654216,-46.626663066944054,2.7077333432898385,0.0125,-0.7636653887242042,-17.639142751303638,-23.153310422329252,5.514167671025614,0.005,0.719535575674144,-55.70454915988318,-61.647067627065056,5.942518467181877
9.0,0.0125,-0.5161956667373689,-19.168484251466694,-24.620384022303966,5.451899770837272,0.005,-0.40526529688406654,-44.55452013839776,-54.195356979983124,9.640836841585362,0.0125,-0.5255421184457377,-18.168874883996228,-28.042685160876243,9.873810276880015,0.005,0.5976532547451515,-57.93378639861431,-61.98267322698406,4.048886828369753
10.0,0.01,-0.2464659235910787,-20.238632444712863,-58.053321564799646,37.81468912008678,0.005,-0.03739642826342561,-47.93213169855502,-58.311889016636094,10.379757318081076,0.0125,-0.24700423007739059,-19.405643152290427,-31.55506416390676,12.149421011616333,0.005,0.5952758100595216,-58.67679941044771,-66.71841069391303,8.041611283465322
11.0,0.0075,0.13375115722629458,-22.483237727288405,-26.264683183171726,3.781445455883322,0.005,0.5025530016716792,-49.119334870493525,-63.03332783889197,13.913992968398446,0.01,0.10360683143390596,-21.64767371226755,-88.08988009089842,66.44220637863087,0.005,0.4495856090485643,-56.10439872997488,-68.87266817897863,12.768269449003746
12.0,0.005,0.7443904778395286,-26.402077532225967,-34.98074175694637,8.578664224720406,0.005,0.8834460688491803,-51.116523830446035,-54.67150721904886,3.554983388602828,0.0075,0.7396013031790848,-25.9377320749535,-40.44451569703312,14.506783622079617,0.005,0.5138729667250442,-58.20271909164945,-99.45615214840217,41.25343305675272
13.0,0.01,0.3134607935065317,-23.4882260656439,-41.5539874427866,18.0657613771427,0.005,0.6393711120608724,-51.78674245941955,-63.30123987155845,11.514497412138901,0.01,0.33068022124300184,-24.1112041211695,-30.4649779814026,6.353773860233101,0.005,0.3805398182697588,-56.569673541584955,-67.42079829365122,10.851124752066262
14.0,0.01,-0.40774813136222,-20.694491119424605,-30.094521391358896,9.400030271934291,0.005,0.03274956443377836,-49.45744515465541,-52.946120251880664,3.4886750972252543,0.01,-0.40507492394735456,-20.403263551889093,-29.805301690416975,9.402038138527882,0.005,0.4444892477723117,-57.816834347375874,-76.30013849553333,18.48330414815746
