,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.005,0.12737888043358891,-55.50174490930948,-76.32959861247397,20.827853703164493,0.005,0.11828517401253778,-73.4802354563789,-73.60897871977811,0.12874326339920117,0.005,-0.03259573733177431,-60.93208344948202,-77.01110251849533,16.079019069013313,0.005,0.08769251055568657,-63.40712868159536,-69.22492456094774,5.817795879352381
2.0,0.005,0.14115479159567723,-57.053842065562876,-80.76657360480111,23.712731539238234,0.005,0.4311081731159479,-72.97733309475406,-103.29232640856604,30.314993313811982,0.005,-0.04440703491527996,-61.91294239944662,-90.56868815027904,28.655745750832423,0.005,0.08685116515454419,-62.4254532073257,-73.38661303815064,10.96115983082494
3.0,0.005,0.21368517497778583,-57.844012891236346,-69.48114499602985,11.637132104793508,0.005,0.23383719228445082,-73.09815695036322,-91.29292238461444,18.194765434251224,0.005,0.008950382992499607,-61.751908766680046,-80.79011910923002,19.038210342549974,0.005,0.07526579558789753,-63.56956645162754,-86.95097615446986,23.38140970284232
4.0,0.005,0.19474022958798778,-58.053321564799646,-90.30899869919435,32.2556771343947,0.005,0.2701005213523452,-73.92304932898895,-77.64237579138685,3.719326462397902,0.005,0.04759676166363671,-64.96393567982102,-69.77674842200103,4.812812742180014,0.005,0.15203482827209325,-64.21273121139721,-77.88389787209007,13.671166660692862
5.0,0.005,0.14262344958766507,-58.94496421785445,-73.40703789890921,14.462073681054761,0.005,0.4926773240796481,-75.31263167048627,-86.59688209434836,11.28425042386209,0.005,-0.058631688586816645,-65.47356868627556,-88.97288910490362,23.49932041862806,0.005,0.13069563339334256,-65.8582547105833,-79.62956521779299,13.77131050720969
6.0,0.005,0.13748161055119706,-61.68172341601461,-78.2677988726351,16.586075456620485,0.005,0.21874200487648235,-73.95856512595564,-82.02885059954994,8.070285473594296,0.005,-0.07870217174677512,-67.25235372497424,-92.92509064562857,25.67273692065433,0.005,0.09880995947484149,-66.58445329851942,-86.89027863051754,20.305825331998122
7.0,0.005,0.17258757832810628,-61.68172341601461,-76.32959861247397,14.64787519645936,0.005,0.3618047602520434,-74.73627156478906,-81.52832447365296,6.792052908863894,0.005,-0.09725540251274879,-69.97741462571591,-80.35132438062332,10.373909754907416,0.005,0.044843927611494826,-68.88797464758565,-90.61364260403145,21.725667956445804
8.0,0.005,0.17633237772595478,-63.46054508275023,-78.2677988726351,14.807253789884868,0.005,0.2687735844441801,-76.80673737191032,-85.07902994015666,8.272292568246343,0.005,0.17149156261820117,-70.30634720727392,-93.83905117670369,23.532703969429775,0.005,0.04115105581356342,-70.5067859385676,-84.133566750477,13.626780811909398
9.0,0.005,0.21387985840217202,-66.78717351808073,-90.30899869919435,23.521825181113613,0.005,0.2748802385643791,-78.1455479408413,-82.05429618820212,3.908748247360819,0.005,0.10631968826510177,-74.33971562915387,-97.45518173827789,23.115466109124014,0.005,0.023248335271372118,-73.06311076317449,-124.9952268702655,51.932116107091005
10.0,0.005,0.963856173849261,-45.34953337195822,-133.97940008672037,88.62986671476216,0.005,0.5781925079899448,-74.21842049919967,-74.21842049919967,0.0,0.005,0.9887723900335293,-49.477220296000716,-81.48569417149476,32.00847387549404,0.005,0.9705894267584028,-50.63451177006947,-67.10322272719972,16.46871095713025
