,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.005,0.4181275719452776,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.993447195857416,-100.98828688206716,-109.00772794886956,8.0194410668024,0.005,0.06333680825429584,-97.20610161688822,-117.92815581473975,20.722054197851534,0.005,0.07428574861034598,-90.79122852488908,-93.09075811004483,2.299529585155753
11.0,0.005,0.002748766787448552,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.8284461011529869,-106.26740903403771,-131.04033443713092,24.77292540309321,0.005,0.02458846265027169,-97.33276226453084,-108.54241524053548,11.209652976004634,0.005,-0.004184895232678938,-90.26009399226558,-108.84506158498134,18.584967592715756
12.0,0.005,-0.009350852320708411,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.21634276038211497,-106.21528542981657,-119.33639798261638,13.1211125527998,0.005,-0.005798824953452747,-96.3322305507238,-122.08211285932336,25.749882308599553,0.005,-0.04586324246591109,-89.2703126253108,-108.87011543458715,19.599802809276355
13.0,0.005,-0.008476466027421345,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.15989050574224234,-111.79881469641494,-123.27232910228544,11.473514405870503,0.005,0.04636398566625311,-97.21841139292643,-111.76644976580212,14.548038372875695,0.005,0.0020021333133971894,-90.8511778358796,-104.41707321835283,13.56589538247323
14.0,0.005,0.021752868656028213,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.18208501709384442,-104.45189698225646,-109.26129138325783,4.80939440100137,0.005,-0.044684194910266324,-96.90600462129427,-101.06983375843433,4.1638291371400555,0.005,0.015690041990072647,-89.94086181107541,-100.94301460932621,11.002152798250805
15.0,0.0125,0.9680428460185071,-19.430119849536226,-51.518613646821976,32.08849379728575,0.005,0.5565073322665703,-69.81401842495443,-81.80405829901808,11.990039874063655,0.005,0.9254847611382095,-26.909187943758806,-49.76374936705065,22.854561423291845,0.0125,0.9835993898900468,-19.795029431667036,-33.36975316879057,13.57472373712353
