,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.005,0.3805334807323102,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.884922116597429,-102.77565110585618,-125.99153282323957,23.215881717383382,0.005,0.20747366147924107,-97.19067172939931,-133.97940008672037,36.78872835732106,0.005,0.0038477176211468775,-91.01146864036,-98.97982280756567,7.968354167205675
8.0,0.005,0.008384006096310901,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.6709909233400595,-105.45724638760042,-109.05398036680864,3.5967339792082242,0.005,-0.00535230322816673,-95.81229926632071,-110.36628271873087,14.553983452410165,0.005,-0.032540411246750826,-90.59239872558136,-112.58672052380615,21.99432179822479
9.0,0.045,0.7978334404538642,-7.509528939505186,-9.708344600470934,2.1988156609657477,0.005,0.996738512939816,-31.99679143102914,-40.349595435190906,8.352804004161765,0.0475,0.8115526737620212,-6.84856155451179,-22.90111954093307,16.05255798642128,0.0075,0.6843385016961907,-24.76367618487387,-34.86209849156688,10.098422306693013
10.0,0.06,0.8471897225532,-3.862958506893971,-22.04300341756932,18.18004491067535,0.005,0.9884569097009204,-31.435105395631332,-56.46756905183154,25.032463656200207,0.06,0.8476161868587723,-4.042897504156434,-17.177943733356297,13.135046229199864,0.005,0.19499052289348928,-29.039119927691203,-43.17594411304093,14.136824185349724
11.0,0.055,0.7158388329377567,-5.483549301160446,-13.730647466860638,8.247098165700192,0.005,0.9835163480427433,-28.419538592096355,-42.917078889582314,14.497540297485958,0.055,0.7060005443042681,-5.675187896264501,-14.007261514172031,8.332073617907529,0.005,-0.2767268359469266,-31.362146415903666,-43.74106219225137,12.378915776347704
12.0,0.05,0.7217350400256837,-6.253240398517538,-11.045524371689325,4.792283973171787,0.0075,0.9581398327721554,-25.55395195136656,-27.182191752069492,1.6282398007029322,0.0525,0.7268339576803611,-5.097356822535845,-28.384127717089708,23.28677089455386,0.005,0.0803193086973244,-27.874895685721405,-39.35312983981743,11.478234154096022
13.0,0.0525,0.6659800794245495,-5.771332131376021,-27.480003231185005,21.708671099808985,0.0075,0.8977708015738687,-25.84015946652427,-38.790461026723875,12.950301560199605,0.045,0.6752495923855897,-6.9655500117361155,-14.589639420136526,7.624089408400411,0.005,-0.08596812902100989,-27.468489194561254,-45.82320731464537,18.35471812008412
14.0,0.04,0.6445481433007696,-8.628203085835287,-12.142515913670774,3.5143128278354876,0.0075,0.7544571408119809,-25.791374457691653,-35.21327230204775,9.421897844356096,0.045,0.6304887715209028,-7.239672306266829,-24.798296099911127,17.558623793644298,0.005,0.4017448185632691,-27.949464321135334,-48.865293734341336,20.915829413206
