,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.005,0.0542246427163585,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.7707032463199226,-101.59395341754662,-129.74762290963034,28.153669492083722,0.005,-0.04949603506473208,-96.88351143099204,-117.43728356233643,20.553772131344388,0.005,-0.06254319219723989,-88.38976777006435,-104.88415078940172,16.494383019337363
7.0,0.005,-0.37032537284446554,-62.704773864962235,-90.30899869919435,27.604224834232113,0.005,-0.22651000637903426,-86.99499288936687,-97.39420835669503,10.399215467328162,0.005,-0.7661645400637129,-70.86361041657378,-73.48462834851217,2.621017931938397,0.005,-0.25198284922101183,-67.03371925455446,-80.63546638142066,13.6017471268662
8.0,0.005,-0.06978116969874841,-62.704773864962235,-80.76657360480111,18.061799739838875,0.005,0.4255226721864945,-85.9372301738263,-100.1741603663348,14.23693019250851,0.005,0.07240808896700648,-68.58954612548413,-85.54533956405528,16.95579343857115,0.005,-0.2405577176910078,-66.88736547007794,-72.68729088565618,5.799925415578244
9.0,0.005,-0.18122036701912933,-55.98893182649837,-74.74597369152148,18.757041865023112,0.005,0.040004991778215655,-74.26483095879546,-84.18080658393532,9.915975625139865,0.005,-0.1966755576899642,-56.36311970497421,-68.65602277167002,12.292903066695814,0.005,-0.27327840766764105,-66.37108601354409,-70.11651723232964,3.745431218785555
10.0,0.005,0.2546569112953066,-48.87135855307185,-76.32959861247397,27.458240059402122,0.005,0.1338458082564538,-69.36438592731223,-72.62903901756543,3.264653090253205,0.005,0.21147570720285325,-49.664916415213796,-59.38910915815246,9.724192742938662,0.005,-0.26942569705856273,-66.69484526443875,-76.36780173580024,9.672956471361488
11.0,0.005,0.39534414682325986,-47.20227794989312,-61.06103874121523,13.858760791322105,0.005,0.34633563107660237,-68.72558996525775,-77.41505869200603,8.689468726748274,0.005,0.48298392937602264,-49.434596496909286,-52.04001061644995,2.6054141195406615,0.005,-0.40885713329786094,-65.28203062788691,-74.38138742532058,9.099356797433671
12.0,0.005,0.6092645462019426,-45.85466927624269,-52.92436430457484,7.0696950283321485,0.005,0.788615490532252,-64.38498234337538,-77.55578426615348,13.170801922778097,0.005,0.5724754080205424,-45.97603690806184,-110.19119154422016,64.21515463615832,0.005,-0.3797877995474681,-62.95322150906997,-77.86225417750317,14.909032668433206
13.0,0.005,-0.6268281597974333,-42.9246815509915,-48.164799306236986,5.240117755245485,0.005,-0.5943330649601978,-62.911144938705775,-64.0509711724945,1.1398262337887246,0.005,-0.568478442343727,-44.8638180044164,-70.82853695920643,25.96471895479003,0.005,-0.19067137749921073,-61.832098394337514,-114.40765195991136,52.57555356557385
14.0,0.005,0.16932197986983585,-43.1122890523966,-53.787502645177824,10.675213592781226,0.005,0.15342719564174348,-63.428201215694166,-82.52961735299817,19.101416137304007,0.005,0.1416666734464462,-43.52919189400246,-57.99909442970542,14.469902535702964,0.005,-0.24360953724968842,-62.0055784681965,-110.9609051082183,48.9553266400218
