,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.01,0.1714463786524553,-23.66427038936549,-32.635769996122,8.97149960675651,0.005,0.04969866514598115,-42.33141632346826,-43.36936001788764,1.0379436944193756,0.01,0.1871833098348675,-23.103551750641902,-38.73699935074496,15.633447600103057,0.005,0.9978279134459568,-43.31374689326224,-66.49023827571803,23.176491382455787
10.0,0.01,0.11374650323072444,-20.815933631953104,-25.07898323522875,4.263049603275647,0.005,-0.5645474592243092,-42.900390659394745,-55.386469290723355,12.48607863132861,0.01,0.1741907753950789,-20.883239615378706,-32.67964796142571,11.796408346047002,0.005,0.9965855532232154,-40.971201804284796,-47.118961145688694,6.147759341403898
11.0,0.01,0.009564905097704628,-20.11957165714339,-26.435378108368724,6.315806451225335,0.005,-0.7841430138732404,-42.951923148837466,-60.94314230000432,17.991219151166852,0.01,-0.04538460397895598,-21.054171038339152,-26.515840318060476,5.461669279721324,0.005,0.9950921411333404,-43.877930169165296,-73.51159202201596,29.633661852850665
12.0,0.015,0.12129408732547585,-18.357288664150264,-34.01073507369288,15.653446409542614,0.005,-0.5152627361608196,-41.36983942130711,-73.34805762872843,31.978218207421314,0.0125,0.13081717134303922,-17.98772423210903,-26.13880083955521,8.151076607446178,0.005,0.9946448417461751,-43.3797751013485,-51.9026865791118,8.522911477763301
13.0,0.01,0.10767849582486483,-21.691379770136532,-60.48176482250891,38.79038505237237,0.005,-0.6481793442576761,-45.83474968489527,-55.22630167122525,9.39155198632998,0.01,0.12008049670450655,-21.853641224502972,-47.05311568226523,25.199474457762257,0.005,0.9938172856332051,-45.883523177361674,-78.92414905743416,33.04062588007249
14.0,0.01,0.3842773919799549,-22.618346389309387,-47.51141697116962,24.893070581860236,0.005,0.9112635518000284,-38.23774384971839,-48.82557870070507,10.587834850986681,0.01,0.34588902084865547,-24.156421112501675,-53.36717151405756,29.210750401555885,0.005,0.9925607624890407,-44.94755494456985,-55.15447862351265,10.2069236789428
