,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.04809121041045432,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,-0.029732447217625198,-101.53312668655319,-109.95678036100544,8.423653674452254,0.005,0.367997046182139,-97.02522439721429,-133.97940008672037,36.95417568950609,0.005,0.02586211691601858,-90.89780301001628,-133.97940008672037,43.0815970767041
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.1449611038995323,-105.62714013736085,-121.29958176920476,15.67244163184391,0.005,0.7097304273647069,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.26409210557125806,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.14788349050675373,-116.86687316159856,-133.97940008672037,17.112526925121813,0.005,0.36340480819529164,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.021859345375924294,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.18863399254337088,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.6552224478016923,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.030679239096585466,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.5235274935788535,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.27798575749046844,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.5134293638855523,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.3072331108683638,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.6609001948057462,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.09682185181602682,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.35682754919673626,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.15742062320027772,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.7102484430671318,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.18463621705302044,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.3423414710315708,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
