,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
11.0,0.0075,0.9583477861937042,-24.371309188423417,-30.17112454023635,5.799815351812931,0.005,0.9855939286766575,-56.0850900193438,-56.17723178142235,0.09214176207854763,0.0075,0.9651845605129519,-25.38930559371281,-42.906953462520406,17.517647868807597,0.005,0.7831743712561423,-33.33873952766438,-51.343176180116615,18.004436652452235
12.0,0.01,0.842105055047734,-22.45154379115277,-55.34523815907035,32.893694367917576,0.005,0.9072165160506906,-55.663107650851444,-64.11134056518448,8.448232914333033,0.0075,0.8531302339184229,-23.237913512204905,-28.946649336837368,5.708735824632463,0.005,0.5071097870849827,-31.983636376824684,-53.33289509369723,21.349258716872548
13.0,0.01,0.9139138083561952,-24.499402432580894,-32.0539326257679,7.554530193187006,0.005,0.8806602784244064,-58.45742306072188,-73.77628168889892,15.31885862817704,0.0075,0.9245386462414816,-24.249969700187904,-28.61530072363973,4.3653310234518266,0.005,0.4633646012357086,-36.18432035720801,-73.65278550722279,37.46846515001478
14.0,0.01,0.878729406725953,-23.676404346595707,-43.989591790056004,20.313187443460297,0.005,0.8378158442479999,-59.48222577744421,-61.999517477252425,2.5172916998082187,0.0075,0.8898249643476497,-25.13826134182925,-29.339144788988595,4.200883447159345,0.005,0.38687420099060815,-34.55963553767578,-58.25804920816934,23.698413670493558
15.0,0.01,0.6980942323474059,-21.65602549893222,-28.689257760976613,7.033232262044393,0.005,0.8199353505250558,-58.34094187516926,-62.22178989312382,3.8808480179545626,0.01,0.7135547429483947,-24.265945507618728,-27.648881435356927,3.382935927738199,0.005,0.5458624220674869,-31.553612920553775,-38.502879354773405,6.949266434219631
