,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.005,0.6268668535393285,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,0.98383869546493,-94.92755787592765,-98.09571735170833,3.1681594757806835,0.005,0.35690133184242134,-92.41334885522991,-115.93651195944085,23.523163104210937,0.005,-0.054992118854998,-90.54799340502552,-132.64752981742632,42.099536412400795
8.0,0.025,0.5955615223318612,-12.082649852713747,-15.404379008631544,3.3217291559177973,0.005,0.9705447973106169,-28.210701971743035,-37.98937454204389,9.778672570300856,0.025,0.5758768685910994,-12.357964433618902,-20.493594035325845,8.135629601706944,0.005,0.8784755357612887,-37.655422459718196,-49.33020899390779,11.674786534189593
9.0,0.0475,0.7389548140282898,-6.742700002551163,-31.49866900054301,24.755968997991847,0.01,0.9044608342716631,-23.85904763349318,-46.95341567722388,23.0943680437307,0.0425,0.7285267790603112,-7.596230938564032,-12.636362676705673,5.040131738141641,0.0075,0.8592707851623392,-25.72666800730639,-41.256998858797054,15.530330851490664
10.0,0.0475,0.7229493340960205,-6.064713750795532,-42.63269137958573,36.567977628790196,0.0075,0.917091889552141,-25.868196342648965,-42.78655865719246,16.918362314543494,0.0475,0.7178597086209523,-6.841139758907407,-12.6596469731398,5.818507214232393,0.0075,0.8500178827432566,-24.76414914791289,-35.902971086807234,11.138821938894345
11.0,0.0375,0.6360554338784029,-9.101842206222043,-21.59848166922126,12.496639462999218,0.005,0.8787565168450916,-30.130249433711143,-45.072443249580104,14.942193815868961,0.0375,0.6317013171629217,-7.477812748618197,-23.005762710756517,15.52794996213832,0.01,0.8237484058518376,-25.17813504239555,-50.77383438786106,25.59569934546551
12.0,0.0175,0.6632988005068648,-15.975579187991647,-33.04254149678523,17.066962308793585,0.005,0.806652329145116,-43.67318366001022,-63.3406786099841,19.667494949973886,0.0175,0.6434523635515127,-15.420200227609955,-35.63926169739359,20.21906146978364,0.005,0.8046444941431248,-26.87035134486953,-57.765731681548964,30.895380336679434
13.0,0.0125,0.6811246570795884,-19.383081996765508,-21.982846957996706,2.599764961231198,0.005,0.8061060577119581,-50.456973263514854,-63.41217535585181,12.955202092336954,0.01,0.6863049209895671,-20.464248906236143,-26.63998583976261,6.175736933526466,0.005,0.7819177102643691,-33.00189493732016,-55.68767421361749,22.685779276297332
14.0,0.01,0.6647014577082352,-20.877297615490562,-27.963572786079073,7.086275170588511,0.005,0.8365055390875982,-55.949114126081874,-66.15084846254275,10.20173433646088,0.01,0.6674290792174058,-22.649407478420315,-26.56052627903744,3.9111188006171247,0.005,0.8180847788160583,-32.874332620118075,-68.14423248587354,35.26989986575547
