,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.005,0.08961704831456718,-62.704773864962235,-84.28839878591472,21.583624920952488,0.005,0.988728156726604,-103.99584078350962,-121.01469538636543,17.01885460285581,0.005,0.2638406283117304,-100.0730205003662,-133.97940008672037,33.90637958635418,0.005,-0.04806944149112142,-93.14977923009016,-112.94070936470554,19.79093013461538
7.0,0.005,0.0254731412470782,-63.074441978842486,-90.30899869919435,27.23455672035186,0.005,0.8871416544281914,-107.86662911209986,-123.52445777268031,15.65782866058045,0.005,-0.006593313819209388,-99.59243058514329,-104.34744740827915,4.755016823135861,0.005,0.018453351879283254,-94.80703360324694,-99.11713809111808,4.310104487871143
8.0,0.005,0.0007504136026066304,-61.68172341601461,-133.97940008672037,72.29767667070575,0.005,0.3190976759779423,-112.89191845177704,-133.97940008672037,21.08748163494333,0.005,-0.017938394442139852,-99.00315434562529,-112.67524342385389,13.672089078228595,0.005,-0.016427396753395655,-95.13243422732396,-122.32706837870325,27.19463415137929
9.0,0.005,0.04128566438951488,-59.9387199016366,-66.22659904607586,6.287879144439259,0.005,0.1388315198708934,-116.3811932251798,-133.97940008672037,17.598206861540575,0.005,0.0011993779150279362,-98.68205241220757,-111.15665062538798,12.474598213180414,0.005,-0.01232622884380726,-94.7828242135638,-116.89477470135728,22.11195048779348
10.0,0.03,0.8006100097595451,-9.845596276766424,-28.06360333084894,18.21800705408252,0.005,0.9493290948531746,-72.57662150120291,-72.57662150120291,0.0,0.0225,0.9686899880052321,-12.407382389801905,-23.285037862384872,10.877655472582967,0.0125,-0.06914248354120164,-19.753802285827582,-43.43765572445061,23.683853438623025
11.0,0.035,0.40119817298716115,-8.92674167145194,-42.07660457992975,33.149862908477814,0.005,0.5934007452910807,-58.57035934764951,-67.31511637793837,8.74475703028886,0.025,0.4640563420684364,-11.339412486210014,-32.80575752159434,21.46634503538432,0.015,0.19885904063836388,-17.632277086386324,-38.93113136006561,21.29885427367929
12.0,0.02,-0.10199172150129004,-14.4387785833372,-25.578253469420478,11.139474886083278,0.005,0.7164471433352835,-64.62562657505698,-77.39295089475405,12.767324319697067,0.0225,-0.1218764664905816,-13.420119209306078,-19.447414511714737,6.027295302408659,0.005,0.47495096138459325,-28.166203974279025,-39.09876811457214,10.932564140293113
13.0,0.025,0.3609892605653806,-13.034216552290015,-15.183885724109686,2.1496691718196708,0.005,0.29661601386316033,-64.03980087082513,-72.6883793197764,8.64857844895127,0.0225,0.3457710119256492,-12.361201320295267,-18.111731426806873,5.750530106511606,0.005,0.27441186012492136,-30.245769595933716,-56.27096079879187,26.025191202858153
14.0,0.0225,0.45690516556971306,-12.954936033792404,-19.810695748397016,6.855759714604613,0.005,-0.028331193686338553,-65.20365244907973,-74.34957572528509,9.145923276205366,0.025,0.46740691331391054,-13.04425484582552,-23.181546419987402,10.137291574161882,0.005,0.26751394612396134,-33.29752222121662,-45.44024535832894,12.14272313711232
