,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
11.0,0.005,1.0,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,1.0,-96.14609110689156,-96.14609110689156,0.0,0.005,1.0,-96.3533904976745,-108.62220952587123,12.26881902819673,0.005,1.0,-91.9760726090473,-107.54008687825223,15.564014269204918
12.0,0.0525,0.8220455010045656,-5.622703338940838,-10.60675910840728,4.984055769466442,0.005,0.9964699603491962,-39.30139717164893,-46.69369964237138,7.3923024707224485,0.045,0.950346506883174,-7.716277062970217,-8.358232672517863,0.6419556095476455,0.025,0.17866220606395272,-12.468789434864476,-23.317737330831743,10.848947895967267
13.0,0.0425,0.922084171683867,-7.443705058969941,-23.28467179240752,15.840966733437577,0.005,0.8293814945756711,-31.898388353436793,-48.18135348888303,16.28296513544624,0.0375,0.9439506678754931,-8.613520206923036,-13.243159639856529,4.629639432933493,0.015,0.49277370575073387,-19.368490268391863,-38.272637628112214,18.90414735972035
14.0,0.025,0.930243429029835,-12.0709387783137,-25.11234471792468,13.041405939610982,0.005,0.9369126355195861,-40.656948619732994,-51.952443667158576,11.295495047425582,0.025,0.9363539928230148,-12.768191411621457,-21.152716753239492,8.384525341618035,0.005,0.7838902115962894,-27.428451715614138,-72.99856743149553,45.57011571588139
15.0,0.025,0.9487361060017626,-13.277717053924587,-23.619923676175738,10.342206622251151,0.005,0.9419966803455416,-46.324480049911514,-66.01658139988535,19.69210134997384,0.025,0.9489962685111899,-13.830480631597489,-18.051518349199608,4.221037717602119,0.005,0.5853332991715674,-32.5427634471271,-68.83416923700769,36.291405789880585
