,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.005,0.18241505464692123,-47.263231811533224,-51.7206201849085,4.457388373375274,0.005,0.9630726785017538,-63.07229390632966,-63.07229390632966,0.0,0.005,-0.247346046932607,-48.573828451757734,-51.243785345305746,2.6699568935480116,0.005,0.051298546794563325,-64.57954208816182,-73.00707150558176,8.427529417419947
8.0,0.055,-0.6228699293805371,-4.921075045294531,-12.345469029240828,7.424393983946297,0.005,0.5128662354013225,-26.271287434509386,-40.29859750225291,14.027310067743525,0.05,-0.6285634792857653,-5.16556892519679,-17.495436089768948,12.329867164572157,0.015,-0.4972036989953209,-19.493339560525943,-35.21225548799436,15.71891592746842
9.0,0.0475,-0.3452021680487664,-6.122988796000256,-12.343273127411898,6.220284331411642,0.005,0.5098334202367375,-29.19314193427589,-35.87930338039015,6.686161446114259,0.05,-0.34407167125142873,-5.88222340385133,-11.855714718894143,5.973491315042813,0.01,-0.38204294052043375,-22.331292549013074,-30.984247167814146,8.652954618801072
10.0,0.0475,-0.1898206080432535,-6.183277810945709,-25.97512671579927,19.79184890485356,0.005,0.433143818962365,-32.470370719188004,-51.2734235224202,18.803052803232198,0.045,-0.20463787277163772,-7.013332552281833,-17.14306346645849,10.129730914176656,0.01,0.06089533122723114,-21.1498237876593,-35.65133672991073,14.50151294225143
11.0,0.045,-0.21838187572562393,-6.66527236440346,-42.14419939295736,35.4789270285539,0.005,0.23508487507832823,-34.75609568564091,-56.28860553444731,21.532509848806406,0.045,-0.2170609001949024,-7.6448317233172745,-23.264137660527435,15.61930593721016,0.01,0.12586600617878693,-23.23676303880184,-30.05541049051064,6.818647451708799
12.0,0.0375,-0.07824905719785116,-8.734788592628833,-17.724885557148284,8.99009696451945,0.005,0.3314634682062051,-34.216953746575754,-48.03918139065467,13.822227644078914,0.035,-0.09406569156671847,-8.58847888165817,-13.877225521251091,5.288746639592921,0.01,-0.136596003714733,-23.97495298036202,-61.61306363604477,37.63811065568275
13.0,0.0275,-0.3004748768666211,-11.797600508326834,-11.919068941933126,0.12146843360629234,0.005,0.0722144808949165,-36.184833520739616,-42.39974325539698,6.214909734657361,0.025,-0.29885085763169345,-12.071259704662545,-25.464140072299113,13.392880367636568,0.0075,-0.28856323624068164,-25.2075277194076,-34.33282397563357,9.125296256225973
14.0,0.0275,-0.5752834906772687,-11.95468836800449,-19.674312513663352,7.719624145658862,0.005,0.24438945592009031,-33.274834321017806,-47.64962923683244,14.374794915814633,0.0275,-0.6017776793898916,-10.48928439284113,-23.556463045270345,13.067178652429215,0.0075,-0.027658780641176457,-25.992186543414554,-42.35936239033873,16.367175846924177
