,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.045,0.35005324672753735,-7.628308119506509,-12.598029302863614,4.969721183357104,0.005,0.293042424730395,-32.681887431308034,-48.58809909306062,15.906211661752586,0.045,0.3247730665781479,-7.001578914323998,-13.001494559155242,5.999915644831244,0.005,-0.0852388317032751,-32.36610877897234,-42.554470908913785,10.188362129941446
10.0,0.0375,0.3931796465781304,-8.686460807513392,-18.90459581348786,10.218135005974467,0.005,-0.1699883394382961,-39.86377169361085,-48.86938735239085,9.005615658780002,0.0375,0.4132422432770887,-8.26921183694558,-15.895455700155068,7.626243863209488,0.005,-0.09070217206548864,-31.867151605869793,-85.80483148409508,53.93767987822528
11.0,0.025,0.33141292011345896,-12.257496228318772,-16.543293377262724,4.285797148943953,0.005,0.012867294183388535,-37.79342523280451,-50.60802575704515,12.814600524240639,0.0275,0.32271662523926364,-11.958270290687125,-16.780821440840683,4.822551150153558,0.005,-0.2858480329285743,-36.49479592779968,-80.19754061795084,43.70274469015116
12.0,0.025,0.6877505632759133,-12.11507376252952,-26.540463301229696,14.425389538700177,0.005,0.5519342581431805,-42.39733639136733,-58.85740361423564,16.46006722286831,0.0275,0.6878311714345945,-11.854681028486711,-25.522427698399554,13.667746669912843,0.005,-0.06776931387882482,-41.158970166724096,-46.97958877111848,5.820618604394383
13.0,0.02,0.8263546511915912,-14.663632965064773,-25.84300440707817,11.179371442013396,0.005,0.6721644031523459,-45.31257075237053,-58.33241253077699,13.019841778406459,0.02,0.8269702300875671,-14.586096292846399,-23.69213717508557,9.10604088223917,0.005,0.08250727092358895,-44.2324371365862,-49.727220355471324,5.494783218885125
14.0,0.02,0.5594208229028358,-15.17315824672188,-18.031180969087963,2.8580227223660835,0.005,0.08086414444898986,-47.42379769764096,-66.38140357175934,18.95760587411838,0.02,0.5649592875939801,-15.041512914817691,-20.152033208242642,5.110520293424951,0.005,-0.3308158794329252,-45.17104312021597,-56.38314084921675,11.212097729000781
