,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.005,0.04254336416095297,-72.04255651094475,-133.97940008672037,61.936843575775626,0.005,0.9985905492212461,-103.19690820123023,-103.58357503466807,0.38666683343784314,0.005,0.3741929078646397,-97.67432808325425,-107.06420844725399,9.389880363999737,0.005,-0.024830063630681597,-95.04188498793071,-106.21579038613147,11.173905398200759
8.0,0.005,-0.007191902212813187,-72.04255651094475,-90.10435625078361,18.06179973983886,0.005,0.9503450543371601,-103.46023566265953,-121.20665594864573,17.746420285986204,0.005,0.037100258832752274,-98.02351732999367,-110.2168628457407,12.19334551574704,0.005,0.01914929090248184,-95.07386036279348,-101.23966631959556,6.165805956802075
9.0,0.005,0.01415264150312247,-72.04255651094475,-90.10435625078361,18.06179973983886,0.005,0.40264810284279406,-111.54270527477385,-112.46618064919046,0.9234753744166113,0.005,0.04689753462827765,-99.91739872298658,-114.51304100674194,14.595642283755367,0.005,-0.003661563125179396,-94.09669362083253,-103.49706045127726,9.400366830444739
10.0,0.005,0.06570921445389893,-69.276502823436,-80.56193149349991,11.285428670063908,0.005,0.5213639715718078,-110.9755645537951,-114.86626419715081,3.890699643355717,0.005,0.04686415360605716,-98.50242553897576,-115.20037778698006,16.6979522480043,0.005,0.0006147277218389507,-94.7696143357034,-106.28285619082035,11.51324185511696
11.0,0.005,0.004840686798429204,-69.276502823436,-74.54133158022027,5.264828756784269,0.005,-0.707620228464058,-90.50854242855695,-91.50636857037082,0.9978261418138743,0.005,-0.3391871998711764,-77.7787800123081,-94.07181601923372,16.293036006925618,0.005,-0.023772661893788974,-92.04168362002176,-106.77779776511336,14.736114145091605
12.0,0.0225,0.13329090456240006,-13.26966110022254,-18.347893355018943,5.0782322547964025,0.005,0.9263215959531964,-39.506069981058616,-50.18476790242807,10.678697921369455,0.02,0.12379027447739444,-12.525368357920941,-19.918792199937926,7.393423842016984,0.005,-0.6595439083701149,-56.19979048612598,-67.59874081962644,11.398950333500466
13.0,0.02,0.36825210965761823,-15.922351106257173,-24.281421174958126,8.359070068700953,0.005,0.8461663902338641,-42.780332579236166,-48.32608284913134,5.545750269895173,0.0175,0.37281695102992435,-14.900200163149107,-24.777086765091532,9.876886601942426,0.005,-0.47269797454906626,-59.77133962970369,-76.86021545593398,17.088875826230293
14.0,0.0175,0.4561078630384427,-16.360914870932817,-25.930156253559517,9.5692413826267,0.005,0.8687081374957911,-43.793462496602004,-44.375976924989345,0.5825144283873414,0.0175,0.44987325459183325,-15.79812817223207,-21.02224108849321,5.22411291626114,0.005,-0.4833564157067245,-58.70655027040047,-70.23520441921762,11.528654148817154
