,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.005,1.0,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,1.0,-96.15127099320091,-96.15127099320091,0.0,0.005,1.0,-94.24087492096417,-111.50716730026059,17.266292379296416,0.005,1.0,-94.90100477239449,-125.04140072539889,30.1403959530044
7.0,0.005,0.5618160998434968,-54.32218771012272,-57.43994516947061,3.1177574593478923,0.005,0.9549158176811238,-65.43952003313917,-65.43952003313917,0.0,0.005,0.8939537401763131,-56.32259561775105,-56.32259561775105,0.0,0.005,0.3971438990733869,-90.70293094357709,-101.4043622659612,10.70143132238411
8.0,0.01,0.8587362062825452,-21.001341670225994,-28.15801610430063,7.156674434074635,0.01,0.8807380254754039,-22.87594541331165,-39.69900473881512,16.82305932550347,0.0075,0.8021321672152697,-25.248031641458063,-28.728086198701547,3.4800545572434842,0.005,-0.04173491153742004,-72.4081908865027,-81.92146453432032,9.513273647817627
9.0,0.0125,0.8496930983304178,-17.404484468486036,-25.222872052568643,7.818387584082608,0.01,0.9374499201912323,-20.814965796595146,-27.792099684366146,6.977133887771,0.01,0.6519361900622512,-23.29362601375101,-32.47623750735857,9.18261149360756,0.005,-0.190763498846758,-61.196298355476586,-74.35787348520621,13.161575129729627
10.0,0.01,0.8351076702825844,-21.681723416014613,-32.936109931297835,11.254386515283223,0.0075,0.9487690521138817,-25.60868320767701,-31.4228411347303,5.814157927053291,0.005,0.6480693524257679,-26.150127961678486,-58.07464636272965,31.924518401051166,0.005,0.16674866278164385,-59.89416165905892,-75.10213026553357,15.207968606474651
11.0,0.01,0.8262557418624014,-22.09008152543887,-31.24347196584827,9.1533904404094,0.01,0.9606082556702406,-25.516465470210097,-34.20503787639427,8.688572406184175,0.005,0.564221289000563,-26.443886285669876,-37.966586531863996,11.52270024619412,0.005,0.04346277876136462,-58.632777103003775,-68.75409015616233,10.12131305315856
12.0,0.0075,0.7972352575736709,-22.618346389309387,-28.09047385386595,5.472127464556564,0.005,0.9905239087376239,-27.58994640953905,-32.99703376491161,5.407087355372564,0.005,0.4396746513755824,-27.066549498100034,-40.82397335959363,13.757423861493596,0.005,0.27580759695696405,-50.99490458612904,-91.64247551820829,40.64757093207925
13.0,0.01,0.8319501168077298,-21.98617807582778,-23.611884906848527,1.6257068310207465,0.005,0.9745151841025852,-26.24556985018627,-28.11958736060423,1.874017510417957,0.005,0.4668916723841751,-26.30640585952459,-47.391203915711245,21.084798056186653,0.005,0.16985020161203834,-49.77728928987406,-61.42023955396312,11.642950264089059
14.0,0.01,0.8595809857051894,-22.164580840646426,-26.810366828625504,4.645785987979078,0.0075,0.9759762244235136,-25.775600034410097,-29.075068727582444,3.299468693172347,0.005,0.5815534197980021,-26.184625435737377,-49.52794044423817,23.34331500850079,0.005,0.09335678751875179,-48.61464475206382,-55.0871883427189,6.472543590655086
