,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.005,-0.29731405025393437,-78.2677988726351,-133.97940008672037,55.71160121408528,0.005,0.6529356431603924,-110.188761304616,-110.188761304616,0.0,0.005,0.11336672300737909,-88.11607901882142,-88.11607901882142,0.0,0.005,-0.45556686061380725,-84.22974193132889,-101.07772484996259,16.847982918633704
6.0,0.01,0.17713042082622454,-22.708393739837746,-27.171960677794132,4.4635669379563865,0.005,0.7662669586535428,-60.385396418890124,-68.76372381571258,8.378327396822456,0.01,0.16167457889678152,-22.54285137488975,-28.17057305641747,5.627721681527721,0.005,0.2384332090300748,-29.311838124667617,-46.25367389229173,16.941835767624113
7.0,0.03,0.10101519243735446,-10.481818646435352,-29.77833340872842,19.29651476229307,0.005,0.4395254645662401,-50.93666976902953,-56.14126567957171,5.2045959105421815,0.03,0.10693700793824165,-10.819301768069185,-34.656496073610846,23.83719430554166,0.005,0.027439022397473076,-28.36117232178487,-42.37646464507735,14.015292323292478
8.0,0.03,0.08334517975936158,-11.480757891723364,-25.21320495125016,13.732447059526795,0.005,0.37869842798058406,-55.38017232454696,-69.35380173417633,13.973629409629368,0.0275,0.08694969842771523,-11.28399793719762,-37.677016422022184,26.393018484824566,0.005,-0.10903814878425575,-30.092673692998126,-46.42515406002496,16.332480367026832
9.0,0.02,0.12058977879013902,-15.441939671003244,-32.50057832317607,17.058638652172828,0.005,-0.03474489969056029,-64.01756935878011,-74.74624788330732,10.728678524527211,0.0175,0.1243012787136895,-15.982091773403956,-33.83571762521346,17.853625851809504,0.005,-0.10589484869748476,-31.637274154419792,-58.61987605855938,26.982601904139585
10.0,0.02,0.06304695372731549,-14.46116490922928,-18.093666803728937,3.632501894499656,0.005,0.1626351525133666,-66.53813313114513,-80.76348969808885,14.225356566943717,0.02,0.056701240568342706,-14.679913723034655,-55.172520117159834,40.492606394125175,0.005,-0.04623787583401792,-31.880659434731683,-44.10947070545858,12.228811270726894
11.0,0.0225,0.04803186205726802,-13.637132819225233,-53.04254149678523,39.405408677560004,0.005,-4.968076792286583e-05,-65.61288435866979,-75.11820649671728,9.50532213804749,0.0225,0.056143545293516145,-13.650390722013144,-23.206795655624617,9.556404933611473,0.005,0.10061592462064227,-33.967644058208236,-47.39169287350285,13.424048815294611
12.0,0.0225,0.1365012692809593,-13.97092191168115,-34.489229197418034,20.51830728573688,0.005,-0.014964124140368556,-69.08149391402951,-81.27978868177448,12.198294767744969,0.02,0.13867168260201956,-14.367509547207288,-28.5812448247202,14.213735277512914,0.005,0.2005932188584886,-34.64681973970988,-49.2695318962917,14.62271215658182
13.0,0.015,0.038774081146351454,-16.55841947490167,-32.36745863500595,15.809039160104284,0.005,0.13528204506271851,-66.80019301401882,-84.08852288806824,17.288329874049424,0.015,0.03495674518621954,-16.54576748127076,-38.941551623929485,22.395784142658723,0.005,0.3677902093380935,-29.72842492460526,-57.426956667565946,27.698531742960686
14.0,0.02,-0.0016850083005223687,-14.730064139822021,-21.257937434615847,6.527873294793826,0.005,0.5604197366016695,-64.94131169028262,-67.68789320524478,2.746581514962159,0.02,-0.027712001020289735,-15.126726363163517,-27.285083753415478,12.158357390251961,0.005,0.4886724214502561,-29.4810500206647,-41.16216036989868,11.681110349233979
