,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.005,-0.0930927700245693,-68.72537377824186,-84.28839878591472,15.563025007672863,0.005,-0.999725338112742,-91.20087641144909,-91.20087641144909,0.0,0.005,-0.5728847657093016,-82.07000237992575,-112.00187580547664,29.93187342555089,0.005,0.4700150665525491,-75.02698745055478,-93.27205951851806,18.245072067963278
5.0,0.005,0.07573361660265866,-65.70002027162887,-80.76657360480111,15.066553333172237,0.005,0.016986635750013832,-69.18408257086428,-70.95279381089422,1.768711240029944,0.005,-0.17956166975489946,-75.56972469554384,-88.9463959990866,13.376671303542764,0.005,0.45420597473452146,-73.73558706085151,-86.49108654345608,12.755499482604563
6.0,0.005,0.03190301807054988,-65.20354859712823,-76.32959861247397,11.12605001534574,0.005,0.24158859676988031,-71.03510588770843,-85.45864674199015,14.423540854281725,0.005,0.09503082547778029,-77.45573938288159,-82.41670233666645,4.960962953784858,0.005,0.19873875047048786,-73.1069024218451,-78.29716317209707,5.190260750251966
7.0,0.005,0.9756199345179449,-34.37751203498576,-34.37751203498576,0.0,0.005,-0.06218329126080952,-75.9831327920734,-91.54361528356189,15.560482491488486,0.005,0.7290464375526031,-50.581474304323166,-50.581474304323166,0.0,0.005,0.2631502239351242,-61.558454212093885,-71.03325244950503,9.474798237411143
8.0,0.0475,0.8827637033913833,-5.314761361701178,-17.291197142068107,11.976435780366929,0.005,0.9881670772429884,-27.445763031957433,-32.55928571973756,5.113522687780126,0.04,0.8882666639939979,-6.835342951475651,-34.95852702567043,28.123184074194775,0.01,0.2706770087667704,-23.622677984533297,-43.12133138722164,19.49865340268834
9.0,0.0275,0.538131039442064,-11.991508642040527,-13.479306512486493,1.4877978704459665,0.005,0.9845100277030349,-29.36442113049265,-36.72600202592845,7.3615808954358,0.0275,0.561651594825145,-11.874306452608867,-14.049939752485967,2.1756332998771004,0.005,-0.7543684491343088,-26.599209275929176,-32.30842396437898,5.709214688449805
10.0,0.025,0.37753200391022573,-12.634634659915164,-26.124061724126882,13.489427064211718,0.005,0.9535654528780816,-34.49058457197657,-44.453084261610094,9.962499689633525,0.025,0.3951946892311396,-12.344122302083132,-31.25933776950848,18.915215467425348,0.005,-0.6637310138252465,-26.867053186657614,-36.10105766426272,9.234004477605104
11.0,0.025,0.26052131007168783,-12.033780970947895,-16.118511581667534,4.084730610719639,0.005,0.9625952289953501,-35.967640187789776,-40.123273400847424,4.155633213057648,0.0275,0.24984066348869605,-11.50934150388673,-17.88974766020892,6.380406156322188,0.005,-0.02145443858014169,-29.946620223448562,-47.16249236412109,17.21587214067253
12.0,0.025,0.03781209131833358,-11.379953398932896,-34.717068874037864,23.337115475104966,0.005,0.9570520949330801,-37.016333602294715,-37.603269178747034,0.5869355764523192,0.0275,0.0289999971784168,-11.44893073964142,-22.07897171881306,10.63004097917164,0.005,0.2964708851156244,-34.0316725296281,-34.93682616918531,0.9051536395572057
13.0,0.0225,-0.13046094639783848,-13.297299172153728,-23.860477651075303,10.563178478921575,0.005,0.9230852792206268,-37.609767847021125,-63.86731627846658,26.257548431445457,0.0225,-0.13345194906191105,-13.544929269320992,-20.153298490940266,6.608369221619274,0.005,-0.15325913735649566,-33.606332356548535,-49.99485277107888,16.388520414530348
14.0,0.03,-0.3133043656290057,-10.103847839228333,-20.189728338831834,10.085880499603501,0.005,0.8652484238727194,-33.1621215753483,-38.41908260422884,5.256961028880539,0.0325,-0.34445469702864523,-10.234917330599217,-36.01378450890012,25.778867178300906,0.01,-0.42800949194051374,-22.789049399244018,-26.64194749782667,3.852898098582653
