,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.22100868180269861,-78.2677988726351,-90.30899869919435,12.04119982655925,0.005,0.8075037430924764,-95.61137215439362,-133.97940008672037,38.368027932326754,0.005,0.16833601863168235,-93.42184143653328,-111.38280323468494,17.960961798151658,0.005,0.005901601444608925,-83.92170790013975,-107.72186757124223,23.800159671102477
1.0,0.005,0.6113872554168466,-76.32959861247397,-133.97940008672037,57.6498014742464,0.005,0.8645612205206867,-95.54656787190524,-113.50126117032593,17.954693298420693,0.005,0.3735485681145837,-90.94822028171508,-133.97940008672037,43.031179805005294,0.005,0.02581544995027353,-86.63460354407579,-133.97940008672037,47.34479654264459
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9684951862394507,-99.49278552588319,-124.1276981198066,24.634912593923403,0.005,0.953940963217516,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9032373578798661,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.981603466327504,-109.78691270134942,-122.8368970568347,13.049984355485279,0.005,0.9639653580726908,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9531615623228467,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9739166155554121,-119.99999999999999,-131.55813431099781,11.55813431099783,0.005,0.9702620278872587,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9246682045644729,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9811585533392876,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9440342536189651,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9890237807190995,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.976862018186503,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9912366962455973,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.933529761369384,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9890133630942025,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.975970579869587,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9811356422778147,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.949421681484656,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
