,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.01,0.9945948131745064,-21.02815459041814,-37.619453295979724,16.591298705561584,0.005,0.8431495784287537,-67.5135625866133,-68.1162672029133,0.6027046163000023,0.0075,0.9984563311156626,-20.76576916076254,-34.2363825802392,13.47061341947666,0.005,0.949133032989,-34.29718572353427,-52.648788394521844,18.351602670987575
7.0,0.05,0.9971231196699425,-5.451712776380221,-26.413163544755864,20.96145076837564,0.005,0.983473932564685,-38.466960845439154,-49.5356248474541,11.068664002014948,0.0475,0.9971666558186948,-4.596184169670504,-20.402819605898387,15.806635436227882,0.0175,0.9966734879371889,-15.646447231016401,-66.37476063562572,50.72831340460932
8.0,0.025,0.9589239545657405,-11.154937868217731,-43.381939210181585,32.227001341963856,0.005,0.9639473524021412,-41.098572546117786,-73.91472280817027,32.81615026205248,0.02,0.9587717996890399,-14.85940497935982,-37.733150694820665,22.873745715460846,0.015,0.992795107948242,-17.970054218950217,-68.10463389998547,50.134579681035255
9.0,0.01,0.6056872477579717,-23.35069496916053,-45.49801373354236,22.14731876438183,0.005,0.8744625630057502,-48.144768185439546,-102.78286061694295,54.63809243150341,0.0075,0.5418107601128432,-24.500603985912235,-35.79276159943632,11.292157613524083,0.005,0.9195656430397989,-31.384032943184266,-40.71458394148411,9.330550998299842
10.0,0.02,0.9301390196289777,-12.291828605154524,-25.13146611175173,12.839637506597207,0.005,0.9462624298800232,-40.177353431304866,-40.177353431304866,0.0,0.015,0.8861813507278095,-14.724138958963387,-18.926478965886762,4.202340006923375,0.005,0.95734573321849,-26.94758341237702,-46.500909678980136,19.553326266603115
11.0,0.0325,0.9949271111723943,-8.904546029975194,-34.117804406489,25.213258376513807,0.005,0.9973390141915361,-35.00131412670037,-45.25075917186021,10.249445045159838,0.03,0.995098724531155,-10.039934448999993,-36.85222549036288,26.81229104136289,0.01,0.9739542855114327,-23.17106206182027,-40.5679572686111,17.396895206790834
12.0,0.01,0.867526157272497,-24.570891639746858,-66.22659904607586,41.655707406329,0.005,0.9023407456501111,-43.178927375477365,-60.234800592378654,17.05587321690129,0.0075,0.8819421318756083,-24.243032071202464,-46.01265189652526,21.7696198253228,0.005,0.8470677761440022,-37.0184403428107,-45.90483782579496,8.886397482984258
13.0,0.005,0.7562431585677208,-30.591491553026483,-48.72537377824186,18.133882225215377,0.005,0.8972187190594394,-54.51489081785076,-69.82428705795664,15.309396240105876,0.005,0.7516366066967616,-31.78685544786582,-37.69850629165366,5.9116508437878394,0.005,0.7202688774053522,-40.94359037205126,-44.63107908638541,3.687488714334151
14.0,0.03,0.9892062860775469,-11.637228495261295,-20.028675091181366,8.39144659592007,0.005,0.9883156064330088,-35.45311504246344,-43.107316251696005,7.654201209232568,0.0325,0.9889421199439937,-9.356626593332711,-23.263313333741053,13.906686740408341,0.01,0.9873025606079203,-21.04643633233067,-62.913792273942086,41.867355941611414
