,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
11.0,0.0125,0.5998781469830627,-19.641184538843326,-32.41160556428931,12.770421025445984,0.005,0.8399700281671507,-41.8882109211588,-46.74760370741091,4.8593927862521085,0.01,0.549902564583479,-21.181572916607614,-22.829336475600186,1.6477635589925725,0.005,0.2900830805291238,-50.24952772149648,-50.61674710412956,0.3672193826330812
12.0,0.025,0.31574829404104476,-13.581250312666139,-30.537819561622044,16.956569248955905,0.005,0.09184644856615888,-37.855188109885496,-63.21166849321956,25.356480383334066,0.0225,0.31953760369761697,-12.852324426667481,-22.634178024208055,9.781853597540573,0.005,0.46527388942617187,-46.62510627823519,-58.712109074673,12.087002796437815
13.0,0.01,0.6515320158615152,-20.729016065727212,-29.186153458013308,8.457137392286096,0.005,0.2956747541791655,-55.556134357140444,-57.80396655575664,2.2478321986161944,0.01,0.6639237915975005,-21.143974878427546,-35.5932399287649,14.449265050337356,0.005,0.7896153372274012,-36.219374258407505,-49.91811922689653,13.698744968489024
14.0,0.01,0.7610575037777969,-24.633931032543824,-51.92743685167287,27.29350581912905,0.005,0.3828188099819646,-57.820945138594375,-60.2418020091859,2.4208568705915283,0.01,0.773783028933621,-24.202678714824046,-33.86079614302915,9.658117428205102,0.005,0.8218746014402284,-35.14770891666298,-71.413383800035,36.26567488337203
15.0,0.005,0.16218095725132964,-29.95164431992424,-52.807773431360346,22.856129111436104,0.005,0.1834540265961506,-60.3799321732906,-95.96826980750409,35.58833763421349,0.005,0.18580717421321666,-29.902846351528467,-38.42343351010761,8.52058715857914,0.005,-0.5224665184926554,-46.629658696997254,-58.083185411295226,11.453526714297972
