,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.043237685405295115,-68.72537377824186,-78.2677988726351,9.542425094393238,0.005,0.6654507077419785,-90.24132469819872,-114.71838603830916,24.47706134011044,0.005,0.0852622685067213,-83.77892170615092,-99.47725025941136,15.698328553260438,0.005,0.013658126221829084,-76.27382670535987,-112.67087286890502,36.397046163545156
1.0,0.005,-0.06520241861432319,-69.48114499602985,-84.28839878591472,14.807253789884868,0.005,0.5325614160573575,-88.72738178436262,-93.8648261209878,5.13744433662518,0.005,0.02043661962679907,-83.84278145045022,-118.9442383153819,35.10145686493168,0.005,-0.007173113893334563,-76.390440639283,-92.249750407546,15.859309768263003
2.0,0.005,0.03642599084974401,-69.48114499602985,-90.30899869919435,20.827853703164493,0.005,0.7672867148303891,-88.62023618608099,-129.45178013639864,40.83154395031765,0.005,0.05313569478705385,-84.16944200761671,-93.14445624615225,8.975014238535536,0.005,0.07343997310673411,-75.51126004712552,-83.48366374773519,7.972403700609675
3.0,0.005,0.036394484101626094,-68.72537377824186,-76.32959861247397,7.604224834232113,0.005,0.4110941103792653,-88.16808259530845,-92.05864567520287,3.89056307989442,0.005,0.009209769796335168,-83.82751036515883,-94.28125013474781,10.453739769588978,0.005,-0.031578715602962305,-77.0396569619828,-94.54033732562303,17.500680363640228
4.0,0.005,0.027428475552311773,-68.03013165305762,-84.28839878591472,16.2582671328571,0.005,0.7678072510083569,-88.27842543665122,-98.20615533127682,9.9277298946256,0.005,0.05821742341030672,-85.32085378626996,-91.5299775609388,6.209123774668839,0.005,-0.0022029407520932974,-77.12707776831822,-114.04807514676068,36.920997378442465
5.0,0.005,0.050633548701587025,-68.72537377824186,-90.30899869919435,21.583624920952488,0.005,0.6059596263344629,-88.53322771298814,-101.4825811587893,12.949353445801165,0.005,0.08431201099878348,-84.14387156894793,-93.16411255902241,9.020240990074484,0.005,0.0365435414586093,-76.26800371091738,-88.42408205693278,12.156078346015391
6.0,0.005,-0.010487403774971744,-69.48114499602985,-84.28839878591472,14.807253789884868,0.005,0.7075853102138312,-86.66945796749609,-91.32563861323545,4.656180645739369,0.005,0.05187931925437993,-85.32565973869316,-98.5896543509557,13.263994612262536,0.005,-0.016030494777140736,-75.17104564551417,-107.54396903233908,32.37292338682491
7.0,0.005,0.0062094951470110455,-68.03013165305762,-84.28839878591472,16.2582671328571,0.005,0.6306464727279484,-88.15261255803588,-97.55011982242615,9.39750726439027,0.005,0.022293633180363488,-84.42163096667714,-87.92145064981199,3.499819683134845,0.005,-0.048165126895932386,-77.57333270058939,-92.28463943753701,14.71130673694762
8.0,0.005,0.03981654592761067,-69.48114499602985,-84.28839878591472,14.807253789884868,0.005,0.8318249263035378,-88.48189429943653,-119.41586805688196,30.93397375744543,0.005,0.0685928492495871,-85.09389672007528,-102.94992959736894,17.856032877293657,0.005,0.002237000681903849,-75.80527656286903,-93.06472722193686,17.259450659067838
9.0,0.005,0.30058253379907296,-46.787173518080735,-61.36583807234997,14.578664554269238,0.005,0.24822500564299116,-86.68292830641983,-88.93638715572098,2.253458849301154,0.005,-0.3763400727590821,-60.431858845803426,-82.38326776622716,21.951408920423738,0.005,0.3342990324755744,-47.15836932243928,-89.99641355917952,42.83804423674024
