,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.005,-0.05320312405472064,-62.3501985257536,-68.72537377824186,6.375175252488262,0.005,0.9729937481367836,-103.11943555142948,-111.67901340535167,8.559577853922193,0.005,0.26053721880159936,-97.87730528814646,-133.97940008672037,36.102094798573916,0.005,-0.008062196104883703,-94.13941988902644,-101.28519758479443,7.14577769576799
10.0,0.005,0.057434475314145,-61.68172341601461,-72.24719895935547,10.56547554334086,0.005,0.8533696293666191,-109.73986223521165,-128.03526794146163,18.29540570624998,0.005,-0.09489700026009353,-98.58924648199333,-105.91603683568303,7.326790353689702,0.005,0.014489576677037328,-94.1196409318435,-107.56530482900446,13.445663897160955
11.0,0.005,-0.012504949208020383,-62.704773864962235,-72.24719895935547,9.542425094393238,0.005,0.35772407087142405,-115.21306318213661,-119.9152693542341,4.70220617209749,0.005,-0.019469374002106042,-101.71957159208979,-120.91362669680083,19.19405510471104,0.005,-0.011992303148347552,-94.80766374293492,-107.6293737310873,12.821709988152378
12.0,0.005,0.007875175576490248,-63.074441978842486,-65.20354859712823,2.1291066182857463,0.005,0.259165337808221,-114.8040693375559,-133.97940008672037,19.175330749164473,0.005,-0.0526484982897087,-100.12222633752785,-120.66703464341103,20.54480830588318,0.005,-0.04030411856204979,-95.05602018636753,-99.37103289345714,4.315012707089608
13.0,0.005,0.1391069878842583,-55.66112350273499,-68.03013165305762,12.369008150322635,0.005,0.7504087949316122,-101.96276028249514,-108.67696152107568,6.714201238580543,0.005,0.8304449334830187,-73.58569847667418,-73.58569847667418,0.0,0.005,0.43536273575670253,-64.07760587824666,-71.31604892894208,7.238443050695423
14.0,0.0325,0.9372015310797652,-9.709155191637407,-24.292742816832018,14.58358762519461,0.005,0.8489315149632954,-35.39622597363122,-35.39622597363122,0.0,0.005,0.7609266797133156,-28.841339095207413,-53.47722876143057,24.635889666223154,0.025,0.9334588019305736,-13.243730708047497,-28.984998279474294,15.741267571426796
