,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
11.0,0.005,-0.38999004588526726,-34.56480151608376,-76.24917555779221,41.68437404170845,0.005,0.9118116326491357,-45.48093910208863,-54.15853080726497,8.67759170517634,0.005,-0.5970594257425075,-37.148668469659285,-48.8514938040031,11.702825334343814,0.005,-0.09345932810700613,-45.892026505847355,-47.664496304507324,1.7724697986599693
12.0,0.005,-0.3546986223758306,-27.18280899959865,-55.111078574258386,27.928269574659737,0.005,0.8630534213934568,-40.60538260144892,-55.822996828920076,15.217614227471152,0.005,-0.47272984667402734,-30.115580111859103,-49.955360818168906,19.839780706309803,0.005,0.15862978127190955,-39.086597970347796,-73.97201704123083,34.88541907088303
13.0,0.0075,-0.03603156388219658,-25.24950330961609,-29.89626493113201,4.6467616215159175,0.005,0.6954298355141505,-33.5866341002754,-38.02582778561036,4.439193685334963,0.005,-0.3490708665128718,-29.177155638789092,-32.70645534967376,3.5292997108846684,0.005,0.08011110900779503,-36.00464561674096,-54.87455421600379,18.86990859926283
14.0,0.01,0.013333835313332768,-22.617115596158715,-46.09205781292086,23.47494221676214,0.005,0.872181176704707,-27.903846875117356,-32.6795212686202,4.775674393502843,0.005,-0.4891003598992334,-26.466801431064717,-52.84539380754927,26.378592376484555,0.005,-0.07981602543780765,-35.59059909188116,-45.205834694820894,9.615235602939734
15.0,0.01,0.09080227937778047,-20.849819424153377,-30.457396596258526,9.607577172105149,0.005,0.938115278007461,-28.15417914089087,-31.268852756423485,3.114673615532613,0.005,-0.3825493813528966,-27.229081492130227,-47.092599422037026,19.8635179299068,0.005,-0.20514188778686837,-32.79239989796574,-41.269382043616396,8.476982145650659
