,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.005,0.5500691776684992,-51.03324215228325,-84.28839878591472,33.25515663363147,0.005,0.9431383929759085,-69.12370624042543,-73.22393061254725,4.100224372121815,0.005,0.5940439238700954,-53.91191995647469,-72.42619053102533,18.514270574550636,0.005,0.4524504322789731,-57.90121432707396,-82.66997218887774,24.768757861803778
6.0,0.005,0.48808445951099555,-49.72132314549016,-65.70002027162887,15.978697126138712,0.005,0.9224560251581142,-65.53214871077896,-85.76333762192763,20.231188911148678,0.005,0.5624369930370333,-55.93788232973687,-68.07375740643607,12.1358750766992,0.005,0.363311919078135,-52.36014672382966,-67.83526177068866,15.475115046859003
7.0,0.075,0.9526182182079558,-1.9403210975878693,-9.655817778395878,7.715496680808009,0.0175,0.9994474366957408,-13.276674214924357,-25.32400470042282,12.047330485498462,0.0525,0.930839121359084,-5.574529591495098,-19.813195162877108,14.23866557138201,0.02,0.91314414867778,-14.777249652177764,-23.883540414251122,9.106290762073359
8.0,0.1,0.9872766957397194,0.0,-53.16234877056899,53.16234877056899,0.1025,0.9999086870691827,0.12005897423530915,-8.477934070861217,8.597993045096526,0.05,0.8769829840285809,-5.366609590301307,-13.238747706292779,7.872138115991472,0.0175,0.8343110468440863,-16.363165571173568,-35.82492801033174,19.46176243915817
9.0,0.06,0.9148351147016701,-4.432469931470803,-21.620814547444354,17.188344615973552,0.0425,0.9995073373301402,-7.057166356284186,-59.62115632315391,52.56398996686973,0.0425,0.8173423455420145,-7.727284975911653,-33.225164605128214,25.497879629216563,0.01,0.788987336869721,-20.79022497864259,-32.91301223097035,12.122787252327761
10.0,0.0625,0.9648589073957526,-3.8633720517621932,-12.073066890449315,8.209694838687122,0.04,0.9996977995173914,-8.196166800554142,-11.26788642853025,3.0717196279761083,0.03,0.8129946355642986,-10.176527709312033,-16.574347379917217,6.397819670605184,0.01,0.6936568002655804,-21.298378357522104,-51.411712455215635,30.11333409769353
11.0,0.06,0.9575594503633432,-4.61722609111555,-14.47799259864776,9.860766507532208,0.0375,0.9995212433036086,-8.17382425467214,-19.201533861083654,11.027709606411515,0.03,0.7815049909260776,-11.796107347727977,-26.032302717838853,14.236195370110876,0.01,0.5224785758793028,-20.189506738363306,-36.84523150334832,16.655724764985017
12.0,0.055,0.9605939850116828,-5.589344629557572,-10.8132400549232,5.223895425365629,0.035,0.9998570545625598,-9.210327225134124,-9.547106550332375,0.3367793251982505,0.025,0.7587168083736519,-12.424446963880527,-17.955033465119705,5.530586501239178,0.01,0.5584719299781932,-21.899035903983307,-49.616877695944474,27.717841791961167
13.0,0.05,0.9565763890924325,-5.35886221619594,-21.966210504647844,16.607348288451902,0.035,0.9996519858499356,-8.380135011550284,-22.2029508961958,13.822815884645518,0.0225,0.7695029657225593,-13.192745595232411,-31.037953960015606,17.845208364783197,0.01,0.44603275128650394,-20.662564411429063,-33.85786918564284,13.195304774213778
14.0,0.0525,0.9533108430580759,-5.386909016340134,-9.432325616531422,4.045416600191288,0.0325,0.9998823001254171,-9.52892961349893,-11.845171764421723,2.3162421509227933,0.0325,0.7874811840048996,-9.545454117409584,-24.067921642781304,14.52246752537172,0.015,0.5284455839629881,-17.325513816929114,-31.657463297238753,14.331949480309639
