,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.005,0.03786860754166319,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.8378026623914459,-100.70468125827753,-128.24439147270073,27.539710214423195,0.005,0.11396215979820698,-98.4317116784014,-102.0397227367776,3.6080110583762064,0.005,0.023439467000537128,-88.8129138567359,-101.61996219419862,12.807048337462717
4.0,0.005,0.9951282072130986,-51.92743685167287,-61.68172341601461,9.75428656434174,0.005,0.7280452096880676,-100.6830344191238,-111.23590621091839,10.552871791794587,0.005,0.039689388611961966,-92.05839731195405,-98.14025927212641,6.081861960172361,0.005,0.9516199989340676,-68.21691050995224,-73.01376165372203,4.796851143769786
5.0,0.0525,0.9987057181561246,-5.3962781110702975,-39.3289334586786,33.9326553476083,0.005,0.9990627157620544,-62.57908658284614,-98.69130830428321,36.11222172143707,0.005,0.9906964212227717,-26.59542226902213,-40.159400759790415,13.563978490768285,0.045,0.9982515383712168,-4.5608924850751285,-27.5514378459293,22.99054536085417
6.0,0.03,0.9721114968110564,-11.419345256190985,-26.0121217382404,14.592776482049414,0.005,0.9951334660725505,-58.985730735469524,-70.02326560696686,11.037534871497336,0.005,0.8830434909731056,-34.96119264269175,-50.323758247732435,15.362565605040686,0.025,0.9674801638220352,-12.1604113256993,-33.87160261702721,21.711191291327907
7.0,0.0125,0.9592168786988026,-19.532498920436282,-29.528652259246115,9.996153338809833,0.005,0.9857854950807666,-64.52222217294617,-71.663392088894,7.1411699159478275,0.005,0.9701533648774524,-40.40910367880302,-60.245101093496174,19.835997414693153,0.01,0.9539491620408456,-21.430658614984736,-44.17710708201689,22.746448467032153
8.0,0.01,0.9827053015730779,-23.362398392855347,-38.01105437853166,14.648655985676314,0.005,0.995372809270913,-62.83543054103295,-115.19210498308715,52.3566744420542,0.005,0.9823049066372186,-42.085522118675044,-47.618696638973425,5.533174520298381,0.01,0.9830329709040468,-24.145550410631984,-36.53530178138488,12.389751370752897
9.0,0.01,0.985791009457498,-24.715659818225248,-31.46883763874809,6.753177820522843,0.005,0.9927118067844034,-66.08026482176814,-73.33253733997702,7.252272518208883,0.005,0.9858740034583677,-41.076600746379846,-47.44790693256859,6.371306186188747,0.0075,0.985738780807816,-25.210305229553576,-33.05119419912941,7.840888969575836
10.0,0.01,0.9889916060972647,-24.923410903756384,-34.77497501942614,9.851564115669753,0.005,0.9899861136590574,-64.73824211723175,-75.3858136627096,10.647571545477845,0.005,0.9923647686156958,-37.5180619659175,-44.43934100376549,6.921279037847995,0.0075,0.9888629302010005,-24.30788050299523,-37.892110574110724,13.584230071115496
11.0,0.005,0.9817009193381101,-26.402077532225967,-30.352537084279845,3.9504595520538786,0.005,0.9966236936321422,-63.57605684490724,-64.94030553146271,1.3642486865554702,0.005,0.9846286867634734,-37.16182042643909,-48.86233375092536,11.700513324486266,0.005,0.9813311729297227,-26.631450746565328,-34.90094469460779,8.26949394804246
12.0,0.005,0.9744071782277014,-28.50383764056803,-38.074532539047524,9.570694898479495,0.005,0.9976467118661319,-63.907895413074776,-94.37709181043144,30.46919639735666,0.005,0.9743577261726873,-38.618022409781226,-67.60679190793078,28.98876949814956,0.005,0.9748658181134434,-29.24667780710896,-42.566391484576805,13.319713677467846
13.0,0.005,0.980259610941399,-32.51176427403059,-133.97940008672037,101.46763581268979,0.005,0.9934896099253495,-65.01207011138871,-70.2341448161023,5.222074704713592,0.005,0.975410188993946,-43.23722932455746,-65.16482323877213,21.92759391421467,0.005,0.9805945329205228,-32.33262078511721,-47.434830451528505,15.102209666411298
14.0,0.005,0.989276179519366,-31.43910838107231,-48.301587796843094,16.862479415770785,0.005,0.9965454492725442,-62.49376897960205,-82.38135605248823,19.887587072886177,0.005,0.9904239428348831,-42.42452071260293,-54.19373130970784,11.769210597104916,0.005,0.9891606062464957,-31.81904137956138,-47.219962509899304,15.400921130337924
