,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.03296776266157025,-72.24719895935547,-90.30899869919435,18.061799739838875,0.005,0.9495994074089342,-103.4260958416211,-112.01060573649221,8.584509894871104,0.005,0.08886202365924502,-99.09486951604764,-133.97940008672037,34.88453057067274,0.005,0.03732930472246111,-93.72481002452245,-106.34889846323269,12.624088438710231
1.0,0.005,-0.08056456508406165,-70.30899869919435,-133.97940008672037,63.67040138752603,0.005,0.9413548542724519,-102.87920963058134,-108.9796111004622,6.10040146988085,0.005,0.250023633219853,-99.89061863670801,-133.97940008672037,34.08878145001236,0.005,0.04067543031535913,-94.91516098741506,-133.97940008672037,39.06423909930531
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.999446289142144,-108.5261863971766,-120.21132009961461,11.685133702438009,0.005,0.9993984846523738,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9701591688312857,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9995874310933172,-119.68464477947263,-133.97940008672037,14.29475530724774,0.005,0.9983423512503354,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9757602618682454,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.99949878711496,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9992842708098778,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.959253917193083,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9991390043384913,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9989047586325305,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9987900893289372,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9989220012704781,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9991383210337479,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9992766174035461,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9994986795584226,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9983585199909654,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9995972737144615,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9993978364214213,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9994915314785531,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9982565487586813,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
11.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9991223338799669,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9993259653927425,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
12.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9987906350797012,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9987904291379334,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
13.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9991548441827179,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9990226835817075,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
14.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9995058209965024,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9992220680742924,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
15.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9995970592270721,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9984706629532957,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
16.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9994837692181333,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9993890310118559,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
17.0,0.005,0.31529814816267643,-90.30899869919435,-90.30899869919435,0.0,0.005,-0.37292542393417577,-103.92917682589136,-110.70228440796316,6.773107582071802,0.005,-0.09147014200070187,-93.67871039548714,-105.8991767269034,12.220466331416262,0.005,-0.018352054982962458,-91.24579543478521,-96.47649053531268,5.23069510052747
18.0,0.01,0.9996799287714775,-24.052762174952594,-33.32061042325637,9.267848248303775,0.005,0.9995428376114406,-42.47779590625149,-42.47779590625149,0.0,0.005,0.9996968605506564,-26.29945845751779,-39.140749081002745,12.841290623484955,0.005,0.9994481812780913,-34.21671690274303,-40.922333630635535,6.7056167278925045
19.0,0.0125,0.9995430865933306,-19.395435703353844,-25.222872052568643,5.8274363492148,0.005,0.9980611425501131,-37.703442854064356,-73.9594413931861,36.25599853912174,0.01,0.9996483765522699,-21.00099213803776,-28.920299520153904,7.919307382116145,0.005,0.9989880342964017,-31.76461048389396,-63.18714062993121,31.422530146037246
20.0,0.01,0.9994345253948281,-22.270653688842863,-45.20354859712824,22.932894908285377,0.005,0.9965829808684749,-44.99821078019985,-55.75503954276268,10.756828762562833,0.01,0.9994690310966344,-23.196689604361467,-39.35922591330889,16.162536308947423,0.005,0.9989805111013166,-33.64412886759713,-49.535753350711374,15.891624483114242
21.0,0.01,0.9995331116484032,-21.409376457435464,-28.62462496440958,7.215248506974117,0.005,0.9975804641602093,-46.29563091854169,-54.118037996177286,7.822407077635596,0.01,0.9995753314281514,-22.912752431453566,-28.02833266680726,5.115580235353693,0.005,0.9991406986800313,-33.23223068134077,-38.72186800161202,5.48963732027125
22.0,0.01,0.9994369056294075,-20.537984369185473,-33.38225645659825,12.844272087412776,0.005,0.9990693420029861,-46.05933489474303,-54.913774896150045,8.854440001407013,0.01,0.9994649781179313,-20.394302986616097,-26.24364333467828,5.8493403480621815,0.005,0.9991915937604832,-33.611920401729634,-45.446690653383534,11.8347702516539
23.0,0.01,0.9995384885135402,-21.44060946353801,-36.31224418184944,14.871634718311427,0.005,0.9991618348943231,-46.766912132184444,-65.94054093693684,19.173628804752397,0.01,0.9995559495226398,-21.07027840412333,-56.73093384159981,35.66065543747648,0.005,0.9990201557100669,-32.9831624919469,-52.326548881760296,19.343386389813396
24.0,0.01,0.9995707840978943,-23.956087834771186,-34.83326979957049,10.877181964799302,0.005,0.9989054997851343,-46.767778992982265,-66.44509062281789,19.67731162983562,0.01,0.9995769136520507,-25.329848806098664,-49.83665262546393,24.506803819365263,0.005,0.9996248270037726,-32.955260785982674,-53.35513852867382,20.399877742691146
25.0,0.01,0.999608240255831,-23.19613769477698,-34.68825992677172,11.492122231994742,0.005,0.9987557443406989,-47.591059975849824,-54.83322821603235,7.242168240182529,0.01,0.9996266221794526,-23.749836068013906,-28.274967504719207,4.525131436705301,0.005,0.9994905676312641,-31.844228876754936,-40.239569023456205,8.395340146701269
26.0,0.01,0.9994909664698243,-21.221249356255253,-28.43356306921976,7.212313712964505,0.005,0.9986180156858343,-48.098891429253555,-57.49974469507656,9.400853265823002,0.01,0.999538283230509,-22.40279372420315,-47.90039533607998,25.49760161187683,0.005,0.9987798677046823,-33.36092040076971,-43.807812546018496,10.446892145248789
27.0,0.01,0.9994649190907874,-22.773810791096757,-58.713326766858145,35.93951597576139,0.005,0.994670814057962,-48.510969288909806,-88.37566028843149,39.864690999521684,0.01,0.9995154135655391,-23.962069411988566,-40.453049447467876,16.49098003547931,0.005,0.9992646845363585,-33.89443048743617,-37.44543466195964,3.55100417452347
28.0,0.01,0.9996508558611854,-22.069873940586326,-32.075195524117134,10.005321583530808,0.005,0.9973616881154401,-48.2193163269427,-69.03654446003621,20.817228133093508,0.01,0.9996937844373254,-22.525201622357166,-35.50224256500579,12.977040942648621,0.005,0.9988747055949367,-32.897836066792266,-38.00804464481022,5.110208578017954
29.0,0.01,0.9996429453751845,-24.42408437643199,-43.1122890523966,18.68820467596461,0.005,0.9980171769472491,-48.71154568686714,-49.7503997935594,1.0388541066922627,0.01,0.999651606106421,-25.653482929924706,-37.36507109372131,11.711588163796605,0.005,0.9996213184417868,-30.850656883658324,-49.894005639970025,19.0433487563117
30.0,0.01,0.9995062909042818,-23.615903361529533,-25.27623429023012,1.6603309287005885,0.005,0.9987646426230239,-49.748758041594776,-59.79839565053712,10.04963760894234,0.01,0.9995584405325625,-23.239799581965826,-39.93875494223562,16.698955360269792,0.005,0.9988207395785932,-32.97059549789096,-63.063608725010624,30.093013227119663
