,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.01916626604683025,-74.74597369152148,-76.32959861247397,1.583624920952488,0.005,0.7229463658495978,-96.91100354366036,-110.03402350091947,13.123019957259118,0.005,-0.016026781631650108,-85.68414960306217,-97.55358308633492,11.869433483272758,0.005,0.013350673248429808,-76.93116738911644,-95.84318556550986,18.912018176393417
1.0,0.005,0.006226220056493509,-73.40703789890921,-133.97940008672037,60.572362187811166,0.005,0.408392086309849,-100.48595973109207,-118.43303588247464,17.947076151382575,0.005,0.0897411024939163,-87.29781453914109,-105.00163625256276,17.703821713421675,0.005,-0.00785454174454998,-78.21463097818432,-133.97940008672037,55.76476910853606
2.0,0.005,-0.043393600221415904,-74.74597369152148,-90.30899869919435,15.563025007672863,0.005,0.4818727658124187,-98.89355840329486,-114.79187178841309,15.898313385118229,0.005,0.010005480952151513,-86.90431321047107,-102.27872269895975,15.37440948848868,0.005,-0.08787237086799496,-80.26364079633339,-95.20390531128092,14.940264514947529
3.0,0.005,-0.03964767955735187,-73.40703789890921,-90.30899869919435,16.90196080028514,0.005,0.39426175086372395,-100.19942189235272,-116.58135145114233,16.381929558789608,0.005,-0.05826652838396963,-87.76576415855168,-89.4233356061438,1.6575714475921188,0.005,-0.03969959925893139,-77.82156073686619,-98.09113997247502,20.26957923560883
4.0,0.005,-0.013160004700705812,-73.40703789890921,-84.28839878591472,10.881360887005513,0.005,0.6801690031930255,-97.15484676850123,-105.04918988529509,7.894343116793863,0.005,-0.029529799163484798,-86.40440366351487,-107.3391047154948,20.93470105197993,0.005,0.02200839713456149,-76.73043057574282,-98.52205602693095,21.79162545118814
5.0,0.005,0.9123767650304437,-57.63962958760263,-84.28839878591472,26.648769198312095,0.005,0.8170695144224195,-96.01183144448666,-112.4474785944365,16.435647149949844,0.005,0.9591943617236195,-57.87145186691936,-60.80498251411577,2.933530647196413,0.005,0.45939609668640036,-77.74740284343413,-84.4281157607385,6.680712917304376
6.0,0.005,0.927301779485775,-51.7206201849085,-68.72537377824186,17.004753593333362,0.005,0.757373675209028,-100.10982091062174,-102.39669303057164,2.286872119949905,0.005,0.9315594644618238,-52.84314154916187,-58.57695706637868,5.7338155172168115,0.005,0.9041665888021773,-68.60988327970853,-89.78224195312819,21.172358673419666
7.0,0.005,0.9395365082571528,-44.91873981483603,-53.53201688444925,8.613277069613218,0.005,0.7471534250679206,-100.91282659733935,-104.85634390373603,3.9435173063966857,0.005,0.9408059927276361,-45.43670045689062,-70.68528535174521,25.248584894854588,0.005,0.958712726034056,-65.41354578560777,-75.21299131551308,9.799445529905313
8.0,0.005,0.9099305111859255,-43.3040383325111,-48.945281464271126,5.641243131760028,0.005,0.7948663160536229,-98.72929057024672,-102.41005223221939,3.6807616619726673,0.005,0.9113158915050333,-43.2463162314707,-64.4844093791283,21.238093147657594,0.005,0.9239185188235358,-61.4397313817648,-66.63285620089891,5.193124819134113
9.0,0.005,0.8991477831851812,-40.28781345483932,-76.32959861247397,36.04178515763465,0.005,0.8779727565331249,-97.82748260530124,-100.41059036136562,2.583107756064379,0.005,0.8990991943668081,-39.99413616157166,-66.36738426625769,26.373248104686027,0.005,0.9208522403151513,-60.428787755425915,-90.45856576978636,30.029778014360446
10.0,0.005,0.9443464927410871,-38.267798872635105,-60.20599913279624,21.938200260161132,0.005,0.8732720803474152,-97.67423528729205,-97.67423528729205,0.0,0.005,0.9445260505783726,-38.27942078166313,-57.88098126547445,19.601560483811326,0.005,0.9411653454607102,-58.33787571034952,-66.65610409052478,8.318228380175256
11.0,0.005,0.9787981611042853,-35.26802974280558,-60.20599913279624,24.937969389990656,0.005,0.7148420174787207,-95.17756568676766,-114.16354298765732,18.985977300889658,0.005,0.979667271230888,-35.50654980667623,-54.981939509756714,19.47538970308048,0.005,0.9290841546753424,-51.6162704587063,-61.18202427496826,9.56575381626196
12.0,0.005,0.9264570359787647,-31.64938226073039,-38.13847802765047,6.48909576692008,0.005,0.8712452045268253,-94.9551707204664,-106.65719545194095,11.702024731474552,0.005,0.9276187367673153,-31.21060060735473,-54.07179976513939,22.861199157784657,0.005,0.8983429251861447,-50.35651150430536,-68.6088396696685,18.25232816536314
13.0,0.005,0.9609174970220575,-26.706481195913277,-26.792966042228766,0.08648484631548925,0.005,0.9601892706016506,-88.87466732858181,-93.51833345927301,4.6436661306912015,0.005,0.9605359449042075,-26.31872233854066,-37.59291598750811,11.274193648967447,0.005,0.9717628641286165,-43.02847495646037,-70.01871950356681,26.990244547106442
14.0,0.005,0.9700057386026985,-26.022720750706362,-33.99744373270901,7.974722982002646,0.005,0.8879100323411947,-86.82219877715285,-113.73983253247565,26.917633755322797,0.0075,0.9705495922134444,-25.694316666611186,-30.842678238612695,5.148361572001509,0.005,0.9818808622610665,-42.509998517179135,-55.19598056587206,12.685982048692928
15.0,0.01,0.9003131604932999,-22.164580840646426,-30.65453094582345,8.489950105177023,0.005,0.9834929959321779,-84.02619204188382,-84.02619204188382,0.0,0.01,0.9002576990589598,-21.88452679473785,-30.44639764514111,8.56187085040326,0.005,0.9220583656389998,-41.108405867887555,-45.696744871023554,4.588339003135999
16.0,0.01,0.9602843858936198,-20.18431150695184,-39.552616797728874,19.368305290777034,0.005,0.9820502605802903,-81.59989524379283,-102.54505782838832,20.945162584595494,0.01,0.9607666622372073,-20.568297096071532,-27.268551996225042,6.70025490015351,0.005,0.9119951413751413,-40.86342672188497,-51.00243594941418,10.139009227529208
17.0,0.01,0.9426839112482585,-20.29603743175612,-48.945281464271126,28.649244032515007,0.005,0.9847530952282793,-81.52814431103324,-84.65859130700188,3.13044699596864,0.01,0.9433814285308686,-20.8604083395425,-47.12498069301507,26.26457235347257,0.005,0.9445045648987428,-38.389962655223684,-41.193455302548,2.803492647324319
18.0,0.015,0.8927787773777068,-17.031212726741128,-38.69049918568197,21.659286458940844,0.005,0.979948295775395,-79.07678073375483,-93.65009329411684,14.573312560362012,0.015,0.8916435514608884,-16.734425462586273,-25.105518235823062,8.37109277323679,0.005,0.9381814597403155,-35.74012391882795,-42.70307110759393,6.96294718876598
