,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.7776810028817371,-80.76657360480111,-84.28839878591472,3.5218251811136128,0.005,0.9146993822666134,-89.08178764430184,-90.04729371467234,0.9655060703704947,0.005,0.2037877851085617,-94.85093227760859,-112.84004525573367,17.98911297812508,0.005,0.1769768283659946,-89.0827782031117,-116.46600180035242,27.383223597240715
1.0,0.005,0.6623099967698798,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.9820685262875133,-88.52621514589373,-111.52067204834275,22.994456902449016,0.005,0.518822994603546,-91.38944433943021,-97.49095249926023,6.1015081598300185,0.005,0.1180454967143992,-88.35132042350139,-133.97940008672037,45.62807966321898
2.0,0.005,0.49932023229224143,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.9029826100494996,-93.86729956246182,-114.50969322969607,20.642393667234245,0.005,0.4073985097527476,-91.091984807114,-109.16126564699313,18.069280839879127,0.005,0.4305250289901893,-88.56640954416248,-105.14893330129219,16.582523757129707
3.0,0.005,0.21488697408659324,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.8688726895003539,-98.57325179309163,-114.64049941779173,16.0672476247001,0.005,0.11147908256403422,-92.31306385764776,-104.03978031639613,11.72671645874837,0.005,0.1912332867201828,-89.52784169468794,-121.887438411203,32.35959671651506
4.0,0.005,0.4995453595665267,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,0.9747549444287128,-94.55029253936722,-107.05710256135362,12.506810021986396,0.005,0.38560832258587696,-100.3137496565806,-133.97940008672037,33.66565043013978,0.005,-0.10039471408851613,-95.05071983443204,-133.97940008672037,38.92868025228833
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9932287345785809,-107.11200226631601,-125.76157854253287,18.649576276216862,0.005,0.9982124274023328,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.6169875591922137,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9993047297047427,-119.99999999999999,-131.1193848568919,11.119384856891926,0.005,0.9958479599336815,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.8137296197388245,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9994282121998626,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9984948581919971,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.6752024905775741,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9996671029371147,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9956747882064753,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.999775345737087,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9982956760296507,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9997666305835677,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9970291973684452,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
11.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9996344383162047,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9975100014100542,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
12.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.999391518547928,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9980809690502679,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
13.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9994345770137705,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9961198320553947,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
14.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9996732059129207,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9984766671698984,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
15.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9997767604438531,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.995526901789289,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
16.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9997644422894983,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9983793557247003,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
17.0,0.0375,0.8553173908473986,-7.525905531056273,-15.08548243607973,7.559576905023457,0.005,0.9832143186746409,-29.608054441066088,-30.106120535174767,0.49806609410867964,0.04,0.854059276015471,-7.615636843702714,-15.601892060085355,7.986255216382641,0.005,0.7899240187081475,-33.24719655397666,-57.80458955438058,24.55739300040392
18.0,0.03,0.6382760146862054,-10.331611421547473,-21.550817988404386,11.219206566856913,0.005,0.8246288324052323,-30.17927502284531,-45.67306806556974,15.493793042724427,0.0325,0.6536870096799967,-10.348077186865146,-36.03581467694495,25.687737490079805,0.005,0.10311179689001847,-45.950007448504024,-66.42735220542659,20.477344756922562
19.0,0.025,0.662151486432084,-12.849566084425488,-19.006215659798567,6.156649575373079,0.005,0.9190784087792939,-39.996515680214976,-64.13509822282062,24.13858254260564,0.025,0.6658634275052502,-12.383708412531448,-35.47046977193587,23.08676135940442,0.005,0.5065543453071447,-47.879118975007266,-59.29265239714902,11.413533422141754
20.0,0.02,0.6234311314963098,-15.032954217702505,-24.51276191684193,9.479807699139426,0.005,0.9339311222976746,-40.42333145420442,-55.38863022025315,14.965298766048726,0.02,0.6195992911653756,-14.348843370882507,-29.371297241475407,15.0224538705929,0.005,0.457426209891632,-49.257347112047334,-69.19914594846979,19.941798836422457
21.0,0.02,0.6619589982565741,-14.688259926771721,-19.13482728853104,4.4465673617593175,0.005,0.8284423572346502,-43.10599839822621,-80.52087206139458,37.41487366316837,0.02,0.6503351703402581,-14.827463650932625,-22.41709350563493,7.589629854702306,0.005,-0.32362968140642756,-50.70430418724071,-63.13891241507851,12.4346082278378
22.0,0.0175,0.6124266623827451,-15.73543136217608,-24.33193717100022,8.59650580882414,0.005,0.8834086252597594,-42.45234683557961,-71.49690767739781,29.044560841818203,0.02,0.5946324087640344,-15.431810971808781,-26.88658620300767,11.454775231198889,0.005,-0.017912212402190462,-52.7052413904036,-66.840403406944,14.135162016540406
23.0,0.015,0.5517920257827519,-17.120183061788005,-44.508306471944,27.388123410156,0.005,0.9118620559999009,-43.52224824749099,-49.29737503965997,5.775126792168976,0.015,0.5770265016060705,-16.53448802441884,-47.888306229286925,31.353818204868084,0.005,0.3721234070193843,-52.90028226053927,-67.27667026852583,14.376388007986563
24.0,0.015,0.417560463876839,-17.463666321140888,-19.540037664990013,2.076371343849125,0.005,0.9697620105152034,-43.757777553281265,-44.85046506145554,1.0926875081742722,0.015,0.38088616876534215,-17.279974940523736,-24.13989645323411,6.859921512710372,0.005,0.14092728304892346,-56.840771959381854,-66.24082306770187,9.400051108320014
25.0,0.015,0.41537220714463796,-17.404484468486036,-29.544545931819982,12.140061463333947,0.005,0.9570703760888151,-43.79530355976587,-45.21512123991674,1.4198176801508708,0.015,0.437606904946272,-18.00669922130912,-51.6077551040459,33.60105588273678,0.005,-0.007673861666618134,-56.66124155230092,-65.0819459195015,8.420704367200585
26.0,0.015,0.5393505567821097,-18.76835898667373,-25.684705739942334,6.916346753268606,0.005,0.9827067300253317,-42.39249949859393,-49.41191762775947,7.019418129165544,0.015,0.5418851030601087,-18.1622132030518,-30.282541407136343,12.120328204084544,0.005,0.19794960282629814,-58.99287587385609,-80.18307125666138,21.190195382805285
27.0,0.0275,0.21480768361216185,-11.711428226058691,-16.791599592815224,5.080171366756533,0.005,0.9490381186219087,-42.607393859035064,-87.46080659072021,44.85341273168515,0.025,0.22962532709150618,-13.612716627255764,-20.221681921671806,6.608965294416041,0.005,-0.01314761763301162,-46.69726380741787,-52.19925111887786,5.501987311459992
28.0,0.03,0.45301662502589,-10.640081552367564,-15.346789349294683,4.70670779692712,0.005,0.9196573519582479,-45.62269155568763,-64.64928417616557,19.026592620477935,0.0375,0.45943730104835967,-8.946739904621356,-14.925642314086973,5.978902409465617,0.005,0.5666752150018602,-42.5465011737343,-61.51937510572707,18.972873931992773
29.0,0.0275,-0.10185474606946233,-10.689852374601953,-32.16077148370263,21.470919109100677,0.005,0.8578580931467271,-47.33202396769354,-60.5557204393718,13.22369647167826,0.03,-0.11705011469782146,-10.507585510579474,-46.4451907987796,35.937605288200125,0.005,0.3048011122573437,-43.0722425412949,-55.727149542821266,12.654907001526368
30.0,0.0175,0.5597135618732092,-16.256941872385816,-22.906141758172318,6.649199885786501,0.005,0.8304721657436898,-54.38293629427497,-65.90120065699847,11.5182643627235,0.015,0.5570810260644788,-17.027814831757464,-54.2671120654949,37.23929723373743,0.005,0.024936707288102183,-54.06830565003439,-81.1242823162855,27.055976666251112
31.0,0.05,0.7412710290865262,-6.193547057225965,-25.16022736199808,18.96668030477211,0.0125,0.9944262218235653,-19.544459729944514,-21.8447580213088,2.3002982913642853,0.0475,0.723367072889307,-6.759497726100021,-32.628631578111985,25.869133852011963,0.005,0.8040473616418383,-29.348759800722256,-57.5679408184918,28.219181017769543
32.0,0.035,0.4916606348548164,-8.054888278576506,-24.46830997929963,16.413421700723124,0.01,0.8821180065612835,-19.45613506144448,-43.51737010108437,24.061235039639886,0.0375,0.4953615225645058,-7.788577663040293,-36.352899803248675,28.564322140208382,0.005,0.4596214060867077,-39.73955161116171,-50.84384876640544,11.104297155243735
33.0,0.03,0.4377275161223049,-10.998379826737146,-19.87316570641189,8.874785879674743,0.005,0.44922326868366713,-40.493250502151625,-51.95807523372443,11.464824731572804,0.03,0.4400498652698252,-9.239831262941054,-12.543077719716262,3.3032464567752076,0.005,0.7092513270548557,-39.111254775860175,-52.09906511952448,12.987810343664307
34.0,0.02,0.47145883098686786,-14.104348339292676,-28.50383764056803,14.399489301275354,0.005,0.6441986484199226,-44.57420444121638,-84.83074966870532,40.25654522748894,0.0225,0.4897912900976731,-12.511133439729674,-50.70376132691745,38.192627887187776,0.005,-0.18685767193484024,-41.8052002686907,-49.528093167993035,7.722892899302337
35.0,0.02,0.4515748805277207,-15.06293143343899,-48.945281464271126,33.882350030832136,0.005,0.6759189484053687,-47.16878954558457,-84.11055444270025,36.941764897115675,0.02,0.4365442932998778,-15.093645994715253,-23.530863916300344,8.437217921585091,0.005,0.3502223384171758,-42.87603354418252,-56.87489726974665,13.998863725564128
36.0,0.02,0.4160243908499978,-16.03079161661525,-27.244900697508672,11.214109080893422,0.005,0.9409214217407461,-45.98521309768387,-50.60841114285015,4.6231980451662835,0.0175,0.4142500698809337,-15.826969191653319,-17.881399929705065,2.054430738051746,0.005,0.3365338432881363,-43.505122168078415,-76.68293120532451,33.17780903724609
37.0,0.0225,0.44533459141158704,-13.80956947672049,-41.091041844063405,27.281472367342914,0.005,0.92636533905592,-44.48606082854023,-44.48843060185574,0.002369773315507473,0.0225,0.45613516471516,-12.907219095964281,-20.670084266180524,7.762865170216243,0.005,0.5071739513008415,-43.12419295536558,-59.57016398365093,16.44597102828535
38.0,0.0275,0.4897140433545512,-11.246374195525457,-15.662732149769507,4.4163579542440505,0.005,0.9002228208037956,-44.496733498126765,-61.45534819109422,16.95861469296745,0.03,0.4959815984030831,-11.591221971073304,-16.85342186496438,5.262199893891074,0.005,0.5219394182097323,-39.31052222287027,-62.43389260351749,23.123370380647223
39.0,0.03,0.5711744678761779,-11.126262075786874,-30.069136406009214,18.942874330222338,0.005,0.8818329762609176,-43.386634395520495,-49.85224377040298,6.465609374882483,0.03,0.5720668149987875,-10.529062121275334,-27.021889791027,16.492827669751666,0.005,0.4469729294146313,-38.312556013137346,-69.99198503925089,31.679429026113546
40.0,0.03,0.6852546792103804,-11.64229049764133,-21.381362454745513,9.739071957104183,0.005,0.9241530296280767,-46.48920337546966,-60.62700325261038,14.137799877140722,0.025,0.6755888998347396,-11.945171025979102,-25.86557365828329,13.920402632304187,0.005,0.4432114902556754,-38.59560241803262,-61.271490418645776,22.675888000613156
41.0,0.0275,0.424546536371545,-10.397172214147288,-39.086971026213234,28.689798812065945,0.005,0.9068317548071041,-46.415314998793974,-55.75188575884387,9.336570760049895,0.025,0.4345350462178163,-12.12162539151348,-29.24510222874894,17.12347683723546,0.005,0.2212318411449759,-38.844454858301575,-56.210363255123816,17.365908396822242
42.0,0.025,0.5942130503418445,-13.081895495329157,-19.48740334366178,6.405507848332622,0.005,0.9129156224822252,-47.686641273712745,-56.96937194579546,9.282730672082714,0.025,0.5965212809103982,-11.712740318046944,-21.11058067662575,9.397840358578808,0.005,0.24097753615439593,-37.58783366169215,-47.87330956821967,10.285475906527516
43.0,0.0225,0.40385681905367476,-12.78002296162753,-22.42346816383793,9.643445202210401,0.005,0.9328021802341899,-47.873641730868584,-51.94858696635313,4.074945235484549,0.025,0.4082353165294627,-13.09585197204173,-37.56274776823217,24.466895796190443,0.005,0.4917822664947035,-37.18442974864032,-51.70863317802385,14.524203429383533
