,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.01,0.9998330057734222,-22.322448056020782,-47.70232332929424,25.379875273273456,0.005,0.9908899939189594,-79.95286132275855,-84.7735713290648,4.820710006306243,0.01,0.9999290384553996,-25.144733963930097,-39.728855376713796,14.584121412783698,0.005,0.9995432931889302,-28.973087316544593,-49.72887323191101,20.755785915366417
8.0,0.02,0.999106765908276,-15.828399240482403,-20.055310774851087,4.226911534368684,0.005,0.9972655610003931,-69.88608320793163,-75.6140995244027,5.72801631647107,0.015,0.9991566299374051,-16.5153035772034,-17.968511153210724,1.4532075760073226,0.005,0.9964131368336753,-26.994025601549975,-45.43264799536484,18.438622393814864
9.0,0.02,0.9991348658109069,-15.096026307567236,-15.884331298848807,0.7883049912815707,0.005,0.993314537921203,-67.8447537140198,-71.31814296378846,3.4733892497686583,0.02,0.9992023766871404,-15.866738575929633,-18.575799842419634,2.709061266490002,0.005,0.9922018680014997,-29.664120513945104,-43.93012574169649,14.26600522775139
10.0,0.025,0.9876241616257774,-12.110393504137743,-16.0796030617078,3.969209557570057,0.005,0.9924332825554367,-67.15846728374026,-88.06326142700576,20.90479414326549,0.025,0.9875402300594053,-13.691950637698916,-15.183324644266762,1.4913740065678454,0.005,0.9962177950322393,-27.78001284849926,-38.777837873325495,10.997825024826234
11.0,0.025,0.9833580450905851,-12.253715820712635,-14.517384455905846,2.263668635193211,0.005,0.9629000911527558,-65.22118812766647,-74.48150367002344,9.260315542356977,0.0225,0.9833386092479012,-13.83726814530388,-21.849233474657087,8.011965329353206,0.005,0.9879231769543663,-28.23776498809819,-42.79492874879112,14.557163760692934
12.0,0.03,0.9860930079773854,-11.24347196584827,-25.438316662553117,14.194844696704846,0.005,0.9669852608374646,-63.94415236086043,-73.6180236941465,9.673871333286073,0.025,0.9863883924462923,-12.617065698724893,-30.06391133906202,17.446845640337127,0.005,0.9708447339180025,-27.68140976907017,-39.72980889231447,12.048399123244302
13.0,0.025,0.9827668779834164,-12.438201827901132,-16.243171136821132,3.8049693089200005,0.005,0.9407070861256597,-64.27730160209443,-72.23037098126252,7.953069379168099,0.025,0.9838074054954914,-12.611793343067433,-16.45250046294023,3.8407071198727962,0.005,0.8920384799563252,-28.87466324417151,-36.51619136736683,7.641528123195318
14.0,0.0275,0.9634019152347396,-11.490703947588647,-25.985680653474496,14.494976705885849,0.005,0.8633153302745935,-67.82204384883596,-106.29963144109863,38.477587592262665,0.0275,0.9644993073129295,-11.888679333719965,-19.77110756157972,7.882428227859753,0.005,0.936818127850114,-28.465539366671976,-49.92044840779084,21.454909041118867
