,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.005,0.328004027029426,-84.08429943793494,-84.08429943793494,0.0,0.005,0.9342092857774587,-102.06258834448292,-112.26859874091323,10.206010396430315,0.005,0.36055133356866476,-97.2546228817828,-102.20556263006314,4.950939748280348,0.005,0.2010546330281189,-89.7376356253386,-95.91112704370514,6.173491418366538
11.0,0.005,0.16326719760158023,-84.08429943793494,-90.10489935121457,6.020599913279625,0.005,0.48415914913900654,-104.53381167989198,-111.73808187308748,7.204270193195498,0.005,0.17878893981437202,-96.7215214617035,-113.73254487765956,17.01102341595606,0.005,0.24587192095993082,-89.24838803534408,-99.66535927061379,10.416971235269713
12.0,0.005,0.1943628156052547,-84.08429943793494,-90.10489935121457,6.020599913279625,0.005,-0.3944483021211053,-105.69869843391879,-128.52330990412582,22.82461147020703,0.005,0.07694331933876597,-95.23323440755945,-106.67293347076935,11.4396990632099,0.005,0.2780124322110803,-87.55933415962448,-99.95502314550748,12.395688985882998
13.0,0.005,0.1680780300847444,-84.08429943793494,-133.97940008672037,49.89510064878543,0.005,-0.4729393454341811,-104.05957328892313,-109.26204304575879,5.202469756835654,0.005,0.025424731793497225,-92.90245105754076,-113.6823646077116,20.779913550170846,0.005,0.24294844036415605,-87.94300532697952,-102.60592174470088,14.662916417721362
14.0,0.005,-0.4704136350558904,-35.50541332081038,-51.619314015269076,16.113900694458692,0.005,-0.9013686496618369,-40.61812567184819,-50.63541169438853,10.01728602254034,0.005,-0.2090276733348781,-51.96231792789049,-66.02652705656016,14.064209128669667,0.005,-0.2163601301066789,-51.22785268601943,-97.80249669769633,46.574644011676895
15.0,0.005,-0.3123293905294632,-39.60400352446201,-52.83844248131785,13.23443895685584,0.005,-0.44531310153822024,-39.00835337493275,-49.2930396615282,10.284686286595445,0.005,-0.4435461065120369,-53.37661754053946,-75.64652518990313,22.269907649363667,0.005,-0.23879669239806067,-50.40382927289663,-65.72570759618542,15.321878323288786
