,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.005,-0.0679108814470204,-65.70002027162887,-74.74597369152148,9.045953419892612,0.005,0.8760849732071163,-86.48105774907036,-92.78319826436973,6.302140515299371,0.005,0.0203357801157021,-73.20146793877082,-78.27715048487568,5.075682546104858,0.005,-0.19018971888126934,-67.63500046422664,-79.62803068838836,11.993030224161728
10.0,0.005,-0.11655548857958116,-65.70002027162887,-84.28839878591472,18.58837851428585,0.005,0.3352637023503754,-82.20286608900858,-88.16294686344182,5.960080774433237,0.005,-0.0768487242631686,-68.88776442764629,-83.97767655262427,15.089912124977985,0.005,-0.15037874443078944,-69.89046997226276,-73.39249377435615,3.5020238020933903
11.0,0.005,0.9979322734365849,-37.439945169470604,-46.90376439129521,9.463819221824608,0.005,0.9993971538292883,-50.20008156893898,-53.985757377053304,3.785675808114327,0.005,0.9987316695620939,-37.271634583724726,-38.596697838621196,1.3250632548964703,0.005,0.007933020470141699,-69.67469311463103,-80.06063786987656,10.385944755245532
12.0,0.005,0.9992617141622241,-27.498837838430763,-43.22682991624633,15.727992077815568,0.005,0.998631419678307,-35.79963742026871,-38.07876377431255,2.2791263540438393,0.005,0.9991078357726273,-31.07262073066291,-31.07262073066291,0.0,0.005,0.45409066770792367,-67.10715881825689,-88.07289093615287,20.965732117895982
13.0,0.0125,0.9997537125034545,-18.021601908228583,-27.361656543318627,9.340054635090045,0.01,0.9999299633006373,-20.16460245005307,-39.46229790422314,19.29769545417007,0.005,0.9991404984110457,-26.979220148922387,-54.95710811760883,27.977887968686446,0.005,0.5716121229782535,-65.60351251248677,-79.71040117585306,14.106888663366291
14.0,0.0175,0.9996804994623519,-15.800567697709184,-18.00894640870259,2.208378710993408,0.015,0.9997771026257254,-18.129752258264073,-24.566733760381222,6.436981502117149,0.005,0.9976107727947291,-26.43430209043528,-45.97668679574997,19.54238470531469,0.005,0.5099393365740092,-67.83184195516593,-98.0278702482036,30.19602829303767
