,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.005,0.4416155386614895,-66.39571913881645,-89.91754438591738,23.521825247100935,0.005,0.6728054690929611,-103.77268045313643,-108.23398530772378,4.461304854587354,0.005,0.5023237782031336,-72.5664726298828,-100.23082060744468,27.66434797756189,0.005,0.39647273753336576,-72.11120984776325,-107.42759961627254,35.316389768509296
5.0,0.005,0.367575721261607,-55.11029072200828,-73.01558344423087,17.90529272222259,0.005,0.8306997695688928,-72.85152769538698,-80.35126964222896,7.499741946841979,0.005,0.4644075136476378,-66.8794408372367,-77.67846013792291,10.799019300686211,0.005,0.4762529048861372,-64.11905987037719,-76.57029048193237,12.45123061155519
6.0,0.005,0.32710169597143895,-54.800047428753295,-89.91754438591738,35.117496957164086,0.005,0.9324625968984369,-77.92769712088703,-101.08024196485489,23.15254484396786,0.005,0.5872726268669406,-67.21794775352363,-75.21248461194914,7.994536858425505,0.005,0.37649545599927636,-64.381258836745,-75.10751595324008,10.726257116495077
7.0,0.005,0.35627635470780067,-54.648984412264525,-66.39571913881645,11.74673472655192,0.005,0.928473750146937,-77.55611545094833,-102.02749228348112,24.471376832532798,0.005,0.5518269600203469,-66.68892435552264,-73.98216576963779,7.293241414115144,0.005,0.38646563477767026,-63.63227418181559,-73.96204307516007,10.329768893344479
8.0,0.005,0.3218147307851927,-55.26966900615993,-73.01558344423087,17.74591443807094,0.005,0.7500749560257377,-79.60320382186397,-88.16767317901963,8.564469357155659,0.005,0.6248737142195393,-66.18226318835339,-73.54770434950137,7.365441161147984,0.005,0.35365421401345876,-60.96022602773412,-72.33937338581869,11.379147358084566
9.0,0.005,0.32300129550761314,-55.9381440220503,-66.39571913881645,10.457575116766144,0.005,0.7671822896529783,-81.55311053831267,-86.1943822868732,4.641271748560541,0.005,0.6313360228037601,-66.7375374802505,-83.90139799395229,17.163860513701792,0.005,0.425361300201208,-62.49072056801165,-75.8389395225044,13.34821895449275
10.0,0.005,0.35300958940012456,-55.43202708727988,-133.97940008672037,78.5473729994405,0.005,0.9668857216075774,-74.73882830272103,-80.62876010044548,5.889931797724444,0.005,0.557375580956625,-67.01677682714838,-71.89630558426063,4.879528757112254,0.005,0.3555364278216461,-63.09731190120893,-74.4020955601113,11.304783658902373
11.0,0.0125,-0.5144713566214604,-18.664550600542903,-26.010623239149187,7.346072638606284,0.005,0.13475472484191645,-64.59041824833362,-64.59041824833362,0.0,0.0125,-0.49608115074279874,-18.31924349605936,-35.4425211040646,17.123277608005242,0.005,-0.6271589600246844,-43.10841661884516,-52.95569010312231,9.847273484277146
12.0,0.0275,-0.3658660662467032,-11.251848746890868,-13.355952216415787,2.104103469524919,0.005,-0.44672728218427715,-44.48944019782118,-65.4789457995036,20.989505601682424,0.0225,-0.3467303094926008,-12.226010675740614,-15.43779528513673,3.2117846093961155,0.005,-0.5928536832206204,-26.674101675075438,-39.8414279308479,13.167326255772462
13.0,0.0325,-0.38166750270380057,-10.099228902924246,-35.221547588157954,25.122318685233708,0.005,-0.23759436108475665,-37.68783846129964,-57.184584805484604,19.496746344184963,0.03,-0.3862474171388377,-9.730564486247156,-21.50477355082266,11.774209064575503,0.005,-0.5064936043221626,-28.310690868829347,-55.93226994815947,27.621579079330125
14.0,0.0275,-0.5785648311238725,-11.280254164710353,-17.954871292865235,6.674617128154882,0.005,-0.2031890274900883,-36.93795446286198,-71.43377632913233,34.49582186627035,0.0275,-0.5628182364028561,-10.396688560192844,-18.756900208441415,8.36021164824857,0.005,-0.651886202057489,-37.83859799756312,-50.247102018343234,12.408504020780114
