,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.005,0.0178735636713898,-65.05867825596235,-74.6011033503556,9.542425094393252,0.005,0.9584862086864392,-85.12491664458155,-90.04886172241021,4.923945077828662,0.005,0.04129930175308664,-73.52938114956493,-85.75710321435326,12.227722064788338,0.005,-0.05079903309807086,-68.58887124187264,-89.1300477022326,20.541176460359964
7.0,0.005,0.028616832770314415,-65.55515009019823,-133.97940008672037,68.42424999652215,0.005,0.551350923682793,-90.00572618658772,-110.38467061357302,20.3789444269853,0.005,0.046509469640535,-70.89753021221026,-79.31344407263398,8.415913860423728,0.005,0.024731904779348193,-68.03747122519947,-86.45916229353523,18.42169106833576
8.0,0.005,-0.01189645827903403,-64.5890561960509,-90.16412767915378,25.575071483102874,0.005,-0.025275968189705504,-84.02992490416625,-102.63125953171044,18.60133462754419,0.005,0.012830719204107043,-70.68691950435473,-95.05314626099732,24.36622675664259,0.005,-0.07372721085605882,-68.45988296603595,-94.22621172626093,25.76632876022498
9.0,0.005,0.014590559299986495,-64.14352817319897,-72.10232793931493,7.958799766115959,0.005,0.5636189353650322,-89.55183741706243,-89.63775080917142,0.08591339210899207,0.005,-0.01205961216188719,-70.52545453696914,-93.66037419387744,23.13491965690831,0.005,0.018216443886157358,-68.01881537801638,-106.036832512802,38.01801713478561
10.0,0.005,0.023880690801436264,-65.05867825596235,-90.16412767915378,25.10544942319143,0.005,0.4887656565420984,-87.79383592163657,-92.19411876339082,4.400282841754247,0.005,0.041425390525207745,-71.26127870041228,-82.63864801913728,11.377369318725002,0.005,-0.016928943464212736,-68.5186547110667,-90.1548943385979,21.636239627531197
11.0,0.005,0.4241991037389329,-62.55990352379635,-72.10232793931493,9.542424415518582,0.005,0.4885817308578658,-84.05466586537136,-89.48057714046804,5.425911275096681,0.005,0.6036417482411156,-64.08148646781993,-79.80089753345112,15.719411065631192,0.005,0.22691285121235685,-68.1484072915788,-91.28888803885731,23.140480747278502
12.0,0.005,0.8436493110764496,-31.68888887281752,-76.18472799975822,44.4958391269407,0.005,0.5410711886196945,-70.7047720342507,-80.63019699088389,9.925424956633194,0.005,0.8409209696516733,-32.75637528052111,-41.88321942580623,9.12684414528512,0.005,0.9416298739187791,-38.86793362500301,-43.79190674073425,4.923973115731236
13.0,0.01,0.34670332450947305,-20.77063263350891,-35.794094045890695,15.023461412381785,0.005,0.5918488762824456,-36.885947986855385,-36.885947986855385,0.0,0.01,0.3480054785527782,-23.65201772245861,-31.20204528590871,7.550027563450101,0.005,0.4109274770808905,-30.02440808320224,-39.48809259203747,9.463684508835229
14.0,0.015,0.5811123915984807,-16.854384145772087,-25.199757123493782,8.345372977721695,0.005,0.7621147035642781,-36.2968975805671,-41.49888078699103,5.201983206423932,0.015,0.5848959117049485,-16.848065064161478,-25.059734467009356,8.211669402847878,0.005,0.34682925217641575,-35.628065572303704,-63.23634345192592,27.608277879622214
