,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.005,1.0,-90.30899869919435,-90.30899869919435,0.0,0.005,1.0,-119.99999999999999,-120.80879102369762,0.808791023697637,0.005,1.0,-101.48486821566082,-101.48486821566082,0.0,0.005,0.9999999999999999,-95.95444890173836,-133.97940008672037,38.024951184982015
5.0,0.005,0.9878525365073945,-68.72537377824186,-74.74597369152148,6.020599913279625,0.005,0.9999973700946742,-92.81989822702805,-96.22373808931506,3.4038398622870147,0.005,0.9747247986671436,-80.00918057292247,-87.18146465139654,7.172284078474064,0.005,0.9917568807762401,-67.57679416537422,-77.99270706173593,10.415912896361704
6.0,0.005,0.9950431883600853,-34.70265245639133,-58.713326766858145,24.01067431046682,0.005,0.9895514245999555,-74.93016084058254,-74.93016084058254,0.0,0.005,0.9954059762087208,-45.754958317359254,-56.27696067609102,10.522002358731768,0.005,0.9950489435358104,-35.65579939122338,-54.332777502582424,18.67697811135904
7.0,0.005,0.9761766201271355,-31.82341297795672,-44.073921478079264,12.250508500122542,0.005,0.97867082320156,-70.89300186144514,-79.2499622153585,8.356960353913351,0.005,0.9515867986189572,-39.637071593417936,-46.63715853077788,7.000086937359946,0.005,0.9850963215238604,-32.05613988954574,-73.60661171114171,41.55047182159597
8.0,0.0275,0.996548180428989,-11.909664669526617,-20.143792588947665,8.234127919421049,0.005,0.9869475309011451,-67.1011786497545,-81.58790198457923,14.486723334824731,0.0225,0.9966904752300848,-12.79672341180013,-40.24170378303043,27.4449803712303,0.0075,0.994611446668155,-25.030038072791804,-30.08723299292633,5.057194920134528
9.0,0.04,0.9888624250892933,-7.700393346031531,-18.670005531728002,10.969612185696471,0.005,0.9868754075600146,-68.19827695014888,-90.31613471837423,22.11785776822535,0.0375,0.9886513167132495,-9.093271207207481,-16.007399118094202,6.914127910886721,0.0125,0.9952022271238916,-18.97579046565551,-30.92218596328021,11.9463954976247
10.0,0.0475,0.9844655308559818,-6.545058368019246,-25.818337447072643,19.273279079053395,0.005,0.9828369705128954,-63.5335320979332,-67.66771231262179,4.134180214688591,0.0425,0.9839991706005838,-7.886265776398856,-17.886715036776927,10.00044926037807,0.015,0.9888284387931835,-16.89084170583111,-22.442721493869364,5.551879788038253
11.0,0.0525,0.9825243842926895,-5.984624682451608,-20.766573604801106,14.781948922349498,0.005,0.9865398866511882,-63.10060065998037,-75.34459489713511,12.243994237154737,0.0475,0.9820539225655974,-6.520506833301653,-29.315660061952276,22.795153228650623,0.0175,0.9856902074837423,-15.17294268330916,-32.7178706658269,17.54492798251774
12.0,0.0475,0.9607994423831445,-6.131575934255842,-20.804294247111788,14.672718312855945,0.005,0.9452296113036477,-68.29248558589552,-72.41746187808215,4.124976292186631,0.0425,0.9617116592783578,-6.947749093044483,-27.42952715829723,20.481778065252747,0.02,0.9649529366095317,-14.330718215347535,-40.1147518893504,25.784033674002867
13.0,0.025,0.5930507306565022,-13.067564311594474,-40.97164629211217,27.904081980517695,0.005,0.8978091722749065,-67.10987246814666,-73.999358184564,6.88948571641734,0.0225,0.4938273812885222,-13.94346823544365,-29.735467814446956,15.791999579003306,0.0175,0.911977347729635,-14.932109370273075,-26.262497228125973,11.330387857852898
14.0,0.0225,0.7581157544800298,-13.139457862927546,-27.536630021204505,14.397172158276959,0.005,0.863045467570215,-70.64974783158135,-79.76568610376984,9.115938272188487,0.0125,0.26342580150825545,-18.334686864460487,-26.127751043474262,7.793064179013776,0.02,0.9679746964242362,-14.604778187473302,-38.16466469938481,23.559886511911508
