,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.005,0.054715918848151975,-90.2435452768772,-133.97940008672037,43.735854809843175,0.005,0.4638307815877604,-103.84743635576635,-104.41079430172363,0.5633579459572786,0.005,0.36891516132453617,-98.99637531149307,-124.10453619616803,25.10816088467496,0.005,0.062344477423920366,-91.05045980462181,-133.97940008672037,42.928940282098566
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.5987581707195531,-104.43428462770885,-113.14153903601726,8.707254408308415,0.005,-0.727603820599345,-115.28607826031596,-133.97940008672037,18.693321826404414,0.005,0.705089923878387,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.848369195338923,-113.15438728385404,-124.43419942396359,11.279812140109556,0.005,-0.40334174844575105,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.8555933254050415,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.8886356511154206,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.7302592901713866,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0875,0.999616163790242,-1.2589152745752612,-10.552098823461353,9.293183548886091,0.005,0.9999478887397112,-30.963067114844478,-32.0722666147948,1.1091994999503214,0.065,0.9997027381691934,-3.7589697212406037,-7.434411937119717,3.675442215879113,0.015,0.988787088006953,-16.837810154044725,-17.933413320605492,1.0956031665607675
9.0,0.0775,0.9992450584135527,-2.2656565120224124,-20.514935097606802,18.24927858558439,0.01,0.998262328144699,-22.481869526278082,-38.67615943627058,16.1942899099925,0.0575,0.9996850043354231,-3.9735737175653982,-61.613536330900835,57.639962613335435,0.035,0.9972716909808162,-8.86189139010433,-66.54367603200319,57.68178464189886
10.0,0.01,0.9928419077540017,-20.977633018226353,-58.20234545031796,37.22471243209161,0.005,0.9869202336497547,-36.1860158966558,-55.96765896994973,19.781643073293928,0.01,0.9972552737958728,-21.534786588454722,-56.462067979236906,34.927281390782184,0.005,0.9675226684188346,-30.973907163131077,-56.523128827794324,25.549221664663246
11.0,0.005,0.9179724974644587,-38.31160300011217,-48.30534485228961,9.993741852177436,0.005,0.9587362418856763,-50.285573959652396,-59.73067412679886,9.445100167146464,0.005,0.9321745376342037,-40.9902413940184,-56.661611588449034,15.671370194430637,0.005,0.888630293779165,-44.50047361826869,-78.49301232161974,33.99253870335105
12.0,0.07,0.9995269833404024,-1.863606069478759,-10.195902993700933,8.332296924222174,0.005,0.9319537555104879,-44.748119405815096,-44.748119405815096,0.0,0.055,0.9994492891168638,-3.7304563389969623,-11.208153672953479,7.477697333956517,0.025,0.9970885856196777,-11.549555534540815,-37.310155268605754,25.76059973406494
13.0,0.1,0.999243686170819,-0.3827533055194696,-15.214883201883698,14.832129896364227,0.07,0.999554082256569,-3.2340841396185938,-19.335362851385153,16.101278711766557,0.0675,0.9991072871551235,-3.7390956938546713,-26.1189854040629,22.37988971020823,0.005,0.8893332822777584,-27.36932617291377,-52.23778033064657,24.868454157732803
14.0,0.035,0.9922869485296844,-9.946416489867747,-29.44733368382812,19.500917193960372,0.025,0.9965204043781289,-12.75370670460391,-50.62523932114282,37.871532616538914,0.0225,0.9892352136796632,-13.238771066893886,-38.19167116846802,24.952900101574134,0.005,0.8979185846446062,-33.0258234305283,-69.14374999791836,36.117926567390064
