,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.006901747431475136,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,0.8204162747054221,-102.37229537121837,-122.44368933262159,20.071393961403217,0.005,0.008273380402248613,-95.70869466718744,-113.67089908101777,17.96220441383032,0.005,-0.08355862881339038,-93.71913312820323,-123.4973813822586,29.77824825405537
1.0,0.005,0.009609068773782514,-80.76657360480111,-133.97940008672037,53.212826481919265,0.005,-0.11963829437822998,-107.53628268409267,-131.7259718567161,24.189689172623417,0.005,-0.0868749848569628,-95.0879172047907,-104.5148265052842,9.426909300493506,0.005,-0.016481341061934218,-92.5808632715534,-133.97940008672037,41.39853681516698
2.0,0.005,0.010901198164486748,-80.76657360480111,-133.97940008672037,53.212826481919265,0.005,-0.18441933434462085,-108.06186264785923,-127.13487312379299,19.073010475933756,0.005,0.09821032285216935,-97.5118638641679,-122.71486430634073,25.203000442172822,0.005,0.020054340132815925,-94.05148662381131,-111.47172991222033,17.42024328840901
3.0,0.005,-0.05080684206185432,-80.76657360480111,-133.97940008672037,53.212826481919265,0.005,0.22846486651564576,-107.29016224233717,-133.97940008672037,26.6892378443832,0.005,-0.03330267304848569,-96.27430069415432,-110.76388925974723,14.48958856559291,0.005,0.014519818519761113,-94.75604909402455,-133.97940008672037,39.22335099269583
4.0,0.005,0.005108612941198585,-80.76657360480111,-133.97940008672037,53.212826481919265,0.005,-0.21821976973460935,-108.28907884667922,-111.96825727865017,3.6791784319709535,0.005,-0.032151872867101756,-97.63178495050836,-105.35975059235813,7.727965641849764,0.005,0.07772815539401015,-93.28936284136716,-102.50735494383505,9.217992102467889
5.0,0.005,0.04095516562686972,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,-0.1709046106183647,-106.1854108131015,-119.81275554918936,13.627344736087863,0.005,0.16076187086927834,-97.2821893106522,-110.35199315981471,13.069803849162511,0.005,0.01873155967171966,-92.88277863982223,-99.70661865897752,6.823840019155284
6.0,0.005,0.02081246284385109,-80.76657360480111,-133.97940008672037,53.212826481919265,0.005,0.012198520655198374,-107.01855083208858,-122.34293453157962,15.324383699491037,0.005,0.007595966164641325,-95.5787000429442,-122.4698215419495,26.891121499005294,0.005,0.07225033381725005,-93.47694480219533,-119.01444701547227,25.537502213276937
7.0,0.005,-0.03451962366942618,-80.76657360480111,-133.97940008672037,53.212826481919265,0.005,-0.25556946903747135,-103.13287845044768,-113.32345142293039,10.190572972482713,0.005,-0.04032471221689285,-93.5158732664296,-104.303724799368,10.787851532938404,0.005,0.015220746825274937,-93.43169906836846,-105.1096476293459,11.677948560977441
8.0,0.005,-0.014913850414484633,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,0.23337951329342668,-107.15493564293061,-116.77156399458411,9.616628351653503,0.005,0.0847356618940209,-96.16896774222589,-103.22539818579556,7.056430443569667,0.005,-0.004834405864128533,-93.38480749756027,-133.97940008672037,40.5945925891601
9.0,0.005,0.06145110979612985,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,0.002433668278515213,-110.17882252575491,-116.38002182038693,6.201199294632019,0.005,0.07031865373612721,-96.1446830714523,-104.93155271697078,8.786869645518479,0.005,0.0028097568913362956,-93.50164086538427,-125.29650203671812,31.79486117133385
10.0,0.005,0.027856394517260543,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,-0.02583466445328156,-102.95791918043273,-124.87714104276735,21.919221862334624,0.005,-0.08075236459471968,-92.87712379833302,-108.18788258399985,15.310758785666835,0.005,-0.024315365410333408,-94.17577062613907,-104.34414679994131,10.168376173802244
11.0,0.005,0.03730678798684204,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,-0.4410242700377999,-105.35780700365183,-123.65953053639029,18.301723532738464,0.005,-0.04867462315137864,-95.13149782598758,-133.97940008672037,38.847902260732795,0.005,0.0015917404599992573,-93.39688027788108,-123.71282661179477,30.315946333913686
12.0,0.005,0.044354241696981246,-80.76657360480111,-133.97940008672037,53.212826481919265,0.005,0.31151403666716193,-104.84368338286441,-104.84368338286441,0.0,0.005,0.17792388880852752,-93.71181114300519,-112.41517711226518,18.70336596925999,0.005,-0.04647592413630556,-93.23880133150139,-133.97940008672037,40.74059875521898
13.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9830117433362704,-103.59326612418585,-114.11574053671471,10.522474412528865,0.005,0.9904790524690943,-112.57170066549966,-133.97940008672037,21.407699421220713,0.005,0.9913466720902787,-119.99999999999999,-133.97940008672037,13.97940008672039
14.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9982355585970882,-114.1158363477235,-127.41242378561806,13.296587437894559,0.005,0.9978129352239298,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9825802538465856,-119.99999999999999,-133.97940008672037,13.97940008672039
