,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.005,1.0,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,1.0,-108.39984989538698,-108.39984989538698,0.0,0.005,1.0,-97.9127243297067,-103.35366531396525,5.440940984258546,0.005,1.0,-95.1178615717994,-114.0064337895376,18.8885722177382
6.0,0.005,0.24282269226910708,-63.074441978842486,-69.48114499602985,6.406703017187368,0.005,0.8489176932702667,-95.0696260464607,-105.69532921459155,10.625703168130855,0.005,0.2930868336029455,-68.42756005216926,-74.63612164470904,6.20856159253978,0.005,0.45324428857986804,-91.36501254090442,-111.041339970011,19.67632742910658
7.0,0.015,0.08168974784163487,-19.05838332194913,-21.136241718681372,2.0778583967322426,0.005,0.7184924419303429,-54.575398955253874,-64.1451859139559,9.569786958702025,0.01,-0.024420047861361937,-20.324121861339172,-30.811111912670132,10.48699005133096,0.005,-0.3581435887949782,-58.09658121798783,-63.12147104133207,5.024889823344239
8.0,0.015,0.44269483402754345,-17.3868082596174,-21.710724743919265,4.323916484301865,0.005,0.7717121187060388,-45.558785178134364,-68.53059445169814,22.97180927356377,0.015,0.42456283570456393,-17.509694365433937,-29.879020579374828,12.36932621394089,0.005,-0.5869859320611012,-53.07858102308835,-71.78376226065063,18.705181237562286
9.0,0.0175,0.6855734614662873,-15.672390293431109,-21.73011289848287,6.05772260505176,0.005,0.41237952281294077,-50.18923284644289,-61.47428402655314,11.285051180110251,0.015,0.6902046284408639,-16.694293084493154,-22.609146891036485,5.914853806543331,0.005,-0.8085330673911321,-52.511310070779004,-75.57823579193173,23.066925721152728
10.0,0.015,0.7302579625638036,-17.757585415583495,-25.906836938393255,8.14925152280976,0.005,0.8861716213114739,-47.76595262733258,-48.93976074407169,1.1738081167391101,0.015,0.7349852711566699,-17.465299145880596,-24.614755451328875,7.149456305448279,0.005,-0.610740320692816,-54.215060575613236,-78.03742596892667,23.822365393313433
11.0,0.015,0.4973024066586601,-16.819124353267355,-25.46811391180334,8.648989558535984,0.005,0.6422900464574673,-46.795219709904224,-81.07327208319417,34.278052373289945,0.0175,0.4900453840568438,-16.446206713931772,-23.477680112328024,7.031473398396251,0.005,-0.12201849901500855,-57.98124713336382,-79.87084964496464,21.889602511600813
12.0,0.015,0.46114039636137827,-18.33537672105109,-46.84527333094888,28.509896609897787,0.005,0.7443336599099973,-47.07724231714821,-59.584204852950236,12.506962535802025,0.0175,0.48540089339445147,-16.34694501387739,-31.067925558914542,14.72098054503715,0.005,-0.7224493320921764,-56.22047175020004,-69.87340534617448,13.652933595974439
13.0,0.0175,0.3303199512867008,-16.301848142741157,-41.61762061851039,25.31577247576923,0.005,0.39374818087838365,-46.152166266693406,-61.292266325450214,15.140100058756808,0.015,0.3417584431059742,-17.31536618850449,-18.248578793692666,0.9332126051881744,0.005,-0.7589436979237906,-56.21440638780744,-76.59236292761148,20.377956539804032
14.0,0.02,0.13558454428586542,-15.034450623880392,-38.92152050689344,23.887069883013044,0.005,-0.3195407665681888,-44.1107450069584,-60.187774316284006,16.077029309325603,0.02,0.12260351373469643,-14.645310385123535,-27.771617033758822,13.126306648635287,0.005,-0.7288564258976407,-47.99207479138513,-56.550193729390976,8.558118938005848
