,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.03098798434286898,-73.40703789890921,-78.2677988726351,4.860760973725888,0.005,-0.2090945689624404,-116.92557186107987,-133.97940008672037,17.0538282256405,0.005,0.08965220929473378,-104.24854405618484,-133.97940008672037,29.730856030535534,0.005,-0.07451598085240312,-89.98107657848004,-105.06937130534445,15.088294726864405
1.0,0.005,0.01100471599885459,-72.24719895935547,-133.97940008672037,61.7322011273649,0.005,0.0840532015333946,-118.38581208515043,-124.87672842127486,6.490916336124428,0.005,0.023580580648082747,-106.47424048849244,-107.79094088366958,1.3167003951771363,0.005,0.012762131826837754,-90.65414167568137,-105.59734356429908,14.943201888617708
2.0,0.005,-0.020840544915846103,-73.40703789890921,-78.2677988726351,4.860760973725888,0.005,0.20382177323087566,-119.99999999999999,-128.0347427950755,8.034742795075502,0.005,0.02341973644715956,-106.46331689245378,-118.3040647673059,11.840747874852127,0.005,0.048407668411672045,-90.53289064220837,-110.90917253032417,20.3762818881158
3.0,0.005,0.021142324769065392,-73.40703789890921,-80.76657360480111,7.359535705891901,0.005,0.18858905026850495,-119.99999999999999,-127.9757778444957,7.97577784449571,0.005,0.12030158572821958,-106.8374407666873,-133.97940008672037,27.14195932003308,0.005,-0.0012265204207994537,-90.85507561105186,-105.41007171952904,14.554996108477184
4.0,0.005,0.04189818711116174,-74.74597369152148,-133.97940008672037,59.23342639519889,0.005,-0.18631457043004324,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.07932914735649767,-105.01435878203105,-122.69993093859797,17.68557215656692,0.005,-0.058259977374942505,-90.27754215181078,-103.38787335961098,13.1103312078002
5.0,0.005,0.01709539928326355,-74.74597369152148,-133.97940008672037,59.23342639519889,0.005,0.28756340419267257,-119.99999999999999,-133.08426642360072,13.084266423600738,0.005,0.16108670481205362,-105.74329258354419,-133.97940008672037,28.236107503176186,0.005,-0.06652412964428593,-90.69336504723651,-98.55121374484796,7.857848697611445
6.0,0.005,0.07868568555750183,-63.074441978842486,-70.30899869919435,7.234556720351861,0.005,0.7486014223098982,-82.37121940284322,-82.37121940284322,0.0,0.005,0.4590078921447314,-82.05454573202292,-82.99452069746548,0.9399749654425591,0.005,-0.24530819004591434,-77.79953729401721,-95.1735571695898,17.374019875572586
7.0,0.005,0.09357443727119129,-64.28839878591474,-74.74597369152148,10.457574905606748,0.005,0.45986142364291344,-69.26893177442864,-74.9815824278644,5.712650653435759,0.005,0.12209107317353779,-74.37249115930447,-77.31723456500018,2.9447434056957036,0.005,0.060414996855538104,-74.54464343057934,-87.24840916041725,12.703765729837912
8.0,0.005,0.07734118767057573,-64.28839878591474,-133.97940008672037,69.69100130080564,0.005,0.5646330041100398,-69.97761781283424,-75.69180533110149,5.714187518267252,0.005,0.05126835309561387,-74.26435900313155,-84.61119989368287,10.34684089055132,0.005,0.1445358791260337,-77.17464413382379,-98.36823080889113,21.193586675067337
9.0,0.025,0.9970160109932692,-10.767336292877305,-30.043825393524028,19.27648910064672,0.02,0.9994746524338806,-14.011564264001194,-15.857062059602718,1.8454977956015242,0.0125,0.9852646948463492,-19.628982376742258,-24.524653811086896,4.895671434344639,0.005,0.6659322796210481,-41.042752017039994,-57.971146047659104,16.92839403061911
