,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,0.08923561857408702,-65.70002027162887,-70.30899869919435,4.608978427565475,0.005,0.9855339196722653,-79.1433241137603,-90.33939468616536,11.196070572405063,0.005,0.6642730206795204,-75.82994545117226,-105.72180284081419,29.891857389641928,0.005,0.056094947724355956,-78.67729765725774,-101.35183678111551,22.67453912385777
1.0,0.0025,0.07000065896843119,-66.22659904607586,-70.30899869919435,4.082399653118486,0.005,0.6781521957678063,-87.0632413097984,-101.29974900254261,14.236507692744212,0.005,0.09304439896841887,-84.81204116789549,-102.06387872166907,17.251837553773584,0.005,-0.013228536047418665,-80.31883822246037,-119.70148937877991,39.38265115631954
2.0,0.0025,0.10870723176312241,-65.70002027162887,-76.32959861247397,10.6295783408451,0.005,0.2031472957091767,-91.58833410184525,-101.43471418675148,9.84638008490623,0.005,0.19983975513408223,-85.44150292564282,-98.56994715544111,13.12844422979829,0.005,9.735252863774198e-05,-82.52358466264609,-95.39358518390691,12.87000052126082
3.0,0.0025,0.08348790684186162,-65.20354859712823,-68.72537377824186,3.521825181113627,0.005,-0.29928813565921764,-96.88348625829224,-104.60528721139455,7.721800953102317,0.005,0.22065046323652976,-85.97995364975054,-108.15907851876032,22.179124869009783,0.005,0.008891001340321949,-81.86991524349777,-90.96347889994024,9.09356365644247
4.0,0.0025,0.08926162321760041,-64.73392668013777,-69.48114499602985,4.747218315892084,0.005,-0.13308156860219514,-95.54212941823855,-96.03880759935562,0.4966781811170762,0.005,0.3169463325393328,-82.72966987841698,-102.50585647139219,19.776186592975208,0.005,-0.0019891757742584813,-82.78980573078137,-94.09381537525235,11.30400964447098
5.0,0.1,0.9000699453677684,-0.0371896264918596,-0.264007860889889,0.2268182343980294,0.0875,0.9954580626621072,-0.9855931524703571,-5.399602943546422,4.414009791076065,0.05,0.9449523855538323,-4.701111486963257,-30.381675892845426,25.68056440588217,0.085,0.13027797839031624,-0.5788440353551354,-20.846000906227687,20.26715687087255
6.0,0.0975,0.8669663140445861,-0.22121275546873564,-11.413425076724216,11.19221232125548,0.0775,0.9853300050119034,-1.5616326995982888,-5.688148117730741,4.126515418132452,0.015,0.6103960839741955,-18.26507052426532,-43.120996307625354,24.855925783360036,0.0675,-0.008992992810132607,-2.6953826291318372,-23.056356226738256,20.360973597606417
7.0,0.085,0.5812788708936456,-0.5379843691854733,-6.640185098435374,6.102200729249901,0.0425,0.9826335228809144,-5.6970147858008,-23.920753796907285,18.223739011106485,0.015,0.6093973539368355,-18.860483743148023,-31.251176675595232,12.390692932447209,0.065,0.014977307759941163,-2.9217523993278545,-31.192523564846624,28.27077116551877
8.0,0.065,0.3754380090554699,-3.7259244833379306,-21.484525214342106,17.758600731004176,0.0175,0.9708141375599734,-15.824191080694643,-45.772668228109666,29.948477147415023,0.0125,0.6075617056584969,-19.70750785475951,-29.76737746693599,10.059869612176481,0.0625,0.03268709164202441,-4.42493264883532,-29.908940563486045,25.484007914650725
9.0,0.0575,0.5296812269583706,-4.001768959607653,-9.980868681771998,5.979099722164345,0.0175,0.9961230569115759,-15.158407816508708,-28.174806897914486,13.016399081405778,0.01,0.7012585788666439,-22.19777744213532,-38.33056358073479,16.13278613859947,0.0525,-0.05145597640892523,-4.064670980511356,-25.61877893396872,21.554107953457365
10.0,0.0575,0.7050758272695712,-4.708363816420312,-16.33481171034262,11.626447893922307,0.0225,0.9993635857251426,-12.665918379574062,-16.938535393292796,4.272617013718733,0.01,0.6441120301590006,-21.43751353413905,-29.16283254843386,7.725319014294811,0.0425,-0.03650099063953227,-7.072727195679596,-16.413630014512787,9.340902818833191
11.0,0.0525,0.8249346588480182,-5.3456084330581515,-18.828373344639978,13.482764911581826,0.0275,0.9967121342519129,-11.695585860707139,-23.94507250383476,12.24948664312762,0.01,0.6950839900859246,-23.81028939545628,-34.43215606949698,10.621866674040703,0.04,0.05940408721506487,-7.853080878514729,-43.54631164108757,35.69323076257284
