,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.11182276790510386,-47.3864379856296,-73.40703789890921,26.02059991327961,0.005,0.9470505933594808,-75.13861939660427,-83.8326304854185,8.694011088814236,0.005,-0.15154372108692957,-49.99863436060147,-71.23924167816847,21.240607317566997,0.005,-0.012287051691869964,-54.92650518932433,-97.72798122788456,42.801476038560224
1.0,0.005,0.10229535397961612,-50.939339728115655,-68.03013165305762,17.090791924941968,0.005,0.8833186992202954,-77.65047178761574,-105.16880868714155,27.518336899525806,0.005,0.11421634300801661,-52.90591398155992,-68.33739535226398,15.431481370704063,0.005,0.03743437700896437,-58.00682569902857,-63.51868794222085,5.511862243192283
2.0,0.0125,0.9815946063627323,-19.34858480108374,-35.75817355862323,16.40958875753949,0.005,0.5188001077260797,-65.05773723891832,-104.43785235112044,39.38011511220212,0.01,0.9826722144737157,-20.751496123509728,-27.130082737955227,6.378586614445499,0.005,0.9773885637031671,-26.48367218456115,-39.44419789928097,12.960525714719822
3.0,0.0125,0.9309808126072028,-19.766716466398254,-50.22257122354151,30.455854757143253,0.005,0.24691193242634332,-60.801529415701026,-72.19411496227018,11.392585546569151,0.01,0.9475023032017532,-21.719089244952066,-28.598868164006717,6.879778919054651,0.005,0.8578067267121128,-28.561150929366555,-36.078873111910255,7.5177221825437
4.0,0.01,0.9180082479541455,-20.62300191225864,-65.70002027162887,45.07701835937023,0.005,0.2688141058009872,-61.49576711547945,-84.96311418219884,23.467347066719384,0.01,0.9311903779280559,-23.129527402350064,-84.78889405102775,61.65936664867769,0.005,0.8738106378077554,-27.998772016112845,-62.42950147688819,34.430729460775346
5.0,0.02,0.9781815585746287,-14.84497585206747,-23.860477651075303,9.015501799007833,0.005,0.4790973384944879,-72.68370070966373,-87.78144707212589,15.09774636246216,0.015,0.9765070520335785,-17.808701652974204,-24.012418779984777,6.203717127010574,0.01,0.9842137743779423,-21.185822398619763,-33.79392861514799,12.608106216528228
6.0,0.0175,0.9957569137845877,-15.698197969651975,-31.875269189522314,16.17707121987034,0.005,0.8459206812001797,-78.54564534658725,-88.0360491280926,9.49040378150535,0.0125,0.9966296871590542,-18.26498369742612,-39.834326600844314,21.569342903418192,0.0125,0.9953441466985049,-19.762469602904062,-38.718654702448994,18.956185099544932
7.0,0.0175,0.9981115512708582,-15.625808434305021,-25.523009116656507,9.897200682351485,0.005,0.7127952700378734,-70.38906073457338,-71.0144568788453,0.6253961442719174,0.015,0.9988010532929371,-16.57438662737297,-21.75906328917401,5.1846766618010385,0.01,0.9926595326143514,-23.37578832344656,-42.457623079449334,19.081834756002774
8.0,0.0275,0.996389664921817,-10.65814705313549,-22.525677011903706,11.867529958768216,0.005,0.4662998396823999,-66.96433446647808,-68.73354788916437,1.769213422686292,0.0225,0.9976489567821951,-13.876366639034545,-26.015712546167848,12.139345907133302,0.0225,0.9951450345297729,-13.795982071052178,-27.21258490263976,13.416602831587584
9.0,0.0325,0.9966232513168131,-9.592402194137794,-18.104315192506583,8.51191299836879,0.005,0.9763565907206726,-67.90059113831904,-87.38801373216661,19.48742259384757,0.0275,0.9975176244748474,-11.080760881694578,-31.181952784617124,20.101191902922544,0.0225,0.9950441242041729,-13.448604697248586,-22.970748251573255,9.52214355432467
10.0,0.025,0.99615876704006,-11.958888508143424,-21.857201902164714,9.89831339402129,0.005,0.9553344037226165,-73.0739566724552,-82.90089667634084,9.826940003885639,0.0225,0.9966477795367553,-12.214190035987109,-50.43613808336241,38.2219480473753,0.0125,0.994329908356279,-17.971089882850265,-31.958113689713628,13.987023806863363
11.0,0.015,0.9958472009956489,-17.65378092960558,-28.336124182853215,10.682343253247634,0.005,0.9471960635379806,-73.69809368926911,-78.87962700500927,5.181533315740154,0.015,0.9963129127383945,-19.119447623894843,-32.155990262109,13.036542638214158,0.005,0.9931480916809461,-26.138893684075185,-40.58167147824275,14.442777794167561
12.0,0.01,0.9962430844348317,-21.1121058514302,-46.17248117855736,25.06037532712716,0.005,0.9258780666316798,-74.9139072492721,-102.47367908137379,27.55977183210169,0.01,0.9968878953720852,-21.561469034318183,-27.589484287774283,6.0280152534561005,0.005,0.9816085467449842,-33.21694813013179,-52.60255874670606,19.38561061657427
13.0,0.0075,0.9954075267738924,-24.816606317369594,-44.87216656846438,20.055560251094786,0.005,0.8706615842117882,-77.48998345324496,-112.35137996532784,34.86139651208288,0.005,0.9964920739895031,-26.031246114850845,-36.12686838345687,10.095622268606029,0.005,0.9663522843228007,-39.453315928033604,-58.152696840982905,18.6993809129493
14.0,0.005,0.9894889268462942,-30.7911759711585,-58.48770655866437,27.696530587505872,0.005,0.8794486294605453,-78.56977091799186,-83.96993226355991,5.400161345568051,0.005,0.9932897392962838,-32.44114127386717,-42.55458402067308,10.113442746805916,0.005,0.854982448821728,-47.33439730319256,-66.47306632085984,19.138669017667283
15.0,0.045,0.9971707000586539,-6.534365270279494,-21.756031275455705,15.22166600517621,0.005,0.4895052296747157,-54.84386022100293,-101.37863259382372,46.5347723728208,0.04,0.9982026002735583,-8.74549917379112,-20.38151804249236,11.636018868701239,0.03,0.9950688797507422,-11.585466105709942,-22.678410184580603,11.09294407887066
16.0,0.05,0.9962575053824602,-6.787173518080733,-30.68168851762347,23.894514999542736,0.005,0.9460326955344244,-65.30372990036228,-75.48621606938323,10.182486169020947,0.04,0.9973321850401984,-8.454334920411599,-22.41093377415296,13.95659885374136,0.03,0.995578285320807,-11.086731834719183,-33.22488638299356,22.13815454827438
17.0,0.0325,0.9959731490827733,-10.454394620111504,-21.525503902324985,11.071109282213481,0.005,0.9734189420518496,-70.61644795103216,-77.48645555262657,6.870007601594409,0.025,0.9966602294022899,-13.42041833049741,-20.948092595107003,7.527674264609592,0.0175,0.9955756024505815,-16.36042407530341,-22.232560925596403,5.872136850292993
18.0,0.0175,0.9970255763975707,-15.053927400526879,-24.679240940392727,9.625313539865848,0.005,0.9861186535408445,-71.69856939092651,-81.52479157938129,9.826222188454778,0.0125,0.9981156623124626,-18.74509784857285,-39.30365147837606,20.55855362980321,0.0125,0.9933189498925343,-19.73893529255146,-45.26315520840886,25.5242199158574
19.0,0.01,0.9974885682649469,-20.824673417669253,-33.13825474780157,12.313581330132315,0.005,0.987239587397869,-72.4335474723675,-78.32344129692066,5.88989382455317,0.01,0.9983172631836316,-21.867815305290485,-31.47256832351755,9.604753018227065,0.005,0.9832058641233464,-32.83792822994192,-40.73817530724475,7.900247077302829
20.0,0.01,0.9893871528628239,-23.5319037741479,-59.67942035834925,36.14751658420135,0.005,0.9793953406150554,-75.00363375487485,-87.79561797338239,12.791984218507537,0.01,0.9913255560960603,-24.448579736315356,-32.91210205265573,8.463522316340377,0.005,0.9283595425998069,-38.501225740094334,-47.65976871975259,9.158542979658257
21.0,0.0425,0.9975278162874716,-6.462110798271872,-27.269350790044875,20.807239991773002,0.005,0.9232989733533699,-50.51793715075837,-69.87585094942241,19.357913798664043,0.04,0.9980113190192463,-8.238763917771486,-14.35506771683768,6.116303799066195,0.02,0.9943301561061911,-14.104918461122526,-21.18552415103455,7.080605689912023
22.0,0.045,0.9968255226434996,-7.043385293956234,-17.948036764952505,10.90465147099627,0.005,0.9348321439422603,-55.387908649924455,-85.31693510012035,29.92902645019589,0.0425,0.9976557311211894,-7.610319443265642,-20.179910049252182,12.56959060598654,0.025,0.9956245939789315,-12.758923145811522,-17.926001656563187,5.167078510751665
23.0,0.0325,0.9965107586866485,-9.187680110559302,-20.028675091181366,10.840994980622064,0.005,0.9877698541877079,-63.468641377555684,-84.33576120559542,20.867119828039733,0.0275,0.997427245251847,-10.985032280862734,-18.58975653888312,7.604724258020385,0.02,0.9955145624327307,-14.624794823025216,-32.138385232683596,17.51359040965838
24.0,0.0225,0.9961835692482826,-13.75644460384569,-36.39936516939041,22.642920565544717,0.005,0.9827976630396368,-65.41662387520884,-72.41953347296639,7.002909597757551,0.0175,0.996875077843555,-15.955176361569922,-23.9461916068425,7.991015245272578,0.0125,0.9963446776007042,-19.97201056994505,-37.452841562613116,17.480830992668068
25.0,0.01,0.9949302602548271,-20.591732107247665,-33.65882044506963,13.067088337821964,0.005,0.9935213417806549,-67.8473887041112,-80.29048436990756,12.443095665796363,0.01,0.9960863626363153,-20.35393614492284,-24.101350510957893,3.747414366035052,0.0075,0.9890476329391831,-25.906964452844544,-95.46245315927905,69.5554887064345
26.0,0.01,0.9962252619442388,-23.09334490172876,-41.1816780366135,18.08833313488474,0.005,0.9944448162203487,-68.70710536154179,-84.12090193483738,15.413796573295585,0.0075,0.9971594581526223,-23.81701713233655,-39.35843852084186,15.54142138850531,0.005,0.9746078165349484,-38.219451832420205,-45.47738178188248,7.257929949462273
27.0,0.025,0.9984669238692429,-12.185531426313386,-20.86264777285752,8.677116346544135,0.005,0.9982711860969445,-48.34556033442277,-62.24193389641126,13.89637356198849,0.0225,0.9987732772060224,-12.57226705690968,-17.642194778890683,5.069927721981003,0.005,0.9792517195825687,-26.580730885799873,-26.580730885799873,0.0
28.0,0.04,0.9973911576187402,-7.904102788267052,-18.104315192506583,10.200212404239531,0.005,0.9980122481613585,-52.08322396865485,-60.613757426209595,8.530533457554746,0.0375,0.997883820477793,-8.279860109483534,-11.921979585180765,3.64211947569723,0.02,0.9959186580828749,-15.796439052805207,-17.407150758043688,1.6107117052384812
29.0,0.0375,0.9975611352843669,-9.055103232346486,-27.695891718753742,18.640788486407256,0.005,0.9981955517985259,-58.26350850270514,-80.22805776762513,21.964549264919988,0.0375,0.9982596259737118,-8.828677370582287,-17.007494428897697,8.17881705831541,0.02,0.9961458413827833,-16.119949811486826,-33.93727258675597,17.81732277526914
30.0,0.0225,0.9968327184250075,-12.714468766402813,-35.85632024851811,23.141851482115296,0.005,0.9923370095263535,-64.19639089868929,-80.95850459579123,16.762113697101938,0.02,0.9975417988408495,-14.344963944261629,-37.60286232597025,23.25789838170862,0.01,0.9933611152542347,-23.97804627939302,-25.690814737604768,1.7127684582117482
31.0,0.015,0.9960020010758859,-16.28800608461156,-52.13929832162136,35.8512922370098,0.005,0.9952018289466169,-65.62097635098986,-68.66368294950435,3.042706598514485,0.015,0.9969049612764432,-18.37586032542905,-33.85477943003211,15.478919104603062,0.01,0.9940260755506289,-23.826402348297133,-50.77169362413776,26.945291275840628
32.0,0.01,0.9955955160483435,-25.26164840999638,-38.92152050689344,13.659872096897058,0.005,0.9980682806903551,-67.4224096316047,-77.19000013109023,9.767590499485536,0.01,0.9965654161933771,-25.23976443687594,-30.73744854179615,5.497684104920211,0.005,0.9774088011720128,-35.60873599155758,-55.7421289195181,20.13339292796052
33.0,0.0225,0.9984425671588125,-12.428218683102179,-18.170628180228533,5.742409497126355,0.005,0.8565724554298482,-52.44832550138733,-57.275409526015466,4.827084024628135,0.025,0.9986111853501242,-13.35262264875505,-27.21657092381291,13.86394827505786,0.005,0.9707035075776761,-32.55637536427612,-37.37512123402807,4.81874586975195
34.0,0.0375,0.997071272227359,-8.223354557305594,-10.411222791896144,2.1878682345905496,0.005,0.8567609140926067,-53.53892996779105,-67.88408634413227,14.345156376341222,0.0375,0.9977858720977973,-8.929151554007051,-22.964785000305508,14.035633446298457,0.02,0.9956954470684256,-14.130650164858963,-17.037416933792528,2.906766768933565
35.0,0.04,0.9967212810678641,-8.4370633270298,-20.04464669783558,11.60758337080578,0.005,0.9873362975481309,-61.29466874415063,-93.02710831678039,31.732439572629758,0.0375,0.997652591645775,-9.101483426424025,-24.852994197798253,15.751510771374228,0.02,0.9955533198203991,-14.351390235882342,-51.930506188647556,37.579115952765214
