,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.015034194903859857,-73.40703789890921,-90.30899869919435,16.90196080028514,0.005,-0.19218396763732062,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.007812594668089248,-104.27505095844965,-110.32747298102299,6.052422022573339,0.005,-0.013546593733396728,-89.50426777028285,-96.62764152745933,7.123373757176481
1.0,0.005,-0.012124139889944166,-73.40703789890921,-90.30899869919435,16.90196080028514,0.005,0.14675963092101785,-117.03291838216097,-133.97940008672037,16.946481704559403,0.005,-0.10762441785907513,-106.79352300215382,-125.6299066454089,18.836383643255076,0.005,-0.0034176404805824367,-90.75766292618712,-106.66178813040474,15.904125204217621
2.0,0.005,0.41967559556964346,-65.70002027162887,-84.28839878591472,18.58837851428585,0.005,-0.5217429348702863,-92.81491744561968,-104.14555056793725,11.330633122317565,0.005,0.4371858979247146,-76.11924191872606,-80.64896192583325,4.529720007107187,0.005,0.757021984893625,-68.86253668151681,-87.16217410969841,18.299637428181597
3.0,0.005,0.5000231062093461,-65.70002027162887,-84.28839878591472,18.58837851428585,0.005,-0.19910720648358063,-93.2828694171124,-120.09850143528735,26.815632018174952,0.005,0.5120103998525756,-72.83811108253569,-90.44349366171502,17.605382579179334,0.005,0.7772537949340497,-69.72762836641101,-84.47065294437854,14.743024577967532
4.0,0.005,0.48119430046097794,-67.3864379856296,-90.30899869919435,22.92256071356475,0.005,-0.2689182350574919,-95.3441048310319,-110.25928470035242,14.915179869320525,0.005,0.6111542813919477,-76.8950746095353,-85.3459398473209,8.450865237785607,0.005,0.7390829042310816,-71.08924295074962,-79.09919313217662,8.009950181427001
5.0,0.005,0.4896675223353773,-67.3864379856296,-69.48114499602985,2.0947070104002563,0.005,0.09000623820862817,-94.637384068084,-99.45007678870971,4.812692720625705,0.005,0.583042439038967,-73.73046214846448,-96.20270423338036,22.472242084915877,0.005,0.7625952707069872,-70.06244896869799,-78.39937962236723,8.336930653669242
6.0,0.005,0.45754757749487857,-66.22659904607586,-80.76657360480111,14.539974558725248,0.005,-0.29442163946938865,-93.72683265016954,-110.90775477524761,17.18092212507807,0.005,0.4257500742575032,-76.21686842019723,-89.48536415014404,13.268495729946807,0.005,0.7415474413319052,-69.00227149580262,-77.07867257446352,8.076401078660908
7.0,0.1,0.9976464209872157,0.0,-5.711779726094549,5.711779726094549,0.115,0.9999954478388462,1.511522060521193,-0.17140577415626307,1.682927834677456,0.0475,0.9758585025652599,-5.572846153661555,-28.237011689990076,22.66416553632852,0.01,0.5553844171751129,-24.045607072865476,-58.158870904648865,34.113263831783385
8.0,0.075,0.9937835225266846,-1.80353260698176,-4.214450111521691,2.4109175045399307,0.08,0.9999724676775876,-0.17544401098061313,-7.802051848330103,7.626607837349489,0.03,0.9158658978961163,-10.462848180344253,-22.80398344504565,12.341135264701396,0.01,0.6153770473674527,-24.218252900637932,-38.03279650376985,13.81454360313192
9.0,0.06,0.9874286565733923,-4.303612408587231,-29.22440050192641,24.92078809333918,0.0625,0.9999998067721414,-3.687769967943665,-22.434100856945996,18.74633088900233,0.015,0.7686529511466449,-17.03871693155091,-22.370990650695816,5.332273719144908,0.005,0.3652736266132201,-27.523945010486344,-55.95783442537346,28.43388941488712
