,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.015591894764937176,-73.40703789890921,-84.28839878591472,10.881360887005513,0.005,0.03596207625245861,-118.29521518274844,-126.72220472649052,8.426989543742081,0.005,0.03255248613508419,-103.75739686829291,-133.97940008672037,30.22200321842746,0.005,0.020866270782491925,-90.06953491349813,-133.97940008672037,43.909865173222244
1.0,0.005,-0.012055577718006279,-74.74597369152148,-80.76657360480111,6.020599913279625,0.005,-0.16445493262577804,-117.44134206492521,-126.46376495149016,9.022422886564954,0.005,-0.027490411234827324,-105.1522867945635,-122.11238710639768,16.960100311834182,0.005,0.012068764114166883,-89.60688519488393,-117.64409162634875,28.037206431464824
2.0,0.005,0.015464573894835658,-73.40703789890921,-78.2677988726351,4.860760973725888,0.005,0.06731810248164584,-119.51673046721163,-133.97940008672037,14.462669619508745,0.005,-0.09949524385375315,-104.97737469356844,-108.03390245055283,3.0565277569843943,0.005,0.036194641490858895,-90.6435418003774,-129.14625851862422,38.502716718246816
3.0,0.005,0.06522377842679107,-47.32461644608676,-63.46054508275023,16.135928636663472,0.005,-0.6570893872796784,-95.62584427418209,-95.62584427418209,0.0,0.005,0.06382056492772935,-50.244296181954276,-70.81531406873646,20.57101788678218,0.005,0.7659427201009209,-67.10899597449527,-86.82554913043212,19.71655315593685
4.0,0.005,0.5139097571716792,-45.251938079596485,-62.704773864962235,17.45283578536575,0.005,0.20250360614109394,-63.94667743742175,-82.53377241604065,18.5870949786189,0.005,0.5194957974664823,-46.619430488553974,-61.94505820803584,15.325627719481865,0.005,0.5458376903091644,-68.82925009346322,-86.76652975476702,17.937279661303805
5.0,0.025,0.9987079339503442,-10.97865517025852,-33.74869741471482,22.7700422444563,0.005,0.5969306897515773,-61.890329056872375,-65.71943952355741,3.8291104666850373,0.005,0.3458613433691907,-47.798452344549254,-58.63987164654591,10.841419301996659,0.02,0.9999851566637065,-14.297260431805721,-32.2174633590948,17.92020292728908
6.0,0.0275,0.9609104012991285,-11.804820270954286,-18.738506593694495,6.9336863227402095,0.005,0.9352781037914323,-65.68807785909712,-71.14498818424578,5.456910325148655,0.025,0.9574926853718806,-12.610177626231335,-23.925005252322226,11.31482762609089,0.0125,0.9915880718561981,-19.29598859945341,-34.2859690599027,14.989980460449289
7.0,0.03,0.5409281626971972,-10.801281719405011,-17.27181331425538,6.470531594850367,0.005,0.7768958373999671,-64.27422250314066,-70.52049896325225,6.246276460111588,0.03,0.5352987060576817,-11.967290875899522,-24.424235536964467,12.456944661064945,0.01,0.7513938700077856,-23.961768437861394,-32.54492832661419,8.583159888752796
8.0,0.02,0.35282291755874273,-14.777880485129117,-28.09047385386595,13.312593368736835,0.005,0.4637166846038094,-64.03722239234935,-77.76484460443952,13.727622212090168,0.02,0.37778380971148007,-14.953087757892662,-56.827036353237936,41.873948595345276,0.005,0.3636268653977229,-30.593647828301435,-34.25132303696369,3.657675208662255
9.0,0.0275,0.28347007132038693,-10.517332912974256,-20.076678287811603,9.559345374837347,0.005,0.5364434897307562,-68.67964553497823,-89.37820764160841,20.698562106630177,0.015,-0.0018078647280789105,-19.18393278183273,-35.66099089645054,16.47705811461781,0.02,0.8644486858571853,-14.19834597351768,-40.06318322608172,25.864837252564037
10.0,0.025,0.2764917093710804,-12.185531426313386,-49.17090167246491,36.98537024615152,0.005,0.41626778957676497,-77.54330058644942,-89.69704849243384,12.153747905984417,0.01,-0.019565952076289098,-23.275967652656707,-42.488407757481426,19.21244010482472,0.015,0.9397436127123114,-16.587926982256104,-50.24392478284422,33.65599780058811
11.0,0.01,-0.0842878479433198,-23.786379564978468,-29.65662348217996,5.870243917201492,0.005,0.4486132986797778,-78.80383477668835,-89.1969398492443,10.393105072555954,0.01,-0.08042687889374449,-24.451930802489862,-25.876060218011844,1.424129415521982,0.005,0.18686513188099627,-36.485536057598445,-46.68876388493907,10.203227827340626
12.0,0.01,-0.15350451037998952,-22.579019388181294,-33.06637111293361,10.487351724752315,0.005,0.13983655908547318,-80.24419708936034,-92.05940216859071,11.815205079230367,0.01,-0.16643502678391292,-23.106711016458853,-34.069840050011855,10.963129033553003,0.005,0.1555144923330875,-37.42054676832786,-59.44154018018708,22.020993411859223
13.0,0.03,0.23136820081465237,-10.41298071330228,-23.607868310412528,13.194887597110247,0.005,0.3279716393350845,-83.14715348950088,-86.49555279236122,3.3483993028603436,0.01,0.05099938870190017,-21.455674254524467,-23.693363424615494,2.237689170091027,0.02,0.9596879749304503,-14.180851350917287,-27.702555375128888,13.521704024211601
14.0,0.0275,0.2616109893059923,-11.669676404630906,-39.80810255845745,28.138426153826543,0.005,0.8820926407479753,-75.33812525994513,-76.8659928707112,1.5278676107660658,0.01,-0.05396179257532587,-23.146960765615916,-26.8836032204121,3.7366424547961827,0.015,0.9453035212845334,-16.766972387986158,-44.7084483997783,27.94147601179214
15.0,0.01,-0.0982287496463641,-22.086710328176263,-27.85812821781927,5.771417889643008,0.005,0.6489193949464154,-67.41983230523972,-86.22659774406421,18.806765438824485,0.01,-0.1264641500074025,-24.93260504123224,-28.962186324232782,4.029581283000542,0.005,0.22969798877347133,-31.061174724614794,-43.48051653154215,12.419341806927356
16.0,0.01,-0.1906784527294157,-21.966210504647844,-31.91697822351214,9.950767718864295,0.005,0.4446294487272239,-64.84905016343897,-67.26826861728541,2.4192184538464403,0.01,-0.23463774041096958,-23.153297967735348,-42.55186813726362,19.39857016952827,0.005,0.1632347168889244,-32.38339877221685,-38.93442628688856,6.551027514671709
17.0,0.0225,0.3601856347342161,-10.516443284291338,-21.233461505385517,10.717018221094179,0.005,0.4378490176130086,-60.99490186027267,-62.04421942398935,1.0493175637166772,0.01,0.08520225572358057,-23.88602691491048,-32.50071694731744,8.614690032406962,0.02,0.5617719296791216,-15.232688551484754,-34.555619097168595,19.32293054568384
18.0,0.0425,0.3509021828407138,-7.1761987308853215,-11.209684078025944,4.033485347140623,0.005,0.22155532623211083,-54.58617773169908,-66.2355087444462,11.649331012747112,0.0425,0.25352015983130827,-7.647751635162435,-10.588582978012258,2.9408313428498234,0.0225,0.8076502270986796,-13.462641201119617,-42.5373970378396,29.07475583671998
19.0,0.0425,-0.25388593702782136,-7.890942346903813,-27.683042767241894,19.79210042033808,0.005,0.21625515611266727,-60.20157162194516,-62.21311334440324,2.0115417224580767,0.04,-0.2830649155760813,-8.308902742218322,-29.0101222608174,20.70121951859908,0.01,0.04149620592147483,-24.646917916277197,-47.2375014004918,22.590583484214605
20.0,0.01,-0.1203493205739306,-20.28781345483933,-33.0783104820136,12.790497027174268,0.005,0.0851610127129093,-60.955432656536956,-87.49917417709906,26.543741520562108,0.01,-0.14061757500930006,-21.3368259887031,-33.485037588953034,12.148211600249933,0.005,-0.08338621400066178,-32.3890035450113,-43.97969178495319,11.59068823994189
21.0,0.05,0.8992312560913045,-4.2962196064863925,-14.992648392995992,10.6964287865096,0.005,0.4716982863944869,-62.192544445313516,-65.13427168967908,2.941727244365566,0.025,0.5436428054944656,-12.56168465681737,-13.68767209910877,1.1259874422914002,0.04,0.9720911084565741,-8.531293716210767,-19.108718718213133,10.577425002002366
