,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.04895768152134922,-74.74597369152148,-84.28839878591472,9.542425094393238,0.005,0.3099180431384181,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.03591689325310656,-103.87868243077584,-118.1648902899106,14.286207859134763,0.005,0.11307986066304006,-90.04932241304692,-96.2788105237611,6.229488110714172
1.0,0.005,-0.018693692653466237,-73.40703789890921,-84.28839878591472,10.881360887005513,0.005,0.05684346046967145,-117.734822817534,-133.97940008672037,16.24457726918638,0.005,-0.07973884962759675,-102.20939917047424,-132.5535632347515,30.34416406427725,0.005,-0.007040966481816062,-90.30573918208346,-111.12323207337889,20.81749289129543
2.0,0.005,0.020078901254788332,-73.40703789890921,-80.76657360480111,7.359535705891901,0.005,0.007027147026984576,-118.10681165168363,-123.91615072715389,5.8093390754702625,0.005,-0.10737445460546348,-103.08162169791487,-106.68027669585625,3.598654997941381,0.005,-0.023714716426041133,-90.72814657449729,-106.90697909432372,16.17883251982643
3.0,0.005,0.04863821641258502,-54.745973691521485,-55.823481307178575,1.0775076156570904,0.005,0.5929197224375798,-83.26052886812597,-83.26052886812597,0.0,0.005,0.055654349528993445,-56.54148231409,-75.68302982034545,19.141547506255456,0.005,-0.042254725997913786,-65.41302410594811,-79.11269914082234,13.699675034874232
4.0,0.0575,0.9333987327409469,-4.282754791749444,-17.175537781497354,12.89278298974791,0.0225,0.9676300663090127,-13.352882284222545,-34.94151599839206,21.588633714169518,0.04,0.9199837942695419,-8.257388657940286,-17.10512158723582,8.847732929295535,0.015,0.9370577688095547,-17.851017682311653,-48.965598268362015,31.114580586050362
5.0,0.03,0.9228946929666804,-9.184627073748233,-18.550291726467236,9.365664652719003,0.01,0.7748255001630973,-21.852338022789063,-63.62301039280523,41.770672370016165,0.03,0.9179459254746369,-10.726990887946137,-11.610441791093644,0.8834509031475068,0.01,0.9708518536932675,-20.756662846879287,-51.830999185127126,31.07433633824784
6.0,0.03,0.9627313199218872,-11.305597503030354,-76.32959861247397,65.02400110944362,0.01,0.8624662901005367,-25.473365148094803,-29.05515517047143,3.5817900223766266,0.025,0.9738340583194569,-11.310746286641923,-29.076353617076176,17.765607330434253,0.01,0.9788180908519271,-25.77825340640912,-48.29779198489308,22.51953857848396
7.0,0.0225,0.9635477438341965,-12.211443359926266,-30.809558813232975,18.59811545330671,0.0075,0.8318982077848518,-25.446600709724372,-26.475029321099726,1.0284286113753538,0.0225,0.9691693326850777,-13.310534340174506,-25.18085864816685,11.870324307992345,0.005,0.9850877729469435,-30.553761578067412,-43.74721738731643,13.19345580924902
8.0,0.02,0.9550958134588716,-14.451363791486415,-40.88316447801559,26.431800686529172,0.0075,0.8716425825130976,-25.552950968653654,-30.84341181998574,5.290460851332085,0.02,0.9741421338193519,-15.729339315389577,-36.83817927688371,21.10883996149413,0.005,0.9927031313935598,-30.22840571181519,-42.741711734242486,12.513306022427297
9.0,0.0275,0.934847346214563,-9.531034456903706,-24.798164931168166,15.26713047426446,0.0075,0.8852988848364223,-23.844671115106575,-31.573348351733404,7.7286772366268295,0.025,0.9600864413156425,-11.977865925562018,-12.015883897290534,0.03801797172851629,0.01,0.9606153597614084,-24.162853774031298,-62.761146999413924,38.598293225382626
10.0,0.0325,0.8905441162714742,-10.328999254827952,-22.29478596372973,11.965786708901778,0.015,0.9211039306045496,-16.93398490207286,-72.45201350525758,55.51802860318472,0.025,0.8954400158590802,-12.057654391160849,-27.219737344318546,15.162082953157697,0.0075,0.9048000391215736,-24.665486472070924,-83.73452091373858,59.069034441667654
11.0,0.0175,0.9182072425023539,-15.013524360973548,-64.73392668013777,49.72040231916422,0.01,0.9235915698670103,-23.24920154686332,-43.06995784135218,19.82075629448886,0.015,0.9418706110361149,-16.57057720358449,-38.842517329753925,22.271940126169433,0.005,0.9529516385119361,-32.27435664315634,-43.250023001891094,10.975666358734756
