,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.003901113381465677,-74.74597369152148,-80.76657360480111,6.020599913279625,0.005,-0.44905306526192973,-115.9225696684826,-124.43484586977279,8.512276201290192,0.005,-0.13230984146808786,-104.75519347603807,-117.20314716204365,12.447953686005576,0.005,-0.012452584314115788,-90.45769009304337,-114.9100723995229,24.452382306479535
1.0,0.005,-0.7668303439909614,-26.700746042427884,-40.17889805109691,13.478152008669024,0.005,-0.7063801501642661,-81.114897794506,-99.68304012499131,18.5681423304853,0.005,-0.7871313477500549,-26.444125968581925,-47.52886858784774,21.084742619265814,0.005,-0.7355367391644592,-47.41256899464203,-51.14403738019018,3.7314683855481476
2.0,0.015,-0.8205767190845435,-18.772960782616106,-32.77309917518034,14.000138392564235,0.005,-0.8699921124005981,-58.7153437539085,-74.13494137860499,15.419597624696493,0.0125,-0.8229688027024091,-19.62104100021594,-46.1544180775898,26.533377077373864,0.005,-0.5180654485144462,-45.617236058311796,-58.72092431815554,13.103688259843743
3.0,0.0125,-0.8394781584381965,-19.19743724373526,-27.442456099353425,8.245018855618166,0.005,-0.8714410779103474,-63.64588288251139,-108.7949670188712,45.14908413635982,0.0125,-0.835985965364964,-19.76396167759375,-42.7287772870751,22.96481560948135,0.005,-0.3254206999177354,-43.98821673659758,-76.10637275189889,32.11815601530131
4.0,0.0175,-0.8509832400694709,-15.346789349294683,-17.93130899928535,2.584519649990666,0.005,-0.871316093153084,-58.999777572670105,-68.11189624521622,9.11211867254611,0.02,-0.8568665247335473,-14.608643102389735,-18.327028355714074,3.718385253324339,0.005,-0.8017010193852435,-40.88973834205351,-76.93804164009774,36.048303298044225
5.0,0.0225,-0.6074033775589884,-13.441851130435245,-35.97224423320387,22.53039310276862,0.005,-0.6190038489670635,-58.87462560573361,-62.119590614754074,3.2449650090204614,0.0225,-0.6101625397354676,-13.789851540371966,-29.751550201297338,15.961698660925371,0.005,-0.6531308467825117,-40.498761207550814,-65.62451824357848,25.125757036027665
6.0,0.02,-0.6274946073231034,-14.73440021927212,-16.263835435952473,1.529435216680353,0.005,-0.7646249621346477,-60.173368785373754,-71.14586427220205,10.972495486828294,0.02,-0.6203731276086583,-14.194471486118161,-16.055923031483037,1.8614515453648757,0.005,-0.7201010665799726,-40.663067985389524,-51.286350878751115,10.62328289336159
7.0,0.0225,-0.5899818287386319,-13.219234198305749,-63.86461280451597,50.64537860621022,0.005,-0.5240929189064552,-57.077988155177835,-79.74179138978806,22.663803234610228,0.025,-0.5923026481016613,-12.921966253298185,-29.16110974772792,16.239143494429733,0.005,-0.4517211749016937,-40.1556992013478,-51.49469833801267,11.338999136664867
8.0,0.015,-0.5238433920771893,-18.017381359244638,-18.283012495307606,0.26563113606296795,0.005,-0.3124374046617786,-59.08146748379636,-66.29111136446832,7.209643880671962,0.015,-0.5120018985959696,-17.578061253471496,-19.815527562702428,2.237466309230932,0.005,-0.6740343282919206,-45.982369609628364,-61.28308666683598,15.300717057207613
9.0,0.0175,-0.836741970972743,-16.08635725305752,-27.930483642678823,11.844126389621302,0.005,-0.8719486693685212,-59.444241215985166,-70.09432350066022,10.650082284675058,0.015,-0.836342390309911,-16.700648685033343,-29.13955286148677,12.438904176453427,0.005,-0.649056603880205,-45.14678482944468,-56.211283237585796,11.06449840814112
10.0,0.0225,-0.7955208663033922,-12.973803029292196,-19.681975407533162,6.708172378240967,0.005,-0.4738141469072119,-57.10564404769016,-76.8169134527284,19.711269405038237,0.025,-0.7948644313080773,-13.309896754469179,-13.760805810206715,0.4509090557375366,0.005,-0.735479699381137,-44.35246749678992,-50.30905353263083,5.956586035840907
11.0,0.025,-0.7371077375625994,-12.329013281398575,-24.227809374842373,11.898796093443798,0.005,-0.3549524088491914,-57.38728477973886,-67.7141231957347,10.326838415995837,0.025,-0.7458838898310879,-11.598948022773051,-27.203314183509203,15.604366160736152,0.005,-0.5191745960212217,-42.94260209881762,-62.93699878019709,19.994396681379463
12.0,0.02,-0.4050914379389578,-15.202175022963404,-23.173189492160038,7.971014469196634,0.005,-0.45919781837726475,-59.39377152374896,-63.990342273107245,4.5965707493582855,0.02,-0.3994327718128471,-16.050139554813562,-32.61188094313233,16.561741388318765,0.005,-0.6801190668453038,-42.63591840154529,-49.5397822215618,6.903863820016511
13.0,0.02,-0.6321965580947134,-15.1777978390607,-30.87420688143879,15.696409042378091,0.005,-0.6975179611844143,-59.90411159126329,-68.53826176761717,8.634150176353884,0.0175,-0.6280820205840602,-15.153485676253124,-20.930863541878377,5.777377865625253,0.005,-0.752271419963137,-42.75915830818947,-75.78982530177016,33.030666993580695
