,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.05345888848514008,-74.74597369152148,-84.28839878591472,9.542425094393238,0.005,-0.014727410437009614,-119.30000374584155,-133.97940008672037,14.679396340878824,0.005,-0.03919605287331888,-105.62520192894196,-115.5529877466362,9.927785817694243,0.005,0.019768653570020424,-88.60402267080381,-98.03679483242189,9.432772161618075
1.0,0.005,0.026551628330372223,-73.40703789890921,-90.30899869919435,16.90196080028514,0.005,-0.1926653412701987,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.03321153169125344,-105.48117563034484,-133.97940008672037,28.49822445637554,0.005,-0.08071571497291279,-91.36722812092357,-106.58624006945317,15.219011948529598
2.0,0.005,-0.028963943190235673,-74.74597369152148,-90.30899869919435,15.563025007672863,0.005,0.5633406879981826,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.09051874793824799,-105.60325824446225,-131.56941946559382,25.96616122113157,0.005,-0.023080082145140735,-90.05761048498974,-118.04461719203003,27.987006707040294
3.0,0.005,0.04039768698365505,-73.40703789890921,-84.28839878591472,10.881360887005513,0.005,-0.05267999276499672,-117.97320148170913,-120.61990017978229,2.646698698073166,0.005,0.028771313721227248,-105.41866789851261,-119.65928704260861,14.240619144096001,0.005,-0.024883882418715562,-91.03745410891237,-104.4790852216653,13.44163111275293
4.0,0.005,-0.052738866972649984,-73.40703789890921,-84.28839878591472,10.881360887005513,0.005,-0.2634624101529848,-119.99999999999999,-133.20945243456902,13.20945243456903,0.005,-0.10417215376552505,-104.99212975825478,-108.50809820731217,3.5159684490573966,0.005,-0.04009962108942753,-90.46216823693,-106.17333748922479,15.711169252294795
5.0,0.005,-0.019768672137506303,-74.74597369152148,-133.97940008672037,59.23342639519889,0.005,-0.3520571363595405,-118.46801835742419,-123.25379102999332,4.785772672569138,0.005,-0.019052639672791152,-104.83621979327778,-124.71498149122304,19.878761697945265,0.005,-0.015189017723439162,-91.24537380198612,-108.26183881498524,17.01646501299912
6.0,0.005,-0.0054943411031668395,-73.40703789890921,-90.30899869919435,16.90196080028514,0.005,-0.32615507032876256,-116.48047605388754,-133.97940008672037,17.498924032832832,0.005,0.05048895566356905,-105.8636219740846,-110.18787853954349,4.324256565458896,0.005,-0.06342709519773669,-90.03824417617452,-106.13397693733341,16.0957327611589
7.0,0.005,0.10886749662520537,-74.74597369152148,-90.30899869919435,15.563025007672863,0.005,-0.2620977351352119,-117.34622440325498,-123.96859499698328,6.622370593728306,0.005,-0.019005512128569213,-106.37273505632649,-111.88724327335743,5.5145082170309365,0.005,0.004920572718870387,-91.90397506773482,-103.4105787064886,11.506603638753774
8.0,0.005,0.0021643816489231695,-74.74597369152148,-90.30899869919435,15.563025007672863,0.005,-0.2216986634778903,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.07957062296157677,-104.33738790075161,-129.89912306297597,25.561735162224366,0.005,-0.02964912285005516,-90.55545062255342,-99.47745977688946,8.922009154336038
9.0,0.005,0.03440006013619075,-74.74597369152148,-133.97940008672037,59.23342639519889,0.005,-0.20587585994577245,-118.36092659610634,-119.85269154968947,1.4917649535831288,0.005,-0.030250735620375366,-103.94217822730853,-111.9088223121834,7.966644084874872,0.005,-0.03596387430465317,-91.30062487004852,-100.54451243215422,9.243887562105698
