,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.007708657531710253,-73.40703789890921,-78.2677988726351,4.860760973725888,0.005,-0.1531460613605138,-118.5921298561159,-130.72395025549264,12.131820399376736,0.005,0.0581875805238049,-105.00838255942895,-109.68111137482593,4.6727288153969795,0.005,-0.06408235291086395,-89.88240346591496,-103.23532355677095,13.352920090855989
1.0,0.005,-0.010390356003409248,-73.40703789890921,-90.30899869919435,16.90196080028514,0.005,-0.16196541895923128,-116.52266858534344,-124.50666927280224,7.984000687458803,0.005,0.058800471420251035,-104.32614051114173,-127.68962624528075,23.36348573413902,0.005,-0.057243069088510845,-91.13265755930486,-96.0212674525056,4.888609893200737
2.0,0.005,0.9970728884599265,-45.85466927624269,-90.30899869919435,44.45432942295166,0.005,0.9997793886352341,-57.29481547509273,-70.51211862243149,13.217303147338754,0.005,0.9998604865114545,-52.96037263174349,-61.52181828252118,8.561445650777692,0.005,0.9978270328280577,-51.938467483275296,-69.54931032538346,17.610842842108163
3.0,0.01,0.6968883974335147,-23.20380058864679,-36.64805793441736,13.44425734577057,0.005,0.9453666651767324,-42.84257014647149,-57.42823695288807,14.585666806416583,0.005,0.8633727602980982,-26.319802182153886,-44.21949328175849,17.899691099604603,0.005,0.6469049623268512,-27.496929271155544,-50.74224958201068,23.245320310855135
4.0,0.04,0.87524639699151,-6.770397010184248,-20.170784188163996,13.400387177979749,0.0075,0.9734192939103179,-20.992653526166794,-20.992653526166794,0.0,0.0325,0.8741487589691063,-10.377374856789984,-39.67235740256075,29.294982545770765,0.0225,0.7895615905585257,-13.845327203789124,-35.480714408545275,21.63538720475615
5.0,0.08,0.8005930616609674,-2.156762298675718,-31.90653217337988,29.74976987470416,0.0125,0.9018101958284476,-17.009548166671987,-20.008401094840377,2.9988529281683896,0.0575,0.8530185666825251,-5.009278702618612,-22.44523320166507,17.435954499046456,0.0575,0.8657074845755436,-4.509229048937882,-23.021673964641543,18.51244491570366
6.0,0.0775,0.7097864640459846,-1.9479471344442645,-14.47799259864776,12.530045464203495,0.0125,-0.3179024770287857,-19.33939574676449,-32.070936799150815,12.731541052386323,0.045,0.8595742104637156,-7.877798967678602,-21.056414798196975,13.178615830518373,0.0575,0.9317526789527,-3.788733764602932,-49.716335769436604,45.92760200483367
7.0,0.0625,0.773371973006053,-2.737407176878863,-9.277459529743563,6.5400523528647,0.015,-0.14598905696987813,-16.819838491797675,-35.524679636773556,18.70484114497588,0.0475,0.8874632416123144,-5.55978872870792,-24.627895136635548,19.06810640792763,0.0175,0.6250769541582736,-14.54318274325577,-30.29636307760895,15.753180334353182
8.0,0.0525,0.7718180703582393,-5.330416024818997,-6.958516850790169,1.6281008259711722,0.0125,-0.10526600932138262,-17.88890907683174,-19.988492079056105,2.099583002224364,0.0325,0.8933292219460581,-8.799780206256877,-17.50404617812231,8.704265971865432,0.015,0.7580082043612928,-17.028193324229225,-30.48975986716854,13.461566542939316
9.0,0.07,0.9601494400686856,-3.7190071839375003,-24.539542687198708,20.82053550326121,0.035,0.9648808496341569,-8.605314921460463,-32.69680529915665,24.09149037769619,0.04,0.9607561590946103,-8.376715766678448,-34.27143273992277,25.894716973244325,0.025,0.7381046394456013,-13.267118915648705,-18.707313192961806,5.4401942773131005
10.0,0.055,0.8773516480615509,-4.037559330398018,-17.072744988449134,13.035185658051116,0.0175,0.8617211684644658,-14.863216654489062,-20.850911815723574,5.987695161234512,0.04,0.899553896125355,-8.028415244298658,-15.34053140526199,7.312116160963331,0.045,0.8451417077396278,-6.4382990214748705,-32.67133635263909,26.23303733116422
11.0,0.0475,0.8213170957142906,-4.469640232711844,-19.862722796061007,15.393082563349164,0.015,0.9094763818232694,-19.120802848589936,-24.67163806971128,5.550835221121343,0.0325,0.8410589940700316,-10.167542265332912,-27.554644793191926,17.387102527859014,0.035,0.7643435594312333,-10.195083683022919,-35.67708486533139,25.48200118230847
12.0,0.0275,0.7736439218355011,-12.030603400165038,-22.42346816383793,10.392864763672893,0.01,0.4349144293124835,-23.513092435683763,-40.35461172921059,16.841519293526826,0.0225,0.9163853332594674,-13.164954684996196,-28.007472744372993,14.842518059376797,0.0175,0.6306754934214042,-16.441650524296353,-28.42308407867501,11.981433554378658
13.0,0.035,0.8516800818927823,-9.325413806275018,-23.112289052396594,13.786875246121577,0.01,0.7128108444977242,-22.445704284340326,-33.91103080342168,11.465326519081355,0.025,0.9088100009823062,-12.25357831136101,-16.277753412626314,4.024175101265303,0.015,0.6909962043328824,-17.085049259409214,-52.43221747483139,35.34716821542217
